	Pacific South (naut mi) Longitude Latitude Philadelphia,	vessels only) Chapter 3: Emission Inventory the U.S. Environmental Protection Agency,	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	RTI Estimates of Growth in Bunker Fuel Consumption, Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration, Exclusive Economic Zone, Available online at http://nauticalcharts.noaa.gov/csdl/eez.htm.	ICF International, 2/16/2009 Email to Penny Carey, EPA, Docket ID	U.S. Water Transportation Statistical Snapshot, available from www.marad.dot.gov, Docket ID	Corps of Engineers Navigation Data Center	Port-Wide Baseline Air Emissions Inventory, prepared for the Port of Los Angeles, Docket ID EPA-HQ-OAR-2007-0121-0171. Deleted: Deleted: www.marad.dot.gov Deleted: http://www.iwr.usace.army.mi l/ndc/db/pport/dbf/pport02.dbf. Regulatory Impact Analysis	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at http://www.motorship.com/,	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-020, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99020.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Activity for Great Lake and Inland River Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-019, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99019.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Emission Inventory Development, prepared for the U.S. Environmental Protection Agency,	Oceangoing Ship Survey,	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community, prepared for the European Commission,	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency, Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at http://www.epa.gov/otaq/models/nonrdmdl/nonrdmdl2004/420p04009.pdf, Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data, EPA420-R-00-002, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r00002.pdf, Docket ID EPA-HQ-OAR-	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory, Docket ID	for the Port Authority of	Houston-Galveston Area Vessel Emissions Inventory, Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission,	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors, Consider A Ton-Mile EI Method, And Revise Emissions For The Beaumont-Port Arthur Non-Attainment Area Final Report, Submitted to the Houston Advanced Research Center, Docket ID EPA-HQ-OAR-2007-	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed,	LADCO 2005 Commercial Marine Emissions, Docket ID	Emissions Estimation Methodology for Ocean-Going Vessels, Docket ID	Commercial Marine Inventories for Select Alaskan Ports, Final Report, Prepared for the Alaska Department of Conservation,	Inventory Contribution of U.S. Flagged Vessels, prepared for the U.S. Environmental Protection Agency,	Lloydâ€™s Register and International Maritime Organization, Marine Exhaust Emission Quantification Study â€“ Baltic Sea, in MEPC 45/INF.7.	Current Methodologies and Best Practices in Preparing Port Emission Inventories, Final Report, prepared for the U.S. Environmental Protection Agency, available online at http://www.epa.gov/sectors/ports/bp_portemissionsfinal.pdf,	Updated Emissions from Ocean Shipping,	Considering Alternative Input Parameters in an Activity-Based Ship Fuel Consumption and Emissions Model: Reply to Comment by Oyvind Endresen et al.	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4: Gridding Results, prepared for Transportation Development Centre, Transport Canada,	Revision of MARPOL Annex VI and the NOx technical code. Input from the four subgroups and individual experts to the final report of the Informal Cross Government/Industry Scientific Group of Experts.	Transportation in Canada Annual Report	http://www.tc.gc.ca/pol/en/report/anre2004/8F_e.htm, Docket ID EPA-HQ-OAR-2007-	Emission Inventory Review SECA Inventory Progress Discussion, p 11, memorandum to California Air Resources Board, Docket ID	Oceangoing Ship Survey, Summary of Results, Docket ID	Administration, Office of Statistical and Economic Analysis	County Air Quality News, Issue 62,
Marine Exhaust Emission Quantification Study Ð Baltic Sea	0.7368421052631579	0.7125	0.7708333333333334	0.8589211618257261	0.8835820895522388	0.8316831683168316	0.7884615384615384	0.7795275590551181	0.8666666666666667	0.7738095238095238	0.7192982456140351	0.8558558558558559	0.8070175438596491	0.8596491228070176	0.8596491228070176	0.8601694915254238	0.8705882352941177	0.74	0.8421052631578947	0.8013698630136986	0.8070175438596491	0.8596491228070176	0.7398373983739838	0.8426966292134831	0.8092485549132948	0.7611940298507462	0.8082191780821918	0.8070175438596491	0.7808219178082192	0.851145038167939	0.6790123456790124	0.8245614035087719	0.8	0.788135593220339	0.8020833333333334	0.5789473684210527	0.8262910798122066	0.7368421052631579	0.7986111111111112	0.8109756097560976	0.8316326530612245	0.7543859649122807	0.9180327868852459	0.7833333333333333	0.8596491228070176	0.7758620689655172	0.7894736842105263
Exclusive Economic Zone	0.8490566037735849	0.825	0.8541666666666666	0.9253112033195021	0.9432835820895522	0.9158415841584159	0.875	0.8188976377952756	0.8666666666666667	0.8690476190476191	0.8048780487804879	0.9324324324324325	0.8163265306122449	0.875	0.782608695652174	0.9279661016949152	0.9333333333333333	0.85	0.9130434782608695	0.8972602739726028	0.7741935483870968	0.92	0.8699186991869918	0.8764044943820225	0.9075144508670521	0.8507462686567164	0.8493150684931506	0.88	0.8972602739726028	0.9351145038167938	0.8641975308641975	0.8125	0.8307692307692308	0.8728813559322034	0.875	0.9022556390977443	0.9248826291079812	0.8108108108108109	0.8888888888888888	0.9146341463414634	0.9081632653061225	0.868421052631579	0.8852459016393442	0.8666666666666667	0.8431372549019608	0.7758620689655172	0.90625
National Waterway Network	0.7924528301886793	0.8375	0.84375	0.91701244813278	0.9402985074626866	0.9108910891089109	0.8557692307692307	0.8582677165354331	0.7333333333333333	0.7976190476190477	0.8048780487804879	0.9234234234234234	0.8571428571428571	0.8125	0.84	0.9110169491525424	0.9176470588235294	0.85	0.92	0.8904109589041096	0.7419354838709677	0.88	0.8780487804878049	0.8539325842696629	0.9017341040462428	0.835820895522388	0.8082191780821918	0.92	0.8904109589041096	0.9274809160305344	0.8641975308641975	0.8333333333333334	0.8153846153846154	0.8559322033898306	0.8333333333333334	0.8721804511278195	0.9061032863849765	0.8108108108108109	0.8888888888888888	0.9024390243902439	0.9030612244897959	0.7105263157894737	0.8524590163934426	0.8833333333333333	0.7647058823529411	0.8103448275862069	0.84375
North American Atlas Ð Political Boundaries	0.8301886792452831	0.8	0.8020833333333334	0.8713692946058091	0.9014925373134328	0.8663366336633663	0.7884615384615384	0.7874015748031497	0.8166666666666667	0.7976190476190477	0.7906976744186046	0.8738738738738738	0.8163265306122449	0.8372093023255814	0.813953488372093	0.8813559322033898	0.8901960784313725	0.8	0.7906976744186046	0.8287671232876712	0.7674418604651163	0.8372093023255814	0.8211382113821138	0.8651685393258427	0.8497109826589595	0.7611940298507462	0.8082191780821918	0.7441860465116279	0.8287671232876712	0.8854961832061069	0.7901234567901234	0.8333333333333334	0.8307692307692308	0.7966101694915254	0.7916666666666666	0.8195488721804511	0.863849765258216	0.813953488372093	0.8055555555555556	0.8475609756097561	0.8622448979591837	0.8372093023255814	0.8688524590163934	0.8166666666666667	0.8823529411764706	0.7586206896551724	0.7906976744186046
Principal Ports of the United States	0.6981132075471698	0.7625	0.75	0.8755186721991701	0.9074626865671642	0.8712871287128713	0.8173076923076923	0.8188976377952756	0.8	0.8214285714285714	0.8292682926829268	0.8738738738738738	0.7551020408163265	0.8333333333333334	0.7222222222222222	0.8686440677966102	0.8745098039215686	0.77	0.75	0.821917808219178	0.7777777777777778	0.8611111111111112	0.8292682926829268	0.8539325842696629	0.8728323699421965	0.8208955223880597	0.8082191780821918	0.6944444444444444	0.8356164383561644	0.8969465648854962	0.7901234567901234	0.8125	0.7846153846153846	0.7966101694915254	0.7708333333333334	0.8345864661654135	0.8497652582159625	0.8918918918918919	0.8333333333333334	0.8475609756097561	0.8622448979591837	0.8157894736842105	0.8360655737704918	0.8416666666666667	0.803921568627451	0.7586206896551724	0.8611111111111112
Vessel Entrances and Clearances	0.8301886792452831	0.775	0.8333333333333334	0.8921161825726142	0.9164179104477612	0.8811881188118812	0.8269230769230769	0.8346456692913385	0.8166666666666667	0.7976190476190477	0.7073170731707317	0.8873873873873874	0.7755102040816326	0.90625	0.7741935483870968	0.902542372881356	0.9098039215686274	0.83	0.8064516129032258	0.8767123287671232	0.9032258064516129	0.8709677419354839	0.8373983739837398	0.8539325842696629	0.861271676300578	0.7761194029850746	0.821917808219178	0.9032258064516129	0.821917808219178	0.9045801526717557	0.8148148148148148	0.8125	0.7692307692307693	0.8389830508474576	0.8229166666666666	0.849624060150376	0.8873239436619719	0.7837837837837838	0.8472222222222222	0.8536585365853658	0.8775510204081632	0.7631578947368421	0.8688524590163934	0.8166666666666667	0.8235294117647058	0.7931034482758621	0.9375
 Commercial Marine Port Inventory Development	0.8490566037735849	0.725	0.5520833333333334	0.8381742738589212	0.8716417910447761	0.8465346534653465	0.7980769230769231	0.8267716535433071	0.7333333333333333	0.8095238095238095	0.7333333333333333	0.8783783783783784	0.7959183673469388	0.8	0.7777777777777778	0.8347457627118644	0.8431372549019608	0.61	0.8	0.815068493150685	0.7777777777777778	0.8	0.7886178861788617	0.8202247191011236	0.7976878612716763	0.7164179104477612	0.684931506849315	0.7111111111111111	0.815068493150685	0.8473282442748091	0.6790123456790124	0.6875	0.7538461538461538	0.711864406779661	0.7708333333333334	0.8045112781954887	0.8403755868544601	0.8222222222222222	0.8125	0.8048780487804879	0.8418367346938775	0.8	0.8360655737704918	0.8083333333333333	0.8235294117647058	0.8103448275862069	0.8
 Inventory Contribution of US Flagged Vessels	0.8113207547169812	0.75	0.7395833333333334	0.8713692946058091	0.8985074626865671	0.8663366336633663	0.7980769230769231	0.8031496062992126	0.7833333333333333	0.7738095238095238	0.8444444444444444	0.8648648648648649	0.8163265306122449	0.9333333333333333	0.7555555555555555	0.8771186440677966	0.8823529411764706	0.75	0.8222222222222222	0.8424657534246576	0.8	0.8444444444444444	0.8048780487804879	0.8539325842696629	0.8728323699421965	0.7910447761194029	0.8356164383561644	0.8222222222222222	0.8082191780821918	0.8740458015267175	0.7901234567901234	0.8541666666666666	0.7230769230769231	0.788135593220339	0.5520833333333334	0.8120300751879699	0.8591549295774648	0.8222222222222222	0.8125	0.823170731707317	0.8622448979591837	0.8	0.8688524590163934	0.7416666666666667	0.8235294117647058	0.8103448275862069	0.7777777777777778
 LADCO 2005 Commercial Marine Emissions	0.8113207547169812	0.8125	0.8229166666666666	0.8838174273858921	0.9134328358208955	0.8861386138613861	0.8461538461538461	0.8503937007874016	0.8333333333333334	0.8452380952380952	0.8292682926829268	0.9009009009009009	0.7346938775510204	0.9230769230769231	0.7948717948717948	0.9067796610169492	0.9176470588235294	0.83	0.8461538461538461	0.8493150684931506	0.8205128205128205	0.8717948717948718	0.8373983739837398	0.8876404494382022	0.838150289017341	0.8208955223880597	0.726027397260274	0.7948717948717948	0.863013698630137	0.8893129770992366	0.8271604938271605	0.22916666666666666	0.8153846153846154	0.847457627118644	0.84375	0.8195488721804511	0.8826291079812206	0.8205128205128205	0.8402777777777778	0.8841463414634146	0.8724489795918368	0.8717948717948718	0.9016393442622951	0.8583333333333333	0.8627450980392157	0.8275862068965517	0.8461538461538461
 US Water Transportation Statistical Snapshot	0.8301886792452831	0.775	0.8125	0.8713692946058091	0.8955223880597015	0.8564356435643564	0.7788461538461539	0.7952755905511811	0.8166666666666667	0.4880952380952381	0.8222222222222222	0.8783783783783784	0.7755102040816326	0.8	0.8666666666666667	0.8728813559322034	0.8745098039215686	0.83	0.7777777777777778	0.8356164383561644	0.8	0.8888888888888888	0.8211382113821138	0.8426966292134831	0.8439306358381503	0.7910447761194029	0.7534246575342466	0.7555555555555555	0.815068493150685	0.8778625954198473	0.7777777777777778	0.875	0.8307692307692308	0.8220338983050848	0.8020833333333334	0.7894736842105263	0.8403755868544601	0.7111111111111111	0.8263888888888888	0.8170731707317073	0.8673469387755102	0.6444444444444445	0.8360655737704918	0.8083333333333333	0.9215686274509803	0.6896551724137931	0.8444444444444444
