	Pacific South naut mi Longitude Latitude Philadelphia	vessels only Chapter 3 Emission Inventory the US Environmental Protection Agency	Commercial Marine Port Inventory Development prepared for the US Environmental Protection Agency	Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Final Report prepared by University of Delaware for the California Air Resource Board Contract Number 04346 and the Commission for Environmental Cooperation	Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Tasks 1 and 2 Baseline Inventory and Ports Comparison Final Report prepared by University of Delaware for the California Air Resource Board Contract Number 04346 and the Commission for Environmental Cooperation in North America Contract Number 113111	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report prepared for the US Environmental Protection Agency	RTI Estimates of Growth in Bunker Fuel Consumption Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration Exclusive Economic Zone Available online at httpnauticalchartsnoaagovcsdleezhtm	ICF International 2162009 Email to Penny Carey EPA Docket ID	US Water Transportation Statistical Snapshot available from wwwmaraddotgov Docket ID	Corps of Engineers Navigation Data Center	PortWide Baseline Air Emissions Inventory prepared for the Port of Los Angeles Docket ID EPAHQOAR200701210171 Deleted Deleted wwwmaraddotgov Deleted httpwwwiwrusacearmymi lndcdbpportdbfpport02dbf Regulatory Impact Analysis	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at httpwwwmotorshipcom	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States prepared for the US Environmental Protection Agency EPA Report Number EPA420R99020 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner99020pdf Docket ID EPAHQOAR	Commercial Marine Activity for Great Lake and Inland River Ports in the United States prepared for the US Environmental Protection Agency EPA Report Number EPA420R99019 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner99019pdf Docket ID EPAHQOAR	Commercial Marine Emission Inventory Development prepared for the US Environmental Protection Agency	Oceangoing Ship Survey	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community prepared for the European Commission	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at httpwwwepagovotaqmodelsnonrdmdlnonrdmdl2004420p04009pdf Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data EPA420R00002 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner00002pdf Docket ID EPAHQOAR	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory Docket ID	for the Port Authority of	HoustonGalveston Area Vessel Emissions Inventory Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors Consider A TonMile EI Method And Revise Emissions For The BeaumontPort Arthur NonAttainment Area Final Report Submitted to the Houston Advanced Research Center Docket ID EPAHQOAR2007	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed	LADCO 2005 Commercial Marine Emissions Docket ID	Emissions Estimation Methodology for OceanGoing Vessels Docket ID	Commercial Marine Inventories for Select Alaskan Ports Final Report Prepared for the Alaska Department of Conservation	Inventory Contribution of US Flagged Vessels prepared for the US Environmental Protection Agency	Lloydâ€™s Register and International Maritime Organization Marine Exhaust Emission Quantification Study â€“ Baltic Sea in MEPC 45INF7	Current Methodologies and Best Practices in Preparing Port Emission Inventories Final Report prepared for the US Environmental Protection Agency available online at httpwwwepagovsectorsportsbpportemissionsfinalpdf	Updated Emissions from Ocean Shipping	Considering Alternative Input Parameters in an ActivityBased Ship Fuel Consumption and Emissions Model Reply to Comment by Oyvind Endresen et al	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4 Gridding Results prepared for Transportation Development Centre Transport Canada	Revision of MARPOL Annex VI and the NOx technical code Input from the four subgroups and individual experts to the final report of the Informal Cross GovernmentIndustry Scientific Group of Experts	Transportation in Canada Annual Report	httpwwwtcgccapolenreportanre20048Fehtm Docket ID EPAHQOAR2007	Emission Inventory Review SECA Inventory Progress Discussion p 11 memorandum to California Air Resources Board Docket ID	Oceangoing Ship Survey Summary of Results Docket ID	Administration Office of Statistical and Economic Analysis	County Air Quality News Issue 62
Marine Exhaust Emission Quantification Study Ð Baltic Sea	0.3023255813953488	0.34693877551020413	0.2941176470588235	0.3548387096774194	0.4029850746268657	0.3846153846153846	0.2692307692307693	0.31999999999999995	0.4693877551020408	0.37254901960784315	0.46341463414634143	0.3650793650793651	0.33333333333333337	0.4	0.5	0.36363636363636365	0.3913043478260869	0.2692307692307693	0.4	0.21568627450980393	0.36585365853658536	0.4545454545454546	0.29824561403508776	0.4545454545454546	0.375	0.375	0.30612244897959184	0.4444444444444444	0.3090909090909091	0.33333333333333337	0.30612244897959184	0.41666666666666663	0.26530612244897955	0.33333333333333337	0.2962962962962963	0.28125	0.26315789473684215	0.2727272727272727	0.2727272727272727	0.368421052631579	0.288135593220339	0.41463414634146345	0.5185185185185186	0.3090909090909091	0.30612244897959184	0.2093023255813954	0.40909090909090906
Exclusive Economic Zone	0.4545454545454546	0.4358974358974359	0.5121951219512195	0.5384615384615384	0.5789473684210527	0.5636363636363637	0.47619047619047616	0.30000000000000004	0.5384615384615384	0.5121951219512195	0.4838709677419355	0.5471698113207547	0.5263157894736843	0.4	0.46153846153846156	0.5714285714285714	0.5932203389830508	0.47619047619047616	0.4666666666666667	0.46341463414634143	0.3548387096774194	0.5294117647058824	0.44680851063829785	0.5555555555555556	0.5555555555555556	0.4736842105263158	0.4358974358974359	0.6153846153846154	0.4222222222222223	0.5357142857142857	0.4871794871794872	0.4736842105263158	0.4871794871794872	0.5121951219512195	0.4545454545454546	0.5555555555555556	0.4893617021276596	0.47058823529411764	0.4666666666666667	0.5319148936170213	0.4693877551020408	0.4838709677419355	0.6363636363636364	0.4666666666666667	0.4358974358974359	0.3939393939393939	0.5294117647058824
National Waterway Network	0.5151515151515151	0.4871794871794872	0.5121951219512195	0.5384615384615384	0.543859649122807	0.5636363636363637	0.47619047619047616	0.5	0.4358974358974359	0.41463414634146345	0.4193548387096774	0.5094339622641509	0.5263157894736843	0.4	0.5384615384615384	0.5357142857142857	0.5593220338983051	0.5238095238095238	0.4666666666666667	0.5121951219512195	0.3548387096774194	0.5882352941176471	0.4893617021276596	0.5111111111111111	0.5555555555555556	0.4736842105263158	0.4871794871794872	0.46153846153846156	0.5111111111111111	0.5357142857142857	0.5384615384615384	0.4736842105263158	0.4358974358974359	0.5121951219512195	0.5454545454545454	0.5925925925925926	0.5319148936170213	0.5294117647058824	0.5555555555555556	0.5319148936170213	0.5510204081632653	0.4193548387096774	0.5454545454545454	0.4666666666666667	0.4358974358974359	0.3939393939393939	0.2941176470588235
North American Atlas Ð Political Boundaries	0.28205128205128205	0.33333333333333337	0.36170212765957444	0.3793103448275862	0.39682539682539686	0.4098360655737705	0.33333333333333337	0.26086956521739135	0.4222222222222223	0.4042553191489362	0.45945945945945943	0.38983050847457623	0.40909090909090906	0.33333333333333337	0.5625	0.4193548387096774	0.4461538461538461	0.33333333333333337	0.4444444444444444	0.3191489361702128	0.29729729729729726	0.44999999999999996	0.3207547169811321	0.4509803921568627	0.43333333333333335	0.36363636363636365	0.33333333333333337	0.375	0.2941176470588235	0.3870967741935484	0.37777777777777777	0.40909090909090906	0.37777777777777777	0.3191489361702128	0.31999999999999995	0.4	0.3207547169811321	0.35	0.2941176470588235	0.5094339622641509	0.34545454545454546	0.29729729729729726	0.48	0.33333333333333337	0.37777777777777777	0.28205128205128205	0.35
Principal Ports of the United States	0.18918918918918914	0.2558139534883721	0.24444444444444446	0.4285714285714286	0.4426229508196722	0.38983050847457623	0.34782608695652173	0.36363636363636365	0.4883720930232558	0.24444444444444446	0.37142857142857144	0.4385964912280702	0.33333333333333337	0.2941176470588235	0.4	0.4	0.4285714285714286	0.21739130434782605	0.3529411764705882	0.28888888888888886	0.37142857142857144	0.4736842105263158	0.37254901960784315	0.3877551020408163	0.4482758620689655	0.38095238095238093	0.39534883720930236	0.4	0.34693877551020413	0.43333333333333335	0.34883720930232553	0.47619047619047616	0.34883720930232553	0.24444444444444446	0.25	0.4482758620689655	0.2941176470588235	0.1578947368421053	0.34693877551020413	0.4509803921568627	0.3584905660377359	0.3142857142857143	0.5	0.34693877551020413	0.3023255813953488	0.2432432432432432	0.4736842105263158
Vessel Entrances and Clearances	0.5	0.42105263157894735	0.44999999999999996	0.4901960784313726	0.5357142857142857	0.5555555555555556	0.41463414634146345	0.4358974358974359	0.4736842105263158	0.5	0.4	0.5769230769230769	0.45945945945945943	0.4482758620689655	0.43999999999999995	0.5636363636363637	0.5862068965517242	0.41463414634146345	0.5862068965517242	0.44999999999999996	0.4	0.4545454545454546	0.4782608695652174	0.5454545454545454	0.5094339622641509	0.4054054054054054	0.4736842105263158	0.6799999999999999	0.40909090909090906	0.5636363636363637	0.4736842105263158	0.4054054054054054	0.368421052631579	0.44999999999999996	0.39534883720930236	0.5471698113207547	0.4782608695652174	0.3939393939393939	0.4545454545454546	0.5217391304347826	0.45833333333333337	0.33333333333333337	0.5813953488372092	0.4545454545454546	0.5263157894736843	0.3125	0.4545454545454546
 Commercial Marine Port Inventory Development	0.368421052631579	0.2272727272727273	0.17391304347826086	0.368421052631579	0.3870967741935484	0.4	0.36170212765957444	0.4222222222222223	0.2727272727272727	0.34782608695652173	0.33333333333333337	0.4137931034482759	0.4418604651162791	0.3142857142857143	0.4838709677419355	0.3770491803278688	0.40625	0.19148936170212771	0.37142857142857144	0.30434782608695654	0.2222222222222222	0.5384615384615384	0.3076923076923077	0.4	0.35593220338983056	0.2558139534883721	0.2727272727272727	0.4838709677419355	0.31999999999999995	0.3770491803278688	0.31818181818181823	0.3023255813953488	0.31818181818181823	0.21739130434782605	0.30612244897959184	0.4576271186440678	0.3076923076923077	0.4358974358974359	0.28	0.34615384615384615	0.33333333333333337	0.38888888888888884	0.4285714285714286	0.28	0.2727272727272727	0.368421052631579	0.3846153846153846
 Inventory Contribution of US Flagged Vessels	0.38095238095238093	0.29166666666666663	0.28	0.2786885245901639	0.33333333333333337	0.34375	0.37254901960784315	0.3877551020408163	0.45833333333333337	0.28	0.35	0.4193548387096774	0.4042553191489362	0.4358974358974359	0.4285714285714286	0.3538461538461538	0.38235294117647056	0.2549019607843137	0.3846153846153846	0.31999999999999995	0.4	0.4418604651162791	0.3214285714285714	0.40740740740740744	0.33333333333333337	0.276595744680851	0.29166666666666663	0.48571428571428577	0.33333333333333337	0.3846153846153846	0.25	0.4893617021276596	0.33333333333333337	0.31999999999999995	0.13207547169811318	0.39682539682539686	0.2142857142857143	0.34883720930232553	0.2592592592592593	0.3214285714285714	0.27586206896551724	0.35	0.5849056603773585	0.2962962962962963	0.29166666666666663	0.33333333333333337	0.34883720930232553
 LADCO 2005 Commercial Marine Emissions	0.5	0.3913043478260869	0.375	0.423728813559322	0.4375	0.4516129032258065	0.4285714285714286	0.4042553191489362	0.30434782608695654	0.5	0.42105263157894735	0.4	0.4666666666666667	0.45945945945945943	0.4545454545454546	0.39682539682539686	0.3939393939393939	0.34693877551020413	0.5135135135135135	0.41666666666666663	0.368421052631579	0.41463414634146345	0.4444444444444444	0.42307692307692313	0.3770491803278688	0.33333333333333337	0.3913043478260869	0.6363636363636364	0.46153846153846156	0.39682539682539686	0.4347826086956522	0.06666666666666665	0.34782608695652173	0.375	0.4509803921568627	0.4426229508196722	0.4444444444444444	0.41463414634146345	0.3846153846153846	0.4444444444444444	0.3928571428571429	0.42105263157894735	0.4117647058823529	0.42307692307692313	0.4347826086956522	0.30000000000000004	0.41463414634146345
 US Water Transportation Statistical Snapshot	0.33333333333333337	0.2857142857142857	0.36363636363636365	0.49090909090909096	0.5	0.4482758620689655	0.37777777777777777	0.39534883720930236	0.5238095238095238	0.2272727272727273	0.4117647058823529	0.5	0.31707317073170727	0.2727272727272727	0.4482758620689655	0.4915254237288136	0.5161290322580645	0.33333333333333337	0.33333333333333337	0.40909090909090906	0.4117647058823529	0.5675675675675675	0.48	0.45833333333333337	0.543859649122807	0.5121951219512195	0.47619047619047616	0.5172413793103448	0.41666666666666663	0.4576271186440678	0.4285714285714286	0.46341463414634143	0.4285714285714286	0.36363636363636365	0.36170212765957444	0.543859649122807	0.4	0.2432432432432432	0.41666666666666663	0.48	0.46153846153846156	0.2941176470588235	0.5319148936170213	0.45833333333333337	0.33333333333333337	0.33333333333333337	0.45945945945945943
