	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.7869565217391304	0.7680412371134021	0.76875	0.75	0.7386363636363636	0.7469879518072289	0.8045977011494253	0.7241379310344828	0.7586206896551724	0.7857142857142857	0.7538461538461538	0.7126436781609196	0.7701149425287356	0.7619047619047619	0.7701149425287356	0.7471264367816092	0.8390804597701149	0.7816091954022989	0.7696969696969697	0.7701149425287356	0.7476635514018691	0.7327586206896551	0.7849462365591398	0.7704918032786885	0.6666666666666666	0.7701149425287356	0.774869109947644	0.8	0.7696629213483146	0.8045977011494253	0.7816091954022989	0.735632183908046	0.7586206896551724	0.8045977011494253	0.8513119533527697	0.9080459770114943	0.7586206896551724
Air pollution and hospital admissions for diseases of the circulatory system in three US metropolitan areas	0.7695652173913043	0.7319587628865979	0.71875	0.7348484848484849	0.7329545454545454	0.7469879518072289	0.8411214953271028	0.7570093457943925	0.7383177570093458	0.7301587301587301	0.7794871794871795	0.7102803738317757	0.8037383177570093	0.8411214953271028	0.7102803738317757	0.719626168224299	0.8691588785046729	0.7850467289719626	0.7212121212121212	0.6542056074766355	0.7663551401869159	0.7758620689655172	0.7570093457943925	0.7786885245901639	0.7383177570093458	0.7570093457943925	0.7172774869109948	0.7476635514018691	0.7303370786516854	0.7757009345794392	0.7663551401869159	0.7850467289719626	0.7570093457943925	0.7850467289719626	0.8309037900874635	0.9252336448598131	0.7570093457943925
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.7608695652173914	0.7319587628865979	0.74375	0.7878787878787878	0.7443181818181818	0.7469879518072289	0.8205128205128205	0.7692307692307693	0.7521367521367521	0.8095238095238095	0.7538461538461538	0.6666666666666666	0.7692307692307693	0.7008547008547008	0.7692307692307693	0.7435897435897436	0.8376068376068376	0.7435897435897436	0.7090909090909091	0.7606837606837606	0.7606837606837606	0.8376068376068376	0.7863247863247863	0.7950819672131147	0.811965811965812	0.7692307692307693	0.7120418848167539	0.8034188034188035	0.7359550561797753	0.7692307692307693	0.811965811965812	0.7692307692307693	0.7777777777777778	0.7692307692307693	0.8163265306122449	0.9230769230769231	0.7606837606837606
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.7695652173913043	0.788659793814433	0.75625	0.7575757575757576	0.75	0.7771084337349398	0.7682926829268293	0.7439024390243902	0.8214285714285714	0.7619047619047619	0.7948717948717948	0.8170731707317073	0.7560975609756098	0.7523809523809524	0.7560975609756098	0.7439024390243902	0.7926829268292683	0.7926829268292683	0.7757575757575758	0.7439024390243902	0.7289719626168224	0.8103448275862069	0.8172043010752689	0.7377049180327869	0.7708333333333334	0.8292682926829268	0.7905759162303665	0.75	0.7808988764044944	0.8170731707317073	0.7682926829268293	0.7682926829268293	0.7439024390243902	0.8414634146341463	0.8513119533527697	0.8780487804878049	0.7804878048780488
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.7956521739130434	0.7783505154639175	0.7375	0.7878787878787878	0.7329545454545454	0.7409638554216867	0.7916666666666666	0.75	0.6979166666666666	0.23809523809523808	0.7743589743589744	0.7604166666666666	0.7916666666666666	0.8	0.7604166666666666	0.71875	0.8125	0.78125	0.7454545454545455	0.7604166666666666	0.7476635514018691	0.8103448275862069	0.8125	0.7377049180327869	0.8229166666666666	0.7604166666666666	0.774869109947644	0.79	0.7471910112359551	0.78125	0.78125	0.75	0.7604166666666666	0.7604166666666666	0.8338192419825073	0.90625	0.7708333333333334
Recovery of mercurycontaminated fisheries	0.8695652173913043	0.8608247422680413	0.825	0.8333333333333334	0.8465909090909091	0.8493975903614458	0.8536585365853658	0.7272727272727273	0.7738095238095238	0.8095238095238095	0.8666666666666667	0.7875	0.8095238095238095	0.7619047619047619	0.7692307692307693	0.7424242424242424	0.7317073170731707	0.9024390243902439	0.8303030303030303	0.7088607594936709	0.794392523364486	0.8275862068965517	0.8064516129032258	0.8114754098360656	0.7708333333333334	0.7945205479452054	0.8586387434554974	0.79	0.8426966292134831	0.7662337662337663	0.8666666666666667	0.7058823529411765	0.7384615384615385	0.7777777777777778	0.9037900874635568	0.8780487804878049	0.7936507936507936
Contingent valuation of forest ecosystem protection	0.8434782608695652	0.8144329896907216	0.79375	0.8106060606060606	0.8068181818181818	0.8132530120481928	0.7647058823529411	0.7636363636363637	0.7142857142857143	0.7857142857142857	0.8307692307692308	0.7625	0.8235294117647058	0.780952380952381	0.8269230769230769	0.7878787878787878	0.7843137254901961	0.7254901960784313	0.7696969696969697	0.759493670886076	0.7570093457943925	0.7844827586206896	0.7634408602150538	0.7704918032786885	0.78125	0.726027397260274	0.8115183246073299	0.72	0.8033707865168539	0.7792207792207793	0.6666666666666666	0.7794117647058824	0.7846153846153846	0.7530864197530864	0.8833819241982507	0.8431372549019608	0.7936507936507936
A Study of Ambient Air Contaminants and Asthma in New York City	0.8347826086956521	0.8195876288659794	0.8	0.803030303030303	0.7840909090909091	0.8192771084337349	0.7936507936507936	0.7936507936507936	0.7857142857142857	0.746031746031746	0.8205128205128205	0.7625	0.8095238095238095	0.7714285714285715	0.7777777777777778	0.7727272727272727	0.8412698412698413	0.8571428571428571	0.7878787878787878	0.7721518987341772	0.7383177570093458	0.7672413793103449	0.7419354838709677	0.7786885245901639	0.75	0.7945205479452054	0.8219895287958116	0.75	0.8146067415730337	0.7792207792207793	0.8253968253968254	0.7647058823529411	0.8307692307692308	0.7160493827160493	0.8833819241982507	0.9047619047619048	0.8095238095238095
Air Quality Criteria for Particulate Matter	0.8652173913043478	0.845360824742268	0.8375	0.8181818181818182	0.8181818181818182	0.8433734939759037	0.813953488372093	0.8	0.6666666666666666	0.746031746031746	0.8512820512820513	0.775	0.8372093023255814	0.7714285714285715	0.17307692307692307	0.7424242424242424	0.813953488372093	0.7441860465116279	0.8363636363636363	0.7848101265822784	0.8037383177570093	0.8275862068965517	0.7311827956989247	0.8278688524590164	0.78125	0.7945205479452054	0.8429319371727748	0.77	0.848314606741573	0.7532467532467533	0.8444444444444444	0.7941176470588235	0.7538461538461538	0.7777777777777778	0.9037900874635568	0.8604651162790697	0.7936507936507936
Ecological Benefits Assessment Strategic Plan	0.8608695652173913	0.8247422680412371	0.83125	0.8181818181818182	0.8238636363636364	0.8132530120481928	0.8	0.8181818181818182	0.75	0.8095238095238095	0.8307692307692308	0.8	0.8222222222222222	0.8095238095238095	0.8461538461538461	0.7878787878787878	0.8444444444444444	0.8222222222222222	0.8303030303030303	0.7974683544303798	0.7570093457943925	0.7672413793103449	0.7741935483870968	0.8032786885245902	0.7708333333333334	0.821917808219178	0.8481675392670157	0.82	0.8539325842696629	0.7922077922077922	0.8666666666666667	0.7205882352941176	0.8	0.7901234567901234	0.892128279883382	0.8222222222222222	0.7777777777777778
