	Regulatory Impact Analysis Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements US Environmental Protection Agency Office of Transportation and Air Quality Assessment and Standards Division	Environmental Protection Agency EPA 2005a Clean Air Interstate Rule Emissions Inventory Technical Support Document US Environmental Protection Agency Office of Air Quality Planning and Standards	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule CAMR US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA 2007b Proposed Emission Standards for New Nonroad Spark‐Ignition Engines Equipment and Vessels	Environmental Protection Agency EPA 2008a Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis North Carolina	Environmental Protection Agency EPA 2008b Final Ozone NAAQS Regulatory Impact Analysis US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA	Development and applications of a standard visual index	Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ Sci Technol	Oxidants and Asthmatics in Los Angeles A Benefits Analysis  Executive Summary Prepared for US Environmental Protection Agency Office of Policy Analysis Prepared by Energy and Resource Consultants	Ambient air pollution and asthma exacerbations in children an eightcity analysis	Guidelines for Preparing Economic Analyses	Letter to Recipients of Third Draft EPA PM Criteria Document National Center for Environmental Assessment	Air Quality Criteria for Particulate Matter Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule	Regulatory Impact Analysis	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program Forest Inventory Data Online Online database US Department of Agriculture Forest Service Forest Inventory and Analysis	Investigations and Monitoring of Mercury in Indiana by the US Geological Survey	Episodic acidification of small streams in the northeastern United States Fish mortality in field bioassays	Pricing Environmental Health Risks Survey Assessments of RiskRisk and RiskDollar TradeOffs for Chronic Bronchitis”	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Effect of shortterm exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations	Association between ozone and respiratory admissions among children and the elderly in Vancouver	Chapter 6 Cost Analysis Approach and Results Commercial and Institutional	Pechan and Associates and Industrial Economics Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis Draft Report prepared for US EPA Office of Air and Radiation	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System NEMS	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis Memorandum prepared for US EPA Office of Air and Radiation	Sulfur Dioxide Control by Electric Utilities What Are the Gains from Trade”	Ex Post Evaluation of Tradable Permits The US	Testimony of Jeffrey Holmstead Assistant Administrator Office of Air	Are the costs of proposed environmental regulations overestimated	The Clean Air Act Amendment Spurring Innovation and Growth While Cleaning the Air	Incorporating Technological Learning in the Coal Utility Environmental Cost CUECost Model Estimating the Future Cost Trends of SO2 NOx and Mercury Control Technologies” Prepared for ARCADIS Geraghty and Miller Research Triangle Park NC 27711 Available at httpstepsucdaviseduPeopleslyehsyeh‐ resourcesDrft20Fnl20Rpt20Lrng20for20CUECostv3pdf	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.5700000000000001	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.6	0.64	0.63	0.55	0.61	0.63	0.5700000000000001	0.53	0.6	0.63	0.62	0.61	0.62	0.62	0.6	0.63	0.61	0.61	0.64	0.64	0.52	0.61	0.56	0.63	0.61	0.64	0.56	0.5800000000000001	0.62	0.63	0.6	0.7	0.64
Air pollution and hospital admissions for diseases of the circulatory system in three US metropolitan areas	0.5800000000000001	0.5800000000000001	0.54	0.61	0.5800000000000001	0.6	0.63	0.5700000000000001	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.48	0.6	0.64	0.56	0.6	0.5800000000000001	0.62	0.5800000000000001	0.51	0.56	0.61	0.62	0.5900000000000001	0.5	0.5900000000000001	0.5700000000000001	0.54	0.61	0.62	0.54	0.5800000000000001	0.5900000000000001	0.62	0.6	0.62	0.5800000000000001
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.55	0.5700000000000001	0.54	0.62	0.5900000000000001	0.5700000000000001	0.4	0.5700000000000001	0.61	0.5800000000000001	0.53	0.55	0.45999999999999996	0.52	0.56	0.5700000000000001	0.5	0.39	0.5700000000000001	0.61	0.56	0.63	0.56	0.62	0.63	0.55	0.52	0.61	0.53	0.63	0.6	0.5900000000000001	0.53	0.61	0.5800000000000001	0.7	0.61
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.55	0.6	0.6	0.6	0.5800000000000001	0.63	0.6599999999999999	0.6	0.5800000000000001	0.61	0.6	0.5700000000000001	0.6	0.61	0.6	0.61	0.54	0.56	0.5800000000000001	0.52	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.61	0.5800000000000001	0.6	0.64	0.5800000000000001	0.61	0.6	0.62	0.6	0.62	0.62
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.6	0.5900000000000001	0.6	0.62	0.5700000000000001	0.6	0.6	0.5900000000000001	0.49	0.0	0.61	0.5900000000000001	0.65	0.6	0.45999999999999996	0.5	0.54	0.5900000000000001	0.6	0.64	0.6	0.61	0.61	0.61	0.62	0.62	0.6	0.61	0.53	0.63	0.5800000000000001	0.5800000000000001	0.56	0.6	0.61	0.62	0.5900000000000001
Recovery of mercurycontaminated fisheries	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.64	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.61	0.61	0.5900000000000001	0.5900000000000001	0.61	0.5700000000000001	0.5700000000000001	0.64	0.61	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.52	0.5700000000000001	0.61	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.64	0.54	0.5900000000000001	0.64	0.61	0.7	0.6599999999999999
Contingent valuation of forest ecosystem protection	0.51	0.55	0.5700000000000001	0.61	0.55	0.5900000000000001	0.55	0.55	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.51	0.62	0.53	0.65	0.65	0.6599999999999999	0.5900000000000001	0.55	0.63	0.55	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.61	0.5700000000000001	0.53	0.51	0.61	0.52	0.5700000000000001	0.53	0.5900000000000001	0.5700000000000001	0.62	0.61
A Study of Ambient Air Contaminants and Asthma in New York City	0.56	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.48	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.54	0.62	0.5	0.62	0.5900000000000001	0.64	0.62	0.6599999999999999	0.64	0.61	0.62	0.5900000000000001	0.56	0.5900000000000001	0.62	0.5900000000000001	0.61	0.5900000000000001	0.61	0.62	0.61	0.63	0.5700000000000001	0.5900000000000001	0.54	0.5800000000000001	0.7	0.62
Air Quality Criteria for Particulate Matter	0.56	0.56	0.56	0.6599999999999999	0.44999999999999996	0.56	0.6599999999999999	0.62	0.52	0.4	0.5900000000000001	0.61	0.5800000000000001	0.49	0.0	0.56	0.62	0.62	0.56	0.63	0.5900000000000001	0.6599999999999999	0.52	0.6599999999999999	0.61	0.61	0.56	0.5900000000000001	0.61	0.5900000000000001	0.64	0.61	0.63	0.63	0.5900000000000001	0.7	0.63
Ecological Benefits Assessment Strategic Plan	0.52	0.63	0.5800000000000001	0.63	0.63	0.63	0.6	0.69	0.63	0.52	0.54	0.63	0.6599999999999999	0.54	0.6699999999999999	0.6	0.7	0.7	0.6	0.69	0.5800000000000001	0.54	0.6	0.63	0.63	0.65	0.52	0.6	0.6699999999999999	0.63	0.6699999999999999	0.6	0.6	0.5800000000000001	0.54	0.62	0.65
