	Sources of GHG Emissions Considered  25 22 GHG Source Categories Included in the Regulatory Analyses  26 31 Options Considered in Developing Scenarios Recommended Option Indicated by Shading  32 41 Selected Reporting Thresholds and Reporting Requirements  41 42 Per Unit Cost Breakdown by Monitoring Category Stationary Combustion 2006 423 42a Detailed Summary of Stationary Combustion Monitoring Category Costs CEMSAdd CO2 Analyzer and Flow Meter 2006 425 42b Detailed Summary of Stationary Combustion Monitoring Category Costs CEMSAdd CO2 Analyzer Only	Subpart I Electronics Labor Costs	Environmental Protection Agency Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule	Office of Management and Budget Circular A4	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute RTI	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA	Wage Rates for Economic Analyses of the Toxics Release Inventory Program” Analytical Support Branch Environmental Analysis Division Office of Environmental Information	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations	53 References Glass Factory Directory GFD	for Environmental Policy Solutions Duke University	Pew Center on Global Climate Change	Draft Industry Profile for the Cement Industry Prepared for the US Environmental Protection Agency	Finances of County Governments	Finances of Municipal and Township Governments	Environmental Protection Agency EPA	Business Administration SBA	Business Administration SBA 2008c Table of Small Business Size Standards Matched to North American Industry Classification System Codes Effective	Carbon Taxes Versus Carbon Markets What’s the Best Way to Limit Emissions” The American	The Benefits and Costs of Environmental Information Disclosure What Do We Know About RighttoKnow” Resources for the Future	Risk Regulation and the Right to Know Exploring the Impacts of Access to	Pollution as News Media and Stock Market Reactions to the Toxics Release Inventory Data”	Uncertainty in Greenhouse Gas Inventories” IIASA Policy Brief No	Information as Regulation The Effect of Community RighttoKnow Laws on Toxic Emissions”	Organization for Economic CoOperation and Development OECD	Attitudes Project	Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes httpwwwpwccomextwebpwcpublicationsnsf docid8df4237f6b2f7fcf8525728300503b70 Social Investment Forum	Promoting ‘Green’ Consumer Behavior with Eco Labels”	Greening Industry New Roles for Communities Markets and Governments	Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	Estimated Private and Government Costs in Selected Sectors 103 2006 PublicPrivate Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents 4436 22527 2813 298 Costs of statelocaltribal 7247 3817 398 753 government SLTG respondents Costs of federal respondents fed 127 0 53 0 ownedoperated Total costs by sector 11990 26344 3264 1050 Note Columns may not sum to totals due to rounding Subpart C—General Stationary Fuel Combustion Sources 290 17 244 18 Subpart D—Electricity Generation 33 2 33 2 Subpart H—Cement Production 69 4 43 3 Subpart I—Electronics Manufacturing 36 2 36 3 Subpart Q—Iron and Steel Production 182 11 141 11 Subpart S—Lime Manufacturing 53 3 30 2 Subpart W—Oil and Natural Gas Systems 325 19 281 21 Subpart Y—Petroleum	Reporting from upstream sources only recommended option for methodology 79 National Technology Transfer Advancement Act Section 12d of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets What�s the Best Way to Limit Emissions	0.6226415094339622	0.5333333333333333	0.5428571428571429	0.6060606060606061	0.5555555555555556	0.55	0.5609756097560976	0.5853658536585367	0.7058823529411764	0.5757575757575757	0.6	0.6052631578947368	0.5666666666666667	0.5882352941176471	0.6451612903225806	0.5714285714285714	0.5	0.22580645161290325	0.5609756097560976	0.5833333333333333	0.5897435897435898	0.6666666666666667	0.5	0.6857142857142857	0.7333333333333334	0.6304347826086957	0.5405405405405406	0.5714285714285714	0.631578947368421	0.6379310344827587	0.65
Greening Industry New Roles for Communities Markets and Governments	0.5102040816326531	0.5806451612903225	0.40625	0.4666666666666667	0.4242424242424242	0.38888888888888884	0.5609756097560976	0.38888888888888884	0.5333333333333333	0.4838709677419355	0.5	0.4411764705882353	0.40740740740740744	0.4	0.5517241379310345	0.5714285714285714	0.45945945945945943	0.625	0.4871794871794872	0.40625	0.4285714285714286	0.5142857142857142	0.4571428571428572	0.5161290322580645	0.6896551724137931	0.5348837209302326	0.5405405405405406	0.0	0.4242424242424242	0.537037037037037	0.4571428571428572
Promoting �Green� Consumer Behavior with Eco Labels	0.5490196078431373	0.4482758620689655	0.375	0.53125	0.3939393939393939	0.4054054054054054	0.5365853658536586	0.4871794871794872	0.6363636363636364	0.5	0.34615384615384615	0.4571428571428572	0.48275862068965514	0.46875	0.4642857142857143	0.5862068965517242	0.5128205128205128	0.5263157894736843	0.46153846153846156	0.5142857142857142	0.6	0.5277777777777778	0.4722222222222222	0.53125	0.6551724137931034	0.5116279069767442	0.22580645161290325	0.5	0.4411764705882353	0.5964912280701755	0.5897435897435898
Bulletin Using Design for the Environment Concepts in Your EMS	0.5102040816326531	0.48275862068965514	0.4545454545454546	0.4666666666666667	0.5142857142857142	0.34285714285714286	0.4473684210526315	0.38888888888888884	0.625	0.3793103448275862	0.6	0.29032258064516125	0.5172413793103448	0.4516129032258065	0.5517241379310345	0.5714285714285714	0.45945945945945943	0.5897435897435898	0.4871794871794872	0.5	0.5897435897435898	0.5142857142857142	0.5405405405405406	0.4137931034482759	0.6896551724137931	0.5348837209302326	0.5	0.5294117647058824	0.4242424242424242	0.5892857142857143	0.5
How Are the Toxics Release Inventory Data Used�Government Business Academic and Citizen Uses	0.42000000000000004	0.6111111111111112	0.45945945945945943	0.5555555555555556	0.43243243243243246	0.4390243902439024	0.45238095238095233	0.4390243902439024	0.5714285714285714	0.5277777777777778	0.5882352941176471	0.4054054054054054	0.5151515151515151	0.4571428571428572	0.5882352941176471	0.5625	0.42500000000000004	0.5476190476190477	0.41463414634146345	0.45945945945945943	0.4358974358974359	0.4736842105263158	0.46153846153846156	0.5555555555555556	0.6666666666666667	0.5	0.5365853658536586	0.4444444444444444	0.4736842105263158	0.5833333333333333	0.5
 Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	0.4375	0.5161290322580645	0.29032258064516125	0.4	0.4117647058823529	0.33333333333333337	0.3055555555555556	0.2857142857142857	0.5625	0.3666666666666667	0.5806451612903225	0.28125	0.5	0.4375	0.37037037037037035	0.4444444444444444	0.4473684210526315	0.6097560975609756	0.4358974358974359	0.34375	0.5	0.4571428571428572	0.4864864864864865	0.4	0.5714285714285714	0.45238095238095233	0.4864864864864865	0.4242424242424242	0.0	0.5272727272727273	0.3529411764705882
2007 Report on Socially Responsible Investing Trends in the United States Executive Summary	0.43999999999999995	0.46875	0.3529411764705882	0.6216216216216216	0.41666666666666663	0.42500000000000004	0.4	0.42500000000000004	0.6388888888888888	0.47058823529411764	0.6176470588235294	0.34285714285714286	0.5882352941176471	0.48571428571428577	0.53125	0.59375	0.368421052631579	0.5714285714285714	0.47619047619047616	0.4	0.46153846153846156	0.5384615384615384	0.4473684210526315	0.5428571428571429	0.696969696969697	0.30000000000000004	0.5609756097560976	0.5135135135135135	0.41666666666666663	0.5263157894736843	0.3142857142857143
Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes	0.5	0.40740740740740744	0.27586206896551724	0.5	0.3548387096774194	0.41666666666666663	0.43243243243243246	0.37142857142857144	0.5666666666666667	0.5161290322580645	0.4814814814814815	0.4242424242424242	0.5517241379310345	0.3793103448275862	0.5357142857142857	0.43999999999999995	0.4444444444444444	0.5405405405405406	0.43243243243243246	0.3870967741935484	0.5405405405405406	0.5428571428571429	0.48571428571428577	0.5	0.6296296296296297	0.368421052631579	0.4411764705882353	0.5151515151515151	0.3548387096774194	0.5818181818181818	0.3939393939393939
Greenhouse Gas Reporting and Disclosure Key Elements of a Perspective US Program	0.44897959183673475	0.53125	0.25806451612903225	0.5588235294117647	0.4285714285714286	0.2571428571428571	0.368421052631579	0.2571428571428571	0.4838709677419355	0.27586206896551724	0.5483870967741935	0.19354838709677424	0.4666666666666667	0.40625	0.4482758620689655	0.5666666666666667	0.5	0.6511627906976745	0.44999999999999996	0.36363636363636365	0.4736842105263158	0.4285714285714286	0.45945945945945943	0.4193548387096774	0.6333333333333333	0.4651162790697675	0.5	0.4411764705882353	0.28125	0.5614035087719298	0.37142857142857144
Rising Environmental Concern in 47Nation Survey	0.5800000000000001	0.4444444444444444	0.4193548387096774	0.48275862068965514	0.48484848484848486	0.4864864864864865	0.5	0.4	0.5517241379310345	0.3928571428571429	0.5714285714285714	0.40625	0.42307692307692313	0.5625	0.4	0.5384615384615384	0.4722222222222222	0.6052631578947368	0.5384615384615384	0.5151515151515151	0.5277777777777778	0.5294117647058824	0.47058823529411764	0.48275862068965514	0.6666666666666667	0.5121951219512195	0.5142857142857142	0.4	0.3870967741935484	0.5740740740740741	0.375
