	Sources of GHG Emissions Considered  25 22 GHG Source Categories Included in the Regulatory Analyses  26 31 Options Considered in Developing Scenarios Recommended Option Indicated by Shading  32 41 Selected Reporting Thresholds and Reporting Requirements  41 42 Per Unit Cost Breakdown by Monitoring Category Stationary Combustion 2006 423 42a Detailed Summary of Stationary Combustion Monitoring Category Costs CEMSAdd CO2 Analyzer and Flow Meter 2006 425 42b Detailed Summary of Stationary Combustion Monitoring Category Costs CEMSAdd CO2 Analyzer Only	Subpart I Electronics Labor Costs	Environmental Protection Agency Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule	Office of Management and Budget Circular A4	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute RTI	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA	Wage Rates for Economic Analyses of the Toxics Release Inventory Program” Analytical Support Branch Environmental Analysis Division Office of Environmental Information	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations	53 References Glass Factory Directory GFD	for Environmental Policy Solutions Duke University	Pew Center on Global Climate Change	Draft Industry Profile for the Cement Industry Prepared for the US Environmental Protection Agency	Finances of County Governments	Finances of Municipal and Township Governments	Environmental Protection Agency EPA	Business Administration SBA	Business Administration SBA 2008c Table of Small Business Size Standards Matched to North American Industry Classification System Codes Effective	Carbon Taxes Versus Carbon Markets What’s the Best Way to Limit Emissions” The American	The Benefits and Costs of Environmental Information Disclosure What Do We Know About RighttoKnow” Resources for the Future	Risk Regulation and the Right to Know Exploring the Impacts of Access to	Pollution as News Media and Stock Market Reactions to the Toxics Release Inventory Data”	Uncertainty in Greenhouse Gas Inventories” IIASA Policy Brief No	Information as Regulation The Effect of Community RighttoKnow Laws on Toxic Emissions”	Organization for Economic CoOperation and Development OECD	Attitudes Project	Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes httpwwwpwccomextwebpwcpublicationsnsf docid8df4237f6b2f7fcf8525728300503b70 Social Investment Forum	Promoting ‘Green’ Consumer Behavior with Eco Labels”	Greening Industry New Roles for Communities Markets and Governments	Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	Estimated Private and Government Costs in Selected Sectors 103 2006 PublicPrivate Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents 4436 22527 2813 298 Costs of statelocaltribal 7247 3817 398 753 government SLTG respondents Costs of federal respondents fed 127 0 53 0 ownedoperated Total costs by sector 11990 26344 3264 1050 Note Columns may not sum to totals due to rounding Subpart C—General Stationary Fuel Combustion Sources 290 17 244 18 Subpart D—Electricity Generation 33 2 33 2 Subpart H—Cement Production 69 4 43 3 Subpart I—Electronics Manufacturing 36 2 36 3 Subpart Q—Iron and Steel Production 182 11 141 11 Subpart S—Lime Manufacturing 53 3 30 2 Subpart W—Oil and Natural Gas Systems 325 19 281 21 Subpart Y—Petroleum	Reporting from upstream sources only recommended option for methodology 79 National Technology Transfer Advancement Act Section 12d of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets What�s the Best Way to Limit Emissions	0.62	0.64	0.65	0.61	0.64	0.65	0.62	0.5900000000000001	0.61	0.6599999999999999	0.6	0.61	0.54	0.6599999999999999	0.6599999999999999	0.6	0.5800000000000001	0.050000000000000044	0.62	0.64	0.55	0.6599999999999999	0.55	0.6799999999999999	0.65	0.61	0.64	0.62	0.6599999999999999	0.61	0.62
Greening Industry New Roles for Communities Markets and Governments	0.6	0.5800000000000001	0.5700000000000001	0.63	0.5900000000000001	0.63	0.5900000000000001	0.5700000000000001	0.64	0.6	0.6	0.51	0.4	0.43000000000000005	0.63	0.6699999999999999	0.5900000000000001	0.63	0.62	0.61	0.5900000000000001	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.53	0.6	0.6599999999999999	0.0	0.6599999999999999	0.5900000000000001	0.54
Promoting �Green� Consumer Behavior with Eco Labels	0.5900000000000001	0.61	0.5900000000000001	0.6599999999999999	0.63	0.61	0.63	0.61	0.64	0.6799999999999999	0.63	0.5700000000000001	0.6699999999999999	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.63	0.61	0.5900000000000001	0.65	0.61	0.5700000000000001	0.63	0.63	0.71	0.61	0.12	0.61	0.65	0.5900000000000001	0.61
Bulletin Using Design for the Environment Concepts in Your EMS	0.5900000000000001	0.61	0.5900000000000001	0.5900000000000001	0.62	0.5900000000000001	0.52	0.55	0.6599999999999999	0.52	0.6	0.47	0.47	0.5900000000000001	0.43000000000000005	0.6	0.5700000000000001	0.65	0.5	0.55	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.55	0.6599999999999999	0.5900000000000001	0.63	0.6	0.55
How Are the Toxics Release Inventory Data Used�Government Business Academic and Citizen Uses	0.61	0.64	0.62	0.61	0.62	0.65	0.45999999999999996	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.6	0.61	0.47	0.55	0.5800000000000001	0.38	0.61	0.64	0.65	0.64	0.5700000000000001	0.61	0.65	0.63	0.65	0.6599999999999999	0.6799999999999999	0.56	0.65	0.6	0.61
 Barriers and Opportunities A Review of Selected Successful Energy Efficiency Programs	0.5700000000000001	0.6699999999999999	0.6599999999999999	0.61	0.63	0.62	0.6	0.62	0.5900000000000001	0.6	0.6599999999999999	0.63	0.64	0.64	0.63	0.6	0.62	0.6699999999999999	0.64	0.63	0.63	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.5900000000000001	0.63	0.6799999999999999	0.6599999999999999	0.0	0.5700000000000001	0.63
2007 Report on Socially Responsible Investing Trends in the United States Executive Summary	0.5800000000000001	0.61	0.63	0.6599999999999999	0.61	0.61	0.61	0.5800000000000001	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.64	0.5900000000000001	0.63	0.6	0.5800000000000001	0.65	0.65	0.62	0.64	0.61	0.64	0.63	0.53	0.55	0.6599999999999999	0.62	0.63	0.5900000000000001	0.61
Building Trust in Emissions Reporting Global Trends in Emissions Trading Schemes	0.55	0.61	0.65	0.7	0.6	0.5800000000000001	0.6	0.55	0.64	0.64	0.5800000000000001	0.63	0.5700000000000001	0.5900000000000001	0.5800000000000001	0.49	0.5900000000000001	0.5800000000000001	0.62	0.61	0.64	0.64	0.62	0.63	0.71	0.0	0.63	0.6	0.63	0.6	0.6
Greenhouse Gas Reporting and Disclosure Key Elements of a Perspective US Program	0.52	0.5800000000000001	0.63	0.61	0.6	0.5800000000000001	0.5900000000000001	0.5700000000000001	0.61	0.64	0.63	0.5800000000000001	0.54	0.5900000000000001	0.55	0.63	0.62	0.6699999999999999	0.5800000000000001	0.5700000000000001	0.62	0.61	0.64	0.5900000000000001	0.53	0.6	0.61	0.56	0.5700000000000001	0.6	0.62
Rising Environmental Concern in 47Nation Survey	0.6	0.6699999999999999	0.47	0.6599999999999999	0.62	0.6	0.44999999999999996	0.54	0.64	0.43000000000000005	0.63	0.49	0.6	0.6599999999999999	0.4	0.56	0.62	0.6599999999999999	0.43000000000000005	0.62	0.6599999999999999	0.6599999999999999	0.64	0.56	0.5900000000000001	0.5800000000000001	0.6	0.62	0.69	0.5800000000000001	0.5800000000000001
