	On-Farm Energy Use Characterizations, Report Number IE052, Â©American Council for an Energy-Efficient	Characterization of the U.S. Industrial Commercial Boiler Population, submitted to Oak Ridge National Laboratory,	74 FR 16447, Mandatory Greenhouse Gas Reporting Regulations; Proposed Rule,	Memorandum from Chris Steuer, Marian Van Pelt and Robert Lanza regarding Methodology Description for Industrial Sector GHG Threshold Analysis,	National Laboratory (LBNL). Energy Data Sourcebook for the U.S. Residential Sector. Prepared by Energy Analysis Program, Environmental Energy Technologies Division, LBNL,	http://enduse.lbl.gov/info/Pubs95_99.html National Multi-Housing Council (NMHC), Quick Facts Apartment Stock: Distribution of Apartments by Size of Property, NMHC tabulation of unpublished data from the U.S. Census Bureau&apos;s	Economic Census,	Residential Energy Consumption Survey,	Environmental Protection Agency (EPA), Supporting Data for Threshold Analysis Subpart X â€“ PP, Greenhouse Gas Mandatory Reporting Rulemaking,	Environmental Protection Agency (EPA), Emissions & Generation Resource Integrated Database (eGRID)	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Adipic Acid Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions from Cement: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions From Electronics Manufacture (Semiconductors, MEMs, Liquid Crystal Displays, and Photovoltaics),	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Ethanol Facilities: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Emissions of HFC-23 from Production of HCFC-22: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Hydrogen Production: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Iron and Steel Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Lead Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Silicon Carbide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Titanium Dioxide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Underground Coal Mines: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Zinc Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Emissions Thresholds Evaluation (GHG Thresholds TSD) and Methodology for Estimating New and Modified Sources that Would Be Subject to PSD Permitting for GHGs (GHG PSD Sources TSD), both of which can be found at EPA-HQ-OAR-2009-0517. Significant uncertainties exist in the following estimates due to the lack of historical record and permitting experience upon which to base resource needs for including GHG sources.	Evaluation of ICR-based Resource Requirements for Permitting Authorities at Different Possible GHG Permitting Thresholds aNew commercial/residential permits take 10% of the time needed for new industrial permits bSalaries from Title V ICR adjusted to 2007 dollars using	bLabor cost of $77.22/hr from Prevention of Significant Deterioration and Non-Attainment Area New Source Review (Renewal),
Emissions  Generation Resource Integrated Database eGRID 2004	0.5	0.5526315789473684	0.5454545454545454	0.5	0.5263157894736843	0.6363636363636364	0.5833333333333333	0.48275862068965514	0.5128205128205128	0.2857142857142857	0.48571428571428577	0.5	0.5641025641025641	0.5	0.5128205128205128	0.5	0.4571428571428572	0.5	0.5333333333333333	0.4722222222222222	0.5	0.5135135135135135	0.5	0.5625	0.47619047619047616	0.47058823529411764
 Industrial Production and Capacity Utilization	0.5277777777777778	0.40625	0.5333333333333333	0.48571428571428577	0.5555555555555556	0.5263157894736843	0.6363636363636364	0.46153846153846156	0.6153846153846154	0.48275862068965514	0.5588235294117647	0.5294117647058824	0.5555555555555556	0.5714285714285714	0.5789473684210527	0.5714285714285714	0.5294117647058824	0.5714285714285714	0.5714285714285714	0.5428571428571429	0.5714285714285714	0.5	0.5714285714285714	0.7	0.6363636363636364	0.6285714285714286
1995 Property Owners and Managers Survey	0.6666666666666667	0.5789473684210527	0.4838709677419355	0.6	0.5897435897435898	0.525	0.7777777777777778	0.4642857142857143	0.575	0.5757575757575757	0.47058823529411764	0.48571428571428577	0.5135135135135135	0.48571428571428577	0.5384615384615384	0.48571428571428577	0.48571428571428577	0.48571428571428577	0.5666666666666667	0.5	0.48571428571428577	0.5	0.48571428571428577	0.5217391304347826	0.6304347826086957	0.5833333333333333
2002 Economic Census	0.6176470588235294	0.7142857142857143	0.7741935483870968	0.7297297297297297	0.7222222222222222	0.75	0.15384615384615385	0.5833333333333333	0.736842105263158	0.6428571428571428	0.696969696969697	0.6666666666666667	0.6857142857142857	0.7058823529411764	0.6666666666666667	0.7058823529411764	0.7058823529411764	0.7058823529411764	0.6923076923076923	0.6764705882352942	0.7058823529411764	0.6764705882352942	0.7058823529411764	0.7446808510638299	0.6829268292682926	0.6875
2002 Manufacturing Energy Consumption Survey	0.45945945945945943	0.5135135135135135	0.5882352941176471	0.5	0.4864864864864865	0.5	0.5217391304347826	0.3076923076923077	0.4736842105263158	0.5	0.3939393939393939	0.36363636363636365	0.4	0.4117647058823529	0.38888888888888884	0.4117647058823529	0.4117647058823529	0.4117647058823529	0.48275862068965514	0.38235294117647056	0.4117647058823529	0.38235294117647056	0.4117647058823529	0.5319148936170213	0.5116279069767442	0.5142857142857142
2003 Commercial Building Energy Consumption Survey	0.4871794871794872	0.45945945945945943	0.5714285714285714	0.525	0.43243243243243246	0.4878048780487805	0.56	0.23076923076923073	0.5	0.4375	0.4285714285714286	0.4	0.43243243243243246	0.4444444444444444	0.3783783783783784	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4666666666666667	0.41666666666666663	0.4444444444444444	0.41666666666666663	0.4444444444444444	0.5208333333333333	0.5	0.5
2005 Residential Energy Consumption Survey	0.43243243243243246	0.4864864864864865	0.5151515151515151	0.5128205128205128	0.45945945945945943	0.5121951219512195	0.6	0.125	0.4871794871794872	0.4193548387096774	0.4117647058823529	0.38235294117647056	0.41666666666666663	0.4285714285714286	0.4054054054054054	0.4285714285714286	0.4285714285714286	0.4285714285714286	0.4482758620689655	0.4	0.4285714285714286	0.4	0.4285714285714286	0.5106382978723405	0.4883720930232558	0.48571428571428577
American Housing Survey for the United States 2005	0.4473684210526315	0.5	0.6111111111111112	0.4871794871794872	0.43243243243243246	0.41025641025641024	0.6666666666666667	0.4666666666666667	0.5	0.48484848484848486	0.4285714285714286	0.4444444444444444	0.4736842105263158	0.4444444444444444	0.42105263157894735	0.4	0.4444444444444444	0.4444444444444444	0.4666666666666667	0.45945945945945943	0.4444444444444444	0.41666666666666663	0.4444444444444444	0.4893617021276596	0.5	0.4117647058823529
Annual Energy Review 2005	0.5555555555555556	0.717948717948718	0.65625	0.7	0.6216216216216216	0.6904761904761905	0.7391304347826086	0.5	0.641025641025641	0.5172413793103448	0.5882352941176471	0.6	0.6216216216216216	0.6	0.6052631578947368	0.6	0.6	0.6	0.5	0.6111111111111112	0.6	0.6111111111111112	0.6	0.6086956521739131	0.627906976744186	0.5757575757575757
Characterization of the US Industrial Commercial Boiler Population	0.4736842105263158	0.25	0.5588235294117647	0.38888888888888884	0.41666666666666663	0.39473684210526316	0.6	0.4482758620689655	0.525	0.5151515151515151	0.4571428571428572	0.4285714285714286	0.45945945945945943	0.4722222222222222	0.4871794871794872	0.4722222222222222	0.4285714285714286	0.4722222222222222	0.5483870967741935	0.4444444444444444	0.4722222222222222	0.4	0.4722222222222222	0.6	0.5227272727272727	0.48571428571428577
Draft US Adipic Acid and Nitric Acid N2O Emissions 1990 Ð 2020 Inventories Projections and Opportunities for Reductions	0.4651162790697675	0.47619047619047616	0.6428571428571428	0.5333333333333333	0.41463414634146345	0.5	0.696969696969697	0.5277777777777778	0.5111111111111111	0.45945945945945943	0.41025641025641024	0.42500000000000004	0.45238095238095233	0.42500000000000004	0.4418604651162791	0.42500000000000004	0.3846153846153846	0.42500000000000004	0.48571428571428577	0.4390243902439024	0.42500000000000004	0.4	0.42500000000000004	0.40816326530612246	0.37777777777777777	0.4358974358974359
Electric Power Annual	0.6388888888888888	0.6571428571428571	0.6206896551724138	0.6388888888888888	0.5882352941176471	0.6666666666666667	0.5555555555555556	0.56	0.6111111111111112	0.46153846153846156	0.5483870967741935	0.5625	0.5882352941176471	0.5625	0.6111111111111112	0.5625	0.5625	0.5625	0.4347826086956522	0.5757575757575757	0.5625	0.5757575757575757	0.5625	0.6739130434782609	0.6341463414634146	0.5333333333333333
Energy Data Sourcebook for the US Residential Sector	0.4736842105263158	0.3529411764705882	0.5151515151515151	0.43243243243243246	0.2727272727272727	0.4358974358974359	0.6538461538461539	0.3928571428571429	0.36111111111111116	0.3666666666666667	0.36363636363636365	0.38235294117647056	0.41666666666666663	0.38235294117647056	0.4473684210526315	0.38235294117647056	0.38235294117647056	0.38235294117647056	0.4482758620689655	0.3529411764705882	0.38235294117647056	0.3529411764705882	0.38235294117647056	0.5106382978723405	0.4883720930232558	0.3939393939393939
Fugitive Emissions Reporting from the Petroleum and Natural Gas Industry Background Technical Support Document	0.4651162790697675	0.3157894736842105	0.45945945945945943	0.35	0.19444444444444442	0.3571428571428571	0.696969696969697	0.3939393939393939	0.28205128205128205	0.32352941176470584	0.22857142857142854	0.25	0.2894736842105263	0.19999999999999996	0.28205128205128205	0.25	0.19999999999999996	0.25	0.4411764705882353	0.2702702702702703	0.25	0.2702702702702703	0.25	0.375	0.34090909090909094	0.39473684210526316
Greenhouse Gas GHG Emissions and New Source Review	0.625	0.5675675675675675	0.6060606060606061	0.5526315789473684	0.5	0.5853658536585367	0.5454545454545454	0.4444444444444444	0.5263157894736843	0.4666666666666667	0.4545454545454546	0.47058823529411764	0.5405405405405406	0.47058823529411764	0.4864864864864865	0.4242424242424242	0.47058823529411764	0.47058823529411764	0.5517241379310345	0.48571428571428577	0.47058823529411764	0.48571428571428577	0.47058823529411764	0.5434782608695652	0.4878048780487805	0.4375
Inventory of US Greenhouse Gas Emissions and Sinks 1990 Ð 2007	0.5581395348837209	0.5365853658536586	0.5675675675675675	0.5909090909090908	0.5121951219512195	0.5555555555555556	0.7	0.5151515151515151	0.5348837209302326	0.5277777777777778	0.5128205128205128	0.525	0.5813953488372092	0.525	0.5348837209302326	0.525	0.4871794871794872	0.525	0.6	0.5365853658536586	0.525	0.5	0.525	0.4897959183673469	0.4666666666666667	0.5384615384615384
Supporting Data for Threshold Analysis Subpart E Ð W Greenhouse Gas Mandatory Reporting Rulemaking	0.5116279069767442	0.44999999999999996	0.4722222222222222	0.3157894736842105	0.29729729729729726	0.4418604651162791	0.71875	0.40625	0.2432432432432432	0.38235294117647056	0.23529411764705888	0.2571428571428571	0.3421052631578947	0.2571428571428571	0.33333333333333337	0.2571428571428571	0.2571428571428571	0.2571428571428571	0.5	0.22857142857142854	0.2571428571428571	0.2777777777777778	0.2571428571428571	0.3829787234042553	0.4222222222222223	0.4473684210526315
Supporting Data for Threshold Analysis Subpart X Ð PP Greenhouse Gas Mandatory Reporting Rulemaking	0.5454545454545454	0.41025641025641024	0.4285714285714286	0.2702702702702703	0.29729729729729726	0.40476190476190477	0.7575757575757576	0.4545454545454546	0.19444444444444442	0.38235294117647056	0.23529411764705888	0.2571428571428571	0.3421052631578947	0.2571428571428571	0.33333333333333337	0.2571428571428571	0.2571428571428571	0.2571428571428571	0.5	0.22857142857142854	0.2571428571428571	0.2777777777777778	0.2571428571428571	0.41666666666666663	0.4222222222222223	0.4054054054054054
Technical Support Document for Emissions of HFC23 from Production of HCFC22 Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.4651162790697675	0.4390243902439024	0.41666666666666663	0.26315789473684215	0.375	0.39534883720930236	0.65625	0.3939393939393939	0.32499999999999996	0.41666666666666663	0.22857142857142854	0.19999999999999996	0.2432432432432432	0.19999999999999996	0.08571428571428574	0.19999999999999996	0.25	0.25	0.48571428571428577	0.2222222222222222	0.25	0.2222222222222222	0.25	0.40816326530612246	0.37777777777777777	0.4358974358974359
