	On-Farm Energy Use Characterizations, Report Number IE052, Â©American Council for an Energy-Efficient	Characterization of the U.S. Industrial Commercial Boiler Population, submitted to Oak Ridge National Laboratory,	74 FR 16447, Mandatory Greenhouse Gas Reporting Regulations; Proposed Rule,	Memorandum from Chris Steuer, Marian Van Pelt and Robert Lanza regarding Methodology Description for Industrial Sector GHG Threshold Analysis,	National Laboratory (LBNL). Energy Data Sourcebook for the U.S. Residential Sector. Prepared by Energy Analysis Program, Environmental Energy Technologies Division, LBNL,	http://enduse.lbl.gov/info/Pubs95_99.html National Multi-Housing Council (NMHC), Quick Facts Apartment Stock: Distribution of Apartments by Size of Property, NMHC tabulation of unpublished data from the U.S. Census Bureau&apos;s	Economic Census,	Residential Energy Consumption Survey,	Environmental Protection Agency (EPA), Supporting Data for Threshold Analysis Subpart X â€“ PP, Greenhouse Gas Mandatory Reporting Rulemaking,	Environmental Protection Agency (EPA), Emissions & Generation Resource Integrated Database (eGRID)	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Adipic Acid Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions from Cement: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions From Electronics Manufacture (Semiconductors, MEMs, Liquid Crystal Displays, and Photovoltaics),	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Ethanol Facilities: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Emissions of HFC-23 from Production of HCFC-22: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Hydrogen Production: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Iron and Steel Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Lead Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Silicon Carbide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Titanium Dioxide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Underground Coal Mines: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Zinc Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Emissions Thresholds Evaluation (GHG Thresholds TSD) and Methodology for Estimating New and Modified Sources that Would Be Subject to PSD Permitting for GHGs (GHG PSD Sources TSD), both of which can be found at EPA-HQ-OAR-2009-0517. Significant uncertainties exist in the following estimates due to the lack of historical record and permitting experience upon which to base resource needs for including GHG sources.	Evaluation of ICR-based Resource Requirements for Permitting Authorities at Different Possible GHG Permitting Thresholds aNew commercial/residential permits take 10% of the time needed for new industrial permits bSalaries from Title V ICR adjusted to 2007 dollars using	bLabor cost of $77.22/hr from Prevention of Significant Deterioration and Non-Attainment Area New Source Review (Renewal),
Emissions  Generation Resource Integrated Database eGRID 2004	0.33333333333333337	0.38181818181818183	0.375	0.33333333333333337	0.3571428571428571	0.4666666666666667	0.4117647058823529	0.31818181818181823	0.3448275862068966	0.16666666666666663	0.3207547169811321	0.33333333333333337	0.3928571428571429	0.33333333333333337	0.3448275862068966	0.33333333333333337	0.2962962962962963	0.33333333333333337	0.36363636363636365	0.3090909090909091	0.33333333333333337	0.34545454545454546	0.33333333333333337	0.3913043478260869	0.3125	0.3076923076923077
 Industrial Production and Capacity Utilization	0.3584905660377359	0.2549019607843137	0.36363636363636365	0.3207547169811321	0.3846153846153846	0.3571428571428571	0.4666666666666667	0.30000000000000004	0.4444444444444444	0.31818181818181823	0.3877551020408163	0.36	0.3846153846153846	0.4	0.40740740740740744	0.4	0.36	0.4	0.4	0.37254901960784315	0.4	0.33333333333333337	0.4	0.5384615384615384	0.4666666666666667	0.45833333333333337
1995 Property Owners and Managers Survey	0.5	0.40740740740740744	0.3191489361702128	0.4285714285714286	0.4181818181818182	0.35593220338983056	0.6363636363636364	0.3023255813953488	0.4035087719298246	0.4042553191489362	0.3076923076923077	0.3207547169811321	0.34545454545454546	0.3207547169811321	0.368421052631579	0.3207547169811321	0.3207547169811321	0.3207547169811321	0.39534883720930236	0.33333333333333337	0.3207547169811321	0.33333333333333337	0.3207547169811321	0.3529411764705882	0.46031746031746035	0.4117647058823529
2002 Economic Census	0.44680851063829785	0.5555555555555556	0.631578947368421	0.574468085106383	0.5652173913043479	0.6	0.08333333333333337	0.4117647058823529	0.5833333333333333	0.4736842105263158	0.5348837209302326	0.5	0.5217391304347826	0.5454545454545454	0.5	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5294117647058824	0.5111111111111111	0.5454545454545454	0.5111111111111111	0.5454545454545454	0.5932203389830508	0.5185185185185186	0.5238095238095238
2002 Manufacturing Energy Consumption Survey	0.29824561403508776	0.34545454545454546	0.41666666666666663	0.33333333333333337	0.3214285714285714	0.33333333333333337	0.3529411764705882	0.18181818181818177	0.31034482758620685	0.33333333333333337	0.24528301886792447	0.2222222222222222	0.25	0.2592592592592593	0.24137931034482762	0.2592592592592593	0.2592592592592593	0.2592592592592593	0.31818181818181823	0.23636363636363633	0.2592592592592593	0.23636363636363633	0.2592592592592593	0.3623188405797102	0.34375	0.34615384615384615
2003 Commercial Building Energy Consumption Survey	0.3220338983050848	0.29824561403508776	0.4	0.35593220338983056	0.27586206896551724	0.32258064516129037	0.38888888888888884	0.13043478260869568	0.33333333333333337	0.28	0.2727272727272727	0.25	0.27586206896551724	0.2857142857142857	0.23333333333333328	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.30434782608695654	0.26315789473684215	0.2857142857142857	0.26315789473684215	0.2857142857142857	0.352112676056338	0.33333333333333337	0.33333333333333337
2005 Residential Energy Consumption Survey	0.27586206896551724	0.3214285714285714	0.34693877551020413	0.3448275862068966	0.29824561403508776	0.34426229508196726	0.4285714285714286	0.06666666666666665	0.3220338983050848	0.26530612244897955	0.2592592592592593	0.23636363636363633	0.26315789473684215	0.2727272727272727	0.2542372881355932	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.28888888888888886	0.25	0.2727272727272727	0.25	0.2727272727272727	0.34285714285714286	0.32307692307692304	0.3207547169811321
American Housing Survey for the United States 2005	0.288135593220339	0.33333333333333337	0.43999999999999995	0.3220338983050848	0.27586206896551724	0.25806451612903225	0.5	0.30434782608695654	0.33333333333333337	0.31999999999999995	0.2727272727272727	0.2857142857142857	0.31034482758620685	0.2857142857142857	0.2666666666666667	0.25	0.2857142857142857	0.2857142857142857	0.30434782608695654	0.29824561403508776	0.2857142857142857	0.26315789473684215	0.2857142857142857	0.323943661971831	0.33333333333333337	0.2592592592592593
Annual Energy Review 2005	0.3846153846153846	0.56	0.4883720930232558	0.5384615384615384	0.4509803921568627	0.5272727272727273	0.5862068965517242	0.33333333333333337	0.4716981132075472	0.34883720930232553	0.41666666666666663	0.4285714285714286	0.4509803921568627	0.4285714285714286	0.4339622641509434	0.4285714285714286	0.4285714285714286	0.4285714285714286	0.33333333333333337	0.43999999999999995	0.4285714285714286	0.43999999999999995	0.4285714285714286	0.4375	0.4576271186440678	0.4042553191489362
Characterization of the US Industrial Commercial Boiler Population	0.31034482758620685	0.1428571428571429	0.3877551020408163	0.24137931034482762	0.26315789473684215	0.24590163934426235	0.4285714285714286	0.28888888888888886	0.35593220338983056	0.34693877551020413	0.2962962962962963	0.2727272727272727	0.29824561403508776	0.3090909090909091	0.3220338983050848	0.3090909090909091	0.2727272727272727	0.3090909090909091	0.37777777777777777	0.2857142857142857	0.3090909090909091	0.25	0.3090909090909091	0.4285714285714286	0.3538461538461538	0.3207547169811321
Draft US Adipic Acid and Nitric Acid N2O Emissions 1990 Ð 2020 Inventories Projections and Opportunities for Reductions	0.303030303030303	0.3125	0.4736842105263158	0.36363636363636365	0.2615384615384615	0.33333333333333337	0.5348837209302326	0.3584905660377359	0.34328358208955223	0.29824561403508776	0.25806451612903225	0.2698412698412699	0.29230769230769227	0.2698412698412699	0.28358208955223885	0.2698412698412699	0.23809523809523814	0.2698412698412699	0.3207547169811321	0.28125	0.2698412698412699	0.25	0.2698412698412699	0.2564102564102564	0.23287671232876717	0.2786885245901639
Electric Power Annual	0.4693877551020408	0.4893617021276596	0.44999999999999996	0.4693877551020408	0.41666666666666663	0.5	0.3846153846153846	0.38888888888888884	0.43999999999999995	0.30000000000000004	0.37777777777777777	0.3913043478260869	0.41666666666666663	0.3913043478260869	0.43999999999999995	0.3913043478260869	0.3913043478260869	0.3913043478260869	0.2777777777777778	0.4042553191489362	0.3913043478260869	0.4042553191489362	0.3913043478260869	0.5081967213114754	0.4642857142857143	0.36363636363636365
Energy Data Sourcebook for the US Residential Sector	0.31034482758620685	0.2142857142857143	0.34693877551020413	0.27586206896551724	0.1578947368421053	0.2786885245901639	0.48571428571428577	0.24444444444444446	0.22033898305084743	0.22448979591836737	0.2222222222222222	0.23636363636363633	0.26315789473684215	0.23636363636363633	0.288135593220339	0.23636363636363633	0.23636363636363633	0.23636363636363633	0.28888888888888886	0.2142857142857143	0.23636363636363633	0.2142857142857143	0.23636363636363633	0.34285714285714286	0.32307692307692304	0.24528301886792447
Fugitive Emissions Reporting from the Petroleum and Natural Gas Industry Background Technical Support Document	0.303030303030303	0.1875	0.29824561403508776	0.21212121212121215	0.10769230769230764	0.21739130434782605	0.5348837209302326	0.24528301886792447	0.16417910447761197	0.19298245614035092	0.12903225806451613	0.1428571428571429	0.16923076923076918	0.11111111111111116	0.16417910447761197	0.1428571428571429	0.11111111111111116	0.1428571428571429	0.28301886792452835	0.15625	0.1428571428571429	0.15625	0.1428571428571429	0.23076923076923073	0.20547945205479456	0.24590163934426235
Greenhouse Gas GHG Emissions and New Source Review	0.4545454545454546	0.39622641509433965	0.4347826086956522	0.38181818181818183	0.33333333333333337	0.4137931034482759	0.375	0.2857142857142857	0.3571428571428571	0.30434782608695654	0.2941176470588235	0.3076923076923077	0.37037037037037035	0.3076923076923077	0.3214285714285714	0.2692307692307693	0.3076923076923077	0.3076923076923077	0.38095238095238093	0.3207547169811321	0.3076923076923077	0.3207547169811321	0.3076923076923077	0.3731343283582089	0.32258064516129037	0.28
Inventory of US Greenhouse Gas Emissions and Sinks 1990 Ð 2007	0.3870967741935484	0.3666666666666667	0.39622641509433965	0.4193548387096774	0.34426229508196726	0.3846153846153846	0.5384615384615384	0.34693877551020413	0.3650793650793651	0.3584905660377359	0.3448275862068966	0.35593220338983056	0.4098360655737705	0.35593220338983056	0.3650793650793651	0.35593220338983056	0.3220338983050848	0.35593220338983056	0.4285714285714286	0.3666666666666667	0.35593220338983056	0.33333333333333337	0.35593220338983056	0.32432432432432434	0.30434782608695654	0.368421052631579
Supporting Data for Threshold Analysis Subpart E Ð W Greenhouse Gas Mandatory Reporting Rulemaking	0.34375	0.29032258064516125	0.3090909090909091	0.1875	0.17460317460317465	0.28358208955223885	0.5609756097560976	0.2549019607843137	0.1384615384615384	0.23636363636363633	0.1333333333333333	0.14754098360655743	0.2063492063492064	0.14754098360655743	0.19999999999999996	0.14754098360655743	0.14754098360655743	0.14754098360655743	0.33333333333333337	0.12903225806451613	0.14754098360655743	0.16129032258064513	0.14754098360655743	0.23684210526315785	0.2676056338028169	0.288135593220339
Supporting Data for Threshold Analysis Subpart X Ð PP Greenhouse Gas Mandatory Reporting Rulemaking	0.375	0.25806451612903225	0.2727272727272727	0.15625	0.17460317460317465	0.25373134328358204	0.6097560975609756	0.2941176470588235	0.10769230769230764	0.23636363636363633	0.1333333333333333	0.14754098360655743	0.2063492063492064	0.14754098360655743	0.19999999999999996	0.14754098360655743	0.14754098360655743	0.14754098360655743	0.33333333333333337	0.12903225806451613	0.14754098360655743	0.16129032258064513	0.14754098360655743	0.26315789473684215	0.2676056338028169	0.2542372881355932
Technical Support Document for Emissions of HFC23 from Production of HCFC22 Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.303030303030303	0.28125	0.26315789473684215	0.1515151515151515	0.23076923076923073	0.24637681159420288	0.4883720930232558	0.24528301886792447	0.19402985074626866	0.26315789473684215	0.12903225806451613	0.11111111111111116	0.1384615384615384	0.11111111111111116	0.04477611940298509	0.11111111111111116	0.1428571428571429	0.1428571428571429	0.3207547169811321	0.125	0.1428571428571429	0.125	0.1428571428571429	0.2564102564102564	0.23287671232876717	0.2786885245901639
