	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.5333333333333333	0.4642857142857143	0.5294117647058824	0.56	0.625	0.5555555555555556	0.53125	0.5555555555555556	0.46153846153846156	0.5	0.5217391304347826	0.5	0.5714285714285714	0.52	0.5588235294117647	0.8076923076923077	0.5483870967741935	0.5555555555555556	0.5588235294117647	0.48275862068965514	0.6	0.4814814814814815	0.5945945945945945	0.4782608695652174	0.5454545454545454	0.5454545454545454	0.5357142857142857	0.627906976744186	0.5384615384615384	0.5925925925925926	0.5	0.48	0.6875	0.38095238095238093	0.5	0.6285714285714286	0.5714285714285714	0.7916666666666666	0.6595744680851063	0.6341463414634146
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.3939393939393939	0.47058823529411764	0.4054054054054054	0.4482758620689655	0.4444444444444444	0.5	0.25	0.3513513513513513	0.25	0.3548387096774194	0.5172413793103448	0.5483870967741935	0.3666666666666667	0.2962962962962963	0.4736842105263158	0.7878787878787878	0.36363636363636365	0.39473684210526316	0.38888888888888884	0.34375	0.5128205128205128	0.3870967741935484	0.4358974358974359	0.37037037037037035	0.37142857142857144	0.37142857142857144	0.33333333333333337	0.4545454545454546	0.3793103448275862	0.4838709677419355	0.4545454545454546	0.4838709677419355	0.5	0.40740740740740744	0.4482758620689655	0.575	0.36111111111111116	0.6896551724137931	0.5306122448979591	0.4883720930232558
Toxicological Effects of Methylmercury	0.4516129032258065	0.43333333333333335	0.4571428571428572	0.0	0.45833333333333337	0.5666666666666667	0.4545454545454546	0.4864864864864865	0.37037037037037035	0.4137931034482759	0.48	0.6666666666666667	0.4285714285714286	0.42307692307692313	0.6052631578947368	0.8709677419354839	0.5151515151515151	0.4444444444444444	0.48571428571428577	0.4516129032258065	0.48571428571428577	0.3928571428571429	0.4444444444444444	0.43999999999999995	0.5142857142857142	0.5142857142857142	0.3928571428571429	0.5681818181818181	0.3846153846153846	0.3846153846153846	0.4666666666666667	0.3846153846153846	0.6041666666666667	0.5384615384615384	0.46153846153846156	0.5945945945945945	0.5789473684210527	0.8214285714285714	0.6326530612244898	0.6046511627906976
Clean Air Technology Center Technology Transfer Network	0.46875	0.5454545454545454	0.5135135135135135	0.42307692307692313	0.48	0.48275862068965514	0.5142857142857142	0.45945945945945943	0.3928571428571429	0.5757575757575757	0.5555555555555556	0.5862068965517242	0.5	0.5	0.5789473684210527	0.7586206896551724	0.48484848484848486	0.5	0.4571428571428572	0.4193548387096774	0.4117647058823529	0.5161290322580645	0.5384615384615384	0.46153846153846156	0.4411764705882353	0.4411764705882353	0.4137931034482759	0.5454545454545454	0.4642857142857143	0.5172413793103448	0.4838709677419355	0.5172413793103448	0.6122448979591837	0.6071428571428572	0.42307692307692313	0.5277777777777778	0.5526315789473684	0.8275862068965517	0.5833333333333333	0.5813953488372092
Landfill Gas Emissions Model version 302	0.5882352941176471	0.5757575757575757	0.6153846153846154	0.5714285714285714	0.5769230769230769	0.6129032258064516	0.5428571428571429	0.6	0.625	0.5161290322580645	0.5384615384615384	0.6666666666666667	0.5333333333333333	0.4814814814814815	0.641025641025641	0.8333333333333334	0.6388888888888888	0.6341463414634146	0.6052631578947368	0.6666666666666667	0.5675675675675675	0.5483870967741935	0.6341463414634146	0.6551724137931034	0.631578947368421	0.6666666666666667	0.6764705882352942	0.6304347826086957	0.5	0.6451612903225806	0.6470588235294117	0.5517241379310345	0.6326530612244898	0.6428571428571428	0.5714285714285714	0.631578947368421	0.5789473684210527	0.6799999999999999	0.6326530612244898	0.6046511627906976
Motor Vehicle Emission Simulator	0.5161290322580645	0.5	0.5142857142857142	0.34782608695652173	0.4782608695652174	0.5357142857142857	0.46875	0.5405405405405406	0.5	0.48275862068965514	0.36363636363636365	0.5925925925925926	0.4444444444444444	0.5	0.5428571428571429	0.8620689655172413	0.53125	0.5405405405405406	0.5428571428571429	0.5161290322580645	0.5428571428571429	0.4642857142857143	0.5405405405405406	0.45833333333333337	0.5714285714285714	0.5714285714285714	0.5172413793103448	0.6136363636363636	0.4	0.4	0.4285714285714286	0.33333333333333337	0.6734693877551021	0.5	0.48	0.6111111111111112	0.5945945945945945	0.76	0.6458333333333333	0.6511627906976745
 Guidelines for Preparing Economic Analyses	0.46875	0.4516129032258065	0.4285714285714286	0.42307692307692313	0.34782608695652173	0.5806451612903225	0.32258064516129037	0.41666666666666663	0.33333333333333337	0.43333333333333335	0.5555555555555556	0.5862068965517242	0.2692307692307693	0.0	0.5405405405405406	0.8	0.4375	0.45945945945945943	0.4571428571428572	0.3666666666666667	0.5	0.2962962962962963	0.45945945945945943	0.33333333333333337	0.4411764705882353	0.4411764705882353	0.3571428571428571	0.5454545454545454	0.34615384615384615	0.5172413793103448	0.43333333333333335	0.40740740740740744	0.5833333333333333	0.43999999999999995	0.42307692307692313	0.6052631578947368	0.5135135135135135	0.6923076923076923	0.6122448979591837	0.5813953488372092
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act 19902020	0.5128205128205128	0.5384615384615384	0.47619047619047616	0.6111111111111112	0.53125	0.6052631578947368	0.4358974358974359	0.4651162790697675	0.5	0.5263157894736843	0.6666666666666667	0.48484848484848486	0.4571428571428572	0.5	0.46341463414634143	0.7142857142857143	0.525	0.5	0.5348837209302326	0.5128205128205128	0.5	0.5135135135135135	0.5	0.6	0.5238095238095238	0.5238095238095238	0.5526315789473684	0.47916666666666663	0.47058823529411764	0.5945945945945945	0.5263157894736843	0.5555555555555556	0.4901960784313726	0.6285714285714286	0.4375	0.5581395348837209	0.4	0.696969696969697	0.5192307692307692	0.5106382978723405
Advisory on Plans on Health Effects Analysis Plan for the EPAs Second Prospective Analysis Benefits and Costs of the Clean Air Act 19902020	0.4864864864864865	0.5135135135135135	0.44999999999999996	0.5882352941176471	0.5	0.5833333333333333	0.4054054054054054	0.4390243902439024	0.47058823529411764	0.5	0.6470588235294117	0.4516129032258065	0.4242424242424242	0.46875	0.4358974358974359	0.696969696969697	0.5	0.47619047619047616	0.5121951219512195	0.4864864864864865	0.475	0.48571428571428577	0.47619047619047616	0.5757575757575757	0.5	0.5	0.5277777777777778	0.4565217391304348	0.4375	0.5714285714285714	0.5	0.5294117647058824	0.4693877551020408	0.6060606060606061	0.4	0.5365853658536586	0.368421052631579	0.6774193548387097	0.5	0.48888888888888893
Air Compliance Advisor	0.625	0.5172413793103448	0.5294117647058824	0.6153846153846154	0.4285714285714286	0.5	0.53125	0.5555555555555556	0.46153846153846156	0.4444444444444444	0.5833333333333333	0.5	0.46153846153846156	0.3913043478260869	0.5151515151515151	0.8076923076923077	0.5483870967741935	0.5945945945945945	0.5588235294117647	0.5333333333333333	0.5588235294117647	0.42307692307692313	0.5555555555555556	0.40909090909090906	0.5454545454545454	0.5882352941176471	0.5357142857142857	0.6590909090909092	0.48	0.6428571428571428	0.5	0.48	0.6595744680851063	0.4545454545454546	0.36363636363636365	0.6285714285714286	0.5294117647058824	0.6190476190476191	0.6595744680851063	0.6666666666666667
