	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.7945205479452054	0.8223684210526315	0.7821782178217822	0.7894736842105263	0.7894736842105263	0.7678571428571429	0.7865168539325843	0.8571428571428571	0.8187919463087249	0.7777777777777778	0.7368421052631579	0.8157894736842105	0.7763157894736842	0.7857142857142857	0.8157894736842105	0.8947368421052632	0.7956989247311828	0.868995633187773	0.8534031413612565	0.7863247863247863	0.8225806451612904	0.7741935483870968	0.8062015503875969	0.8157894736842105	0.8514285714285714	0.8385093167701864	0.775	0.90633608815427	0.7796610169491526	0.7446808510638298	0.759493670886076	0.782051282051282	0.9177377892030848	0.7857142857142857	0.8	0.7674418604651163	0.8571428571428571	0.8421052631578947	0.9369527145359019	0.8701923076923077
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.6973684210526315	0.7828947368421053	0.8217821782178217	0.7763157894736842	0.7631578947368421	0.8026315789473685	0.7865168539325843	0.7797619047619048	0.6778523489932886	0.8157894736842105	0.7894736842105263	0.8289473684210527	0.8026315789473685	0.7763157894736842	0.7456140350877193	0.9078947368421053	0.7849462365591398	0.7991266375545851	0.8010471204188482	0.7521367521367521	0.7580645161290323	0.7741935483870968	0.7674418604651163	0.8289473684210527	0.7714285714285715	0.7763975155279503	0.775	0.8484848484848485	0.7368421052631579	0.7236842105263158	0.8227848101265823	0.8076923076923077	0.8663239074550129	0.6710526315789473	0.7763157894736842	0.8023255813953488	0.8253968253968254	0.8947368421052632	0.8966725043782837	0.8173076923076923
Toxicological Effects of Methylmercury	0.7671232876712328	0.8618421052631579	0.8415841584158416	0.0	0.6842105263157895	0.8035714285714286	0.8426966292134831	0.875	0.8322147651006712	0.7936507936507936	0.9210526315789473	0.9210526315789473	0.8026315789473685	0.9047619047619048	0.8421052631578947	0.9210526315789473	0.8172043010752689	0.8777292576419214	0.8848167539267016	0.8376068376068376	0.8548387096774194	0.8172043010752689	0.875968992248062	0.8421052631578947	0.88	0.8695652173913043	0.825	0.9228650137741047	0.8305084745762712	0.7446808510638298	0.8227848101265823	0.8076923076923077	0.9305912596401028	0.8095238095238095	0.9	0.8488372093023255	0.8941798941798942	0.8947368421052632	0.9439579684763573	0.8990384615384616
Clean Air Technology Center Technology Transfer Network	0.7945205479452054	0.8289473684210527	0.8118811881188119	0.7818181818181819	0.8	0.875	0.7865168539325843	0.8035714285714286	0.8053691275167785	0.8253968253968254	0.8	0.7454545454545455	0.75	0.8181818181818182	0.7982456140350878	0.9272727272727272	0.8064516129032258	0.8427947598253275	0.8219895287958116	0.7692307692307693	0.7903225806451613	0.7741935483870968	0.813953488372093	0.8363636363636363	0.8171428571428572	0.8136645962732919	0.8	0.8898071625344353	0.7966101694915254	0.8545454545454545	0.7974683544303798	0.782051282051282	0.897172236503856	0.7636363636363637	0.8363636363636363	0.8023255813953488	0.8465608465608465	0.8727272727272727	0.9246935201401051	0.875
Landfill Gas Emissions Model version 302	0.726027397260274	0.8486842105263158	0.8118811881188119	0.825	0.85	0.8214285714285714	0.7752808988764045	0.8571428571428571	0.8389261744966443	0.7936507936507936	0.825	0.875	0.8421052631578947	0.8571428571428571	0.8245614035087719	0.9	0.8172043010752689	0.8908296943231441	0.8795811518324608	0.8461538461538461	0.8145161290322581	0.8064516129032258	0.8527131782945736	0.825	0.8628571428571429	0.8695652173913043	0.825	0.9146005509641874	0.8305084745762712	0.8297872340425532	0.7721518987341772	0.7564102564102564	0.9254498714652957	0.8333333333333334	0.825	0.7906976744186046	0.8783068783068783	0.775	0.9422066549912435	0.8894230769230769
Motor Vehicle Emission Simulator	0.7671232876712328	0.868421052631579	0.8316831683168316	0.7368421052631579	0.84375	0.7857142857142857	0.8089887640449438	0.875	0.8523489932885906	0.8253968253968254	0.9090909090909091	0.8611111111111112	0.7894736842105263	0.8333333333333334	0.8245614035087719	0.90625	0.8172043010752689	0.8951965065502183	0.8848167539267016	0.8461538461538461	0.8467741935483871	0.8064516129032258	0.8527131782945736	0.875	0.8742857142857143	0.8695652173913043	0.8	0.9256198347107438	0.8305084745762712	0.7659574468085106	0.810126582278481	0.7435897435897436	0.9305912596401028	0.7857142857142857	0.8	0.8372093023255814	0.8941798941798942	0.90625	0.9509632224168126	0.8942307692307693
 Guidelines for Preparing Economic Analyses	0.8082191780821918	0.8092105263157895	0.8316831683168316	0.8837209302325582	0.7906976744186046	0.8214285714285714	0.8089887640449438	0.8273809523809523	0.8120805369127517	0.7142857142857143	0.813953488372093	0.8604651162790697	0.75	0.023255813953488372	0.8333333333333334	0.9069767441860465	0.7741935483870968	0.8471615720524017	0.837696335078534	0.811965811965812	0.8225806451612904	0.7956989247311828	0.8372093023255814	0.6744186046511628	0.8571428571428571	0.84472049689441	0.7625	0.90633608815427	0.7457627118644068	0.8723404255319149	0.7721518987341772	0.7948717948717948	0.9125964010282777	0.8604651162790697	0.7906976744186046	0.813953488372093	0.8571428571428571	0.8372093023255814	0.9369527145359019	0.8701923076923077
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act 19902020	0.7834394904458599	0.8089171974522293	0.7770700636942676	0.8471337579617835	0.8535031847133758	0.8343949044585988	0.7643312101910829	0.8035714285714286	0.7579617834394905	0.802547770700637	0.8662420382165605	0.8535031847133758	0.7579617834394905	0.821656050955414	0.7643312101910829	0.9363057324840764	0.7261146496815286	0.7510917030567685	0.7853403141361257	0.7261146496815286	0.7643312101910829	0.7707006369426752	0.7707006369426752	0.8789808917197452	0.7714285714285715	0.782608695652174	0.7452229299363057	0.7988980716253443	0.7961783439490446	0.8280254777070064	0.7961783439490446	0.7579617834394905	0.8071979434447301	0.8535031847133758	0.8662420382165605	0.7898089171974523	0.7724867724867724	0.9235668789808917	0.8318739054290718	0.8076923076923077
Advisory on Plans on Health Effects Analysis Plan for the EPAs Second Prospective Analysis Benefits and Costs of the Clean Air Act 19902020	0.7697841726618705	0.8026315789473685	0.7913669064748201	0.8345323741007195	0.841726618705036	0.8129496402877698	0.7769784172661871	0.7678571428571429	0.7651006711409396	0.7841726618705036	0.8489208633093526	0.841726618705036	0.762589928057554	0.8201438848920863	0.7769784172661871	0.935251798561151	0.6834532374100719	0.759825327510917	0.7905759162303665	0.7482014388489209	0.7913669064748201	0.7697841726618705	0.7913669064748201	0.8705035971223022	0.7885714285714286	0.7639751552795031	0.7050359712230215	0.8016528925619835	0.7913669064748201	0.8201438848920863	0.7841726618705036	0.7410071942446043	0.8097686375321337	0.841726618705036	0.8561151079136691	0.7913669064748201	0.7671957671957672	0.920863309352518	0.8458844133099825	0.7932692307692307
Air Compliance Advisor	0.8767123287671232	0.8947368421052632	0.8613861386138614	0.8421052631578947	0.8387096774193549	0.7857142857142857	0.8651685393258427	0.9107142857142857	0.9060402684563759	0.7142857142857143	0.8484848484848485	0.7222222222222222	0.8421052631578947	0.7857142857142857	0.868421052631579	0.9545454545454546	0.8494623655913979	0.925764192139738	0.9162303664921466	0.8803418803418803	0.8870967741935484	0.8494623655913979	0.8992248062015504	0.8076923076923077	0.9028571428571428	0.8944099378881988	0.85	0.9476584022038568	0.847457627118644	0.7872340425531915	0.8481012658227848	0.8333333333333334	0.9511568123393316	0.8095238095238095	0.85	0.872093023255814	0.91005291005291	0.8181818181818182	0.9649737302977233	0.9182692307692307
