	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.36363636363636365	0.3023255813953488	0.36	0.38888888888888884	0.4545454545454546	0.3846153846153846	0.36170212765957444	0.3846153846153846	0.30000000000000004	0.33333333333333337	0.3529411764705882	0.33333333333333337	0.4	0.3513513513513513	0.3877551020408163	0.6774193548387097	0.37777777777777777	0.3846153846153846	0.3877551020408163	0.31818181818181823	0.4285714285714286	0.31707317073170727	0.42307692307692313	0.3142857142857143	0.375	0.375	0.36585365853658536	0.4576271186440678	0.368421052631579	0.42105263157894735	0.33333333333333337	0.3157894736842105	0.5238095238095238	0.23529411764705888	0.33333333333333337	0.45833333333333337	0.4	0.6551724137931034	0.4920634920634921	0.4642857142857143
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.24528301886792447	0.3076923076923077	0.2542372881355932	0.28888888888888886	0.2857142857142857	0.33333333333333337	0.1428571428571429	0.21311475409836067	0.1428571428571429	0.21568627450980393	0.34883720930232553	0.37777777777777777	0.22448979591836737	0.17391304347826086	0.31034482758620685	0.65	0.2222222222222222	0.24590163934426235	0.24137931034482762	0.2075471698113207	0.3448275862068966	0.24	0.2786885245901639	0.2272727272727273	0.22807017543859653	0.22807017543859653	0.19999999999999996	0.2941176470588235	0.23404255319148937	0.3191489361702128	0.2941176470588235	0.3191489361702128	0.33333333333333337	0.2558139534883721	0.28888888888888886	0.4035087719298246	0.22033898305084743	0.5263157894736843	0.36111111111111116	0.32307692307692304
Toxicological Effects of Methylmercury	0.29166666666666663	0.276595744680851	0.2962962962962963	0.0	0.29729729729729726	0.39534883720930236	0.2941176470588235	0.3214285714285714	0.2272727272727273	0.26086956521739135	0.3157894736842105	0.5	0.2727272727272727	0.2682926829268293	0.4339622641509434	0.7714285714285715	0.34693877551020413	0.2857142857142857	0.3207547169811321	0.29166666666666663	0.3207547169811321	0.24444444444444446	0.2857142857142857	0.28205128205128205	0.34615384615384615	0.34615384615384615	0.24444444444444446	0.39682539682539686	0.23809523809523814	0.23809523809523814	0.30434782608695654	0.23809523809523814	0.4328358208955224	0.368421052631579	0.30000000000000004	0.42307692307692313	0.40740740740740744	0.696969696969697	0.4626865671641791	0.43333333333333335
Clean Air Technology Center Technology Transfer Network	0.30612244897959184	0.375	0.34545454545454546	0.2682926829268293	0.3157894736842105	0.31818181818181823	0.34615384615384615	0.29824561403508776	0.24444444444444446	0.4042553191489362	0.3846153846153846	0.41463414634146345	0.33333333333333337	0.33333333333333337	0.40740740740740744	0.6111111111111112	0.31999999999999995	0.33333333333333337	0.2962962962962963	0.26530612244897955	0.2592592592592593	0.34782608695652173	0.368421052631579	0.30000000000000004	0.28301886792452835	0.28301886792452835	0.26086956521739135	0.375	0.3023255813953488	0.34883720930232553	0.3191489361702128	0.34883720930232553	0.4411764705882353	0.4358974358974359	0.2682926829268293	0.3584905660377359	0.38181818181818183	0.7058823529411764	0.4117647058823529	0.4098360655737705
Landfill Gas Emissions Model version 302	0.41666666666666663	0.4042553191489362	0.4444444444444444	0.4	0.4054054054054054	0.4418604651162791	0.37254901960784315	0.4285714285714286	0.4545454545454546	0.34782608695652173	0.368421052631579	0.5	0.36363636363636365	0.31707317073170727	0.4716981132075472	0.7142857142857143	0.4693877551020408	0.4642857142857143	0.4339622641509434	0.5	0.39622641509433965	0.37777777777777777	0.4642857142857143	0.4871794871794872	0.46153846153846156	0.5	0.5111111111111111	0.46031746031746035	0.33333333333333337	0.47619047619047616	0.4782608695652174	0.38095238095238093	0.4626865671641791	0.4736842105263158	0.4	0.46153846153846156	0.40740740740740744	0.5151515151515151	0.4626865671641791	0.43333333333333335
Motor Vehicle Emission Simulator	0.34782608695652173	0.33333333333333337	0.34615384615384615	0.21052631578947367	0.3142857142857143	0.36585365853658536	0.30612244897959184	0.37037037037037035	0.33333333333333337	0.31818181818181823	0.2222222222222222	0.42105263157894735	0.2857142857142857	0.33333333333333337	0.37254901960784315	0.7575757575757576	0.36170212765957444	0.37037037037037035	0.37254901960784315	0.34782608695652173	0.37254901960784315	0.3023255813953488	0.37037037037037035	0.29729729729729726	0.4	0.4	0.34883720930232553	0.4426229508196722	0.25	0.25	0.2727272727272727	0.19999999999999996	0.5076923076923077	0.33333333333333337	0.3157894736842105	0.43999999999999995	0.42307692307692313	0.6129032258064516	0.4769230769230769	0.48275862068965514
 Guidelines for Preparing Economic Analyses	0.30612244897959184	0.29166666666666663	0.2727272727272727	0.2682926829268293	0.21052631578947367	0.40909090909090906	0.1923076923076923	0.26315789473684215	0.19999999999999996	0.276595744680851	0.3846153846153846	0.41463414634146345	0.15555555555555556	0.0	0.37037037037037035	0.6666666666666667	0.28	0.29824561403508776	0.2962962962962963	0.22448979591836737	0.33333333333333337	0.17391304347826086	0.29824561403508776	0.19999999999999996	0.28301886792452835	0.28301886792452835	0.21739130434782605	0.375	0.2093023255813954	0.34883720930232553	0.276595744680851	0.2558139534883721	0.4117647058823529	0.28205128205128205	0.2682926829268293	0.4339622641509434	0.34545454545454546	0.5294117647058824	0.4411764705882353	0.4098360655737705
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act 19902020	0.3448275862068966	0.368421052631579	0.3125	0.43999999999999995	0.36170212765957444	0.4339622641509434	0.2786885245901639	0.303030303030303	0.33333333333333337	0.3571428571428571	0.5	0.31999999999999995	0.2962962962962963	0.33333333333333337	0.3015873015873016	0.5555555555555556	0.35593220338983056	0.33333333333333337	0.3650793650793651	0.3448275862068966	0.33333333333333337	0.34545454545454546	0.33333333333333337	0.4285714285714286	0.3548387096774194	0.3548387096774194	0.38181818181818183	0.31506849315068497	0.3076923076923077	0.42307692307692313	0.3571428571428571	0.3846153846153846	0.3246753246753247	0.45833333333333337	0.28	0.3870967741935484	0.25	0.5348837209302326	0.35064935064935066	0.34285714285714286
Advisory on Plans on Health Effects Analysis Plan for the EPAs Second Prospective Analysis Benefits and Costs of the Clean Air Act 19902020	0.3214285714285714	0.34545454545454546	0.29032258064516125	0.41666666666666663	0.33333333333333337	0.4117647058823529	0.2542372881355932	0.28125	0.3076923076923077	0.33333333333333337	0.4782608695652174	0.29166666666666663	0.2692307692307693	0.30612244897959184	0.2786885245901639	0.5348837209302326	0.33333333333333337	0.3125	0.34426229508196726	0.3214285714285714	0.3114754098360656	0.3207547169811321	0.3125	0.4042553191489362	0.33333333333333337	0.33333333333333337	0.3584905660377359	0.295774647887324	0.28	0.4	0.33333333333333337	0.36	0.30666666666666664	0.4347826086956522	0.25	0.3666666666666667	0.22580645161290325	0.5121951219512195	0.33333333333333337	0.32352941176470584
Air Compliance Advisor	0.4545454545454546	0.34883720930232553	0.36	0.4444444444444444	0.2727272727272727	0.33333333333333337	0.36170212765957444	0.3846153846153846	0.30000000000000004	0.2857142857142857	0.4117647058823529	0.33333333333333337	0.30000000000000004	0.2432432432432432	0.34693877551020413	0.6774193548387097	0.37777777777777777	0.42307692307692313	0.3877551020408163	0.36363636363636365	0.3877551020408163	0.2682926829268293	0.3846153846153846	0.2571428571428571	0.375	0.41666666666666663	0.36585365853658536	0.4915254237288136	0.3157894736842105	0.4736842105263158	0.33333333333333337	0.3157894736842105	0.4920634920634921	0.2941176470588235	0.2222222222222222	0.45833333333333337	0.36	0.4482758620689655	0.4920634920634921	0.5
