	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.40476190476190477	0.5333333333333333	0.5483870967741935	0.5454545454545454	0.3939393939393939	0.5161290322580645	0.5	0.5	0.4117647058823529	0.47058823529411764	0.375	0.43333333333333335	0.574468085106383	0.5	0.5161290322580645	0.4193548387096774	0.4864864864864865	0.5365853658536586	0.4565217391304348	0.5
Air Quality Criteria for Ozone and Related Photochemical Oxidants Final	0.4285714285714286	0.4642857142857143	0.48275862068965514	0.4838709677419355	0.47058823529411764	0.5	0.3793103448275862	0.48484848484848486	0.48571428571428577	0.4545454545454546	0.24137931034482762	0.3571428571428571	0.5	0.5609756097560976	0.5	0.4	0.5135135135135135	0.5609756097560976	0.5106382978723405	0.525
Clean Air Scientific Advisory Committee’s CASAC Review of the Agency’s Final Ozone Staff Paper	0.39534883720930236	0.4666666666666667	0.53125	0.3870967741935484	0.38235294117647056	0.5	0.3870967741935484	0.4411764705882353	0.4444444444444444	0.36363636363636365	0.36363636363636365	0.4193548387096774	0.43181818181818177	0.5238095238095238	0.4516129032258065	0.3548387096774194	0.43243243243243246	0.41025641025641024	0.44680851063829785	0.44999999999999996
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone PM25 and Regional Haze	0.4222222222222223	0.5	0.5588235294117647	0.5142857142857142	0.41666666666666663	0.48484848484848486	0.5142857142857142	0.5135135135135135	0.4736842105263158	0.4444444444444444	0.4864864864864865	0.5	0.4893617021276596	0.5116279069767442	0.48484848484848486	0.4411764705882353	0.5	0.5116279069767442	0.2954545454545454	0.4390243902439024
Integrated Science Assessment for Oxides of Nitrogen  Health Criteria Final Report	0.4418604651162791	0.48275862068965514	0.5483870967741935	0.5	0.3939393939393939	0.5161290322580645	0.3448275862068966	0.4545454545454546	0.5405405405405406	0.4242424242424242	0.32258064516129037	0.43333333333333335	0.4418604651162791	0.5714285714285714	0.4666666666666667	0.46875	0.4864864864864865	0.5	0.5208333333333333	0.5
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National Final Report	0.41860465116279066	0.5483870967741935	0.5625	0.5588235294117647	0.36363636363636365	0.4838709677419355	0.3666666666666667	0.47058823529411764	0.5135135135135135	0.4411764705882353	0.29032258064516125	0.4	0.4545454545454546	0.5476190476190477	0.4838709677419355	0.48484848484848486	0.5384615384615384	0.5121951219512195	0.5306122448979591	0.475
Integrated Science Assessment for Particulate Matter Second External Review Draft	0.4418604651162791	0.5333333333333333	0.59375	0.4516129032258065	0.29032258064516125	0.4137931034482759	0.4	0.5	0.4571428571428572	0.4242424242424242	0.375	0.43333333333333335	0.40476190476190477	0.5365853658536586	0.4137931034482759	0.46875	0.5641025641025641	0.42105263157894735	0.4222222222222223	0.42105263157894735
Little’s range and FIA importance value database for 135 eastern US tree species	0.4666666666666667	0.5161290322580645	0.53125	0.4375	0.33333333333333337	0.4516129032258065	0.3870967741935484	0.4411764705882353	0.5263157894736843	0.3125	0.4571428571428572	0.5151515151515151	0.31707317073170727	0.5238095238095238	0.4516129032258065	0.4545454545454546	0.4736842105263158	0.368421052631579	0.44680851063829785	0.32432432432432434
Oxidant air pollution effects on a western coniferous forest ecosystem	0.5714285714285714	0.52	0.41666666666666663	0.4814814814814815	0.4137931034482759	0.5555555555555556	0.42307692307692313	0.4285714285714286	0.43333333333333335	0.3928571428571429	0.33333333333333337	0.0	0.5365853658536586	0.5675675675675675	0.375	0.31999999999999995	0.5588235294117647	0.5277777777777778	0.5777777777777777	0.5277777777777778
Review of the National Ambient Air Quality Standards for Ozone Policy assessment of scientific and technical information	0.3414634146341463	0.4482758620689655	0.4666666666666667	0.31034482758620685	0.4117647058823529	0.53125	0.4193548387096774	0.4242424242424242	0.4722222222222222	0.34375	0.4411764705882353	0.4	0.41860465116279066	0.475	0.4838709677419355	0.3870967741935484	0.5	0.4358974358974359	0.4	0.4358974358974359
The Benefits and Costs of the Clean Air Act 19902010	0.5909090909090908	0.5	0.46153846153846156	0.5172413793103448	0.5454545454545454	0.6333333333333333	0.5172413793103448	0.5625	0.5588235294117647	0.5757575757575757	0.4838709677419355	0.5517241379310345	0.6521739130434783	0.5135135135135135	0.5357142857142857	0.5333333333333333	0.24137931034482762	0.4722222222222222	0.5957446808510638	0.5135135135135135
The NOx Budget Trading Program 2008 Environmental Results Clean Air Markets Division	0.36363636363636365	0.6756756756756757	0.6486486486486487	0.641025641025641	0.5128205128205128	0.5428571428571429	0.6052631578947368	0.6341463414634146	0.525	0.6097560975609756	0.5	0.5945945945945945	0.56	0.4883720930232558	0.5428571428571429	0.5789473684210527	0.5121951219512195	0.5227272727272727	0.48	0.4883720930232558
Urban ornamental plants sensitivity to ozone and potential economic losses	0.525	0.4347826086956522	0.3913043478260869	0.33333333333333337	0.3928571428571429	0.5384615384615384	0.5185185185185186	0.40740740740740744	0.4137931034482759	0.24	0.48275862068965514	0.375	0.5609756097560976	0.5142857142857142	0.41666666666666663	0.29166666666666663	0.5	0.47058823529411764	0.5681818181818181	0.47058823529411764
A reassessment of the economic effects of ozone on US agriculture	0.5	0.15000000000000002	0.34782608695652173	0.29166666666666663	0.2962962962962963	0.30434782608695654	0.29166666666666663	0.3076923076923077	0.43333333333333335	0.2692307692307693	0.4482758620689655	0.46153846153846156	0.5365853658536586	0.5277777777777778	0.30434782608695654	0.31999999999999995	0.46875	0.48571428571428577	0.5454545454545454	0.4411764705882353
Air Pollution Damage to US Forests	0.5609756097560976	0.4347826086956522	0.5769230769230769	0.5185185185185186	0.4482758620689655	0.0	0.33333333333333337	0.5172413793103448	0.6060606060606061	0.48275862068965514	0.48275862068965514	0.5555555555555556	0.525	0.631578947368421	0.41666666666666663	0.5357142857142857	0.5454545454545454	0.5555555555555556	0.6	0.5142857142857142
