	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.7777777777777778	0.6808510638297872	0.7446808510638298	0.7872340425531915	0.7380952380952381	0.7978723404255319	0.7553191489361702	0.8085106382978723	0.782608695652174	0.7872340425531915	0.7133757961783439	0.723404255319149	0.8073394495412844	0.7604790419161677	0.7745098039215687	0.7659574468085106	0.8404255319148937	0.8301886792452831	0.819620253164557	0.8018018018018018
Air Quality Criteria for Ozone and Related Photochemical Oxidants Final	0.8115942028985508	0.7887323943661971	0.7887323943661971	0.8266666666666667	0.7857142857142857	0.7464788732394366	0.7887323943661971	0.7619047619047619	0.7304347826086957	0.7912087912087912	0.7898089171974523	0.8450704225352113	0.8348623853211009	0.7844311377245509	0.7647058823529411	0.759493670886076	0.7951807228915663	0.8113207547169812	0.8291139240506329	0.7747747747747747
Clean Air Scientific Advisory Committee’s CASAC Review of the Agency’s Final Ozone Staff Paper	0.8067632850241546	0.7446808510638298	0.7446808510638298	0.7340425531914894	0.7738095238095238	0.8085106382978723	0.7340425531914894	0.8085106382978723	0.782608695652174	0.7553191489361702	0.7707006369426752	0.776595744680851	0.7935779816513762	0.7724550898203593	0.8333333333333334	0.8191489361702128	0.8191489361702128	0.8207547169811321	0.8386075949367089	0.8198198198198198
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone PM25 and Regional Haze	0.7439613526570048	0.7633587786259542	0.7786259541984732	0.732824427480916	0.7321428571428571	0.8549618320610687	0.8015267175572519	0.7404580152671756	0.7786259541984732	0.7404580152671756	0.7770700636942676	0.7557251908396947	0.7614678899082569	0.7724550898203593	0.7862595419847328	0.732824427480916	0.7557251908396947	0.7709923664122137	0.5854430379746836	0.7786259541984732
Integrated Science Assessment for Oxides of Nitrogen  Health Criteria Final Report	0.7874396135265701	0.7073170731707317	0.7560975609756098	0.6951219512195121	0.75	0.8292682926829268	0.7560975609756098	0.8452380952380952	0.7652173913043478	0.8021978021978022	0.7643312101910829	0.8170731707317073	0.7935779816513762	0.7604790419161677	0.7745098039215687	0.8048780487804879	0.8554216867469879	0.8490566037735849	0.8227848101265823	0.8288288288288288
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National Final Report	0.7632850241545893	0.719626168224299	0.7663551401869159	0.719626168224299	0.7142857142857143	0.8504672897196262	0.7850467289719626	0.8037383177570093	0.6869565217391305	0.7570093457943925	0.7515923566878981	0.7850467289719626	0.7752293577981652	0.7485029940119761	0.794392523364486	0.7289719626168224	0.7757009345794392	0.897196261682243	0.7943037974683544	0.8738738738738738
Integrated Science Assessment for Particulate Matter Second External Review Draft	0.7922705314009661	0.7283950617283951	0.7654320987654321	0.691358024691358	0.75	0.8271604938271605	0.7407407407407407	0.8214285714285714	0.7565217391304347	0.7362637362637363	0.7834394904458599	0.8148148148148148	0.7752293577981652	0.7724550898203593	0.7647058823529411	0.8395061728395061	0.8313253012048193	0.8113207547169812	0.8322784810126582	0.7837837837837838
Little’s range and FIA importance value database for 135 eastern US tree species	0.8164251207729468	0.775	0.7625	0.7	0.7619047619047619	0.7625	0.7375	0.7976190476190477	0.7652173913043478	0.7802197802197802	0.7643312101910829	0.8	0.6376146788990825	0.7844311377245509	0.7647058823529411	0.8375	0.8072289156626506	0.8018867924528302	0.8354430379746836	0.7747747747747747
Oxidant air pollution effects on a western coniferous forest ecosystem	0.8019323671497585	0.7714285714285715	0.7	0.6933333333333334	0.75	0.6714285714285714	0.6	0.7857142857142857	0.7478260869565218	0.7582417582417582	0.6305732484076433	0.0	0.8073394495412844	0.7604790419161677	0.7156862745098039	0.7468354430379747	0.7951807228915663	0.8018867924528302	0.8512658227848101	0.7747747747747747
Review of the National Ambient Air Quality Standards for Ozone Policy assessment of scientific and technical information	0.7391304347826086	0.775	0.775	0.725	0.7261904761904762	0.85	0.7666666666666667	0.6416666666666667	0.7666666666666667	0.75	0.7579617834394905	0.7666666666666667	0.7798165137614679	0.7604790419161677	0.7916666666666666	0.7166666666666667	0.8166666666666667	0.8083333333333333	0.7563291139240507	0.8
