	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs fleets hold lead	0.4285714285714286	0.30000000000000004	0.36363636363636365	0.42307692307692313	0.43999999999999995	0.4444444444444444	0.31818181818181823	0.4642857142857143	0.5714285714285714	0.48484848484848486	0.5454545454545454	0.4642857142857143	0.40740740740740744
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.5333333333333333	0.5	0.43333333333333335	0.4242424242424242	0.5294117647058824	0.48571428571428577	0.4	0.4117647058823529	0.5	0.475	0.4054054054054054	0.4571428571428572	0.4117647058823529
Effect of driver fatigue on truck accident rates	0.5	0.4545454545454546	0.4347826086956522	0.42307692307692313	0.43999999999999995	0.4444444444444444	0.31818181818181823	0.34615384615384615	0.46153846153846156	0.5714285714285714	0.5882352941176471	0.5666666666666667	0.4642857142857143
Effect of driver hours of service on tractortrailer crash involvement Proceedings paper	0.3913043478260869	0.34782608695652173	0.4	0.3928571428571429	0.34615384615384615	0.2962962962962963	0.21739130434782605	0.3214285714285714	0.4285714285714286	0.4571428571428572	0.5142857142857142	0.4838709677419355	0.3214285714285714
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.375	0.33333333333333337	0.31999999999999995	0.3793103448275862	0.3928571428571429	0.2857142857142857	0.20833333333333337	0.25	0.4137931034482759	0.4	0.4571428571428572	0.46875	0.3666666666666667
Fatigue circadian rhythm and truck accidents in Vigilance Theory Operational Performance and Physiological Correlates	0.5	0.34615384615384615	0.4482758620689655	0.48484848484848486	0.5	0.40625	0.4137931034482759	0.32258064516129037	0.46875	0.36111111111111116	0.41666666666666663	0.47058823529411764	0.4242424242424242
Performing while sleepy effects of experimentally induced sleepiness	0.41666666666666663	0.30434782608695654	0.36	0.4137931034482759	0.4285714285714286	0.3214285714285714	0.25	0.4	0.5	0.4285714285714286	0.48571428571428577	0.4516129032258065	0.3448275862068966
Time of day models of motor carrier accident risk	0.4285714285714286	0.21052631578947367	0.4347826086956522	0.5357142857142857	0.43999999999999995	0.4444444444444444	0.45833333333333337	0.40740740740740744	0.4	0.5294117647058824	0.5454545454545454	0.5172413793103448	0.4642857142857143
2000 ITS National Motor Carrier Directory	0.6153846153846154	0.52	0.6071428571428572	0.5806451612903225	0.6875	0.6363636363636364	0.6666666666666667	0.5625	0.5172413793103448	0.5675675675675675	0.5428571428571429	0.5625	0.5625
Motor Carrier Financial and Operating Statistics	0.4782608695652174	0.4347826086956522	0.48	0.34615384615384615	0.5357142857142857	0.48275862068965514	0.43999999999999995	0.33333333333333337	0.6451612903225806	0.47058823529411764	0.5294117647058824	0.59375	0.5483870967741935
Commercial Driver Rest  Parking Requirements Making Space for Safety  Final Report	0.5666666666666667	0.48275862068965514	0.4137931034482759	0.30000000000000004	0.46875	0.375	0.43333333333333335	0.23333333333333328	0.33333333333333337	0.33333333333333337	0.43243243243243246	0.4411764705882353	0.48571428571428577
Commercial motor vehicle driver fatigue and alertness study	0.36363636363636365	0.15000000000000002	0.43999999999999995	0.37037037037037035	0.3846153846153846	0.33333333333333337	0.26086956521739135	0.2962962962962963	0.4642857142857143	0.3939393939393939	0.4545454545454546	0.4666666666666667	0.3571428571428571
Commercial Motor Vehicle Driver Fatigue Alertness and Countermeasures Survey	0.4814814814814815	0.3846153846153846	0.5333333333333333	0.3666666666666667	0.53125	0.4375	0.4482758620689655	0.24137931034482762	0.4516129032258065	0.24242424242424243	0.4	0.4545454545454546	0.4545454545454546
Costs of Large Truck and Bus Involved Crashes	0.5384615384615384	0.43999999999999995	0.4814814814814815	0.4666666666666667	0.5333333333333333	0.4838709677419355	0.3846153846153846	0.4516129032258065	0.5483870967741935	0.5135135135135135	0.5277777777777778	0.5454545454545454	0.4
Effects of loading and unloading cargo on commercial truck driver alertness and performance	0.4347826086956522	0.3913043478260869	0.375	0.37037037037037035	0.31999999999999995	0.33333333333333337	0.26086956521739135	0.23076923076923073	0.40740740740740744	0.48571428571428577	0.5428571428571429	0.5625	0.4137931034482759
Effects of operating practices on commercial driver alertness	0.38095238095238093	0.33333333333333337	0.45833333333333337	0.3846153846153846	0.33333333333333337	0.34615384615384615	0.2727272727272727	0.3076923076923077	0.4814814814814815	0.5	0.5588235294117647	0.5806451612903225	0.4285714285714286
Effects of sleep schedules on commercial motor vehicle driver performance	0.33333333333333337	0.2857142857142857	0.34782608695652173	0.40740740740740744	0.29166666666666663	0.3076923076923077	0.2272727272727273	0.33333333333333337	0.4444444444444444	0.47058823529411764	0.48484848484848486	0.5	0.3928571428571429
FMCSAs Strategy	0.7391304347826086	0.6363636363636364	0.72	0.5769230769230769	0.7931034482758621	0.6896551724137931	0.7307692307692308	0.5	0.7142857142857143	0.6060606060606061	0.6666666666666667	0.6551724137931034	0.7419354838709677
Impact of LocaiiSH Operations on Driver Fatigue Final Report	0.5862068965517242	0.5517241379310345	0.48275862068965514	0.4193548387096774	0.43333333333333335	0.48484848484848486	0.3928571428571429	0.40625	0.5	0.43243243243243246	0.4	0.5	0.4545454545454546
Literature Review Relating to Proposed Revisions to the Hours of Service Regulation for Commercial Motor Vehicle Drivers	0.5483870967741935	0.4666666666666667	0.4516129032258065	0.29032258064516125	0.4545454545454546	0.4117647058823529	0.31034482758620685	0.38235294117647056	0.5142857142857142	0.2777777777777778	0.42105263157894735	0.4722222222222222	0.38235294117647056
National Institute of Health website	0.625	0.5217391304347826	0.4347826086956522	0.5862068965517242	0.5	0.5517241379310345	0.45833333333333337	0.65625	0.6666666666666667	0.5714285714285714	0.5454545454545454	0.4642857142857143	0.5172413793103448
Unit Costs of Medium and Heavy Truck Crashes	0.5	0.33333333333333337	0.5	0.4838709677419355	0.3928571428571429	0.4516129032258065	0.4642857142857143	0.3666666666666667	0.4666666666666667	0.3529411764705882	0.36363636363636365	0.4193548387096774	0.46875
Wage Adjustments in Local Labor Markets Do the Wage Rates in all Industries Adjust	0.5517241379310345	0.5172413793103448	0.5483870967741935	0.48484848484848486	0.5	0.40625	0.4666666666666667	0.47058823529411764	0.5588235294117647	0.4871794871794872	0.575	0.631578947368421	0.5142857142857142
Employer Costs for Employee Compensation December 2009	0.5384615384615384	0.375	0.5357142857142857	0.5625	0.48275862068965514	0.43333333333333335	0.5517241379310345	0.4516129032258065	0.5	0.5135135135135135	0.5675675675675675	0.6285714285714286	0.5882352941176471
