	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs fleets hold lead	0.2727272727272727	0.17647058823529416	0.2222222222222222	0.2682926829268293	0.28205128205128205	0.2857142857142857	0.18918918918918914	0.3023255813953488	0.4	0.31999999999999995	0.375	0.3023255813953488	0.2558139534883721
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.36363636363636365	0.33333333333333337	0.276595744680851	0.2692307692307693	0.36	0.3207547169811321	0.25	0.2592592592592593	0.33333333333333337	0.3114754098360656	0.2542372881355932	0.2962962962962963	0.2592592592592593
Effect of driver fatigue on truck accident rates	0.33333333333333337	0.2941176470588235	0.2777777777777778	0.2682926829268293	0.28205128205128205	0.2857142857142857	0.18918918918918914	0.2093023255813954	0.30000000000000004	0.4	0.41666666666666663	0.39534883720930236	0.3023255813953488
Effect of driver hours of service on tractortrailer crash involvement Proceedings paper	0.2432432432432432	0.21052631578947367	0.25	0.24444444444444446	0.2093023255813954	0.17391304347826086	0.12195121951219512	0.19148936170212771	0.2727272727272727	0.2962962962962963	0.34615384615384615	0.3191489361702128	0.19148936170212771
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.23076923076923073	0.19999999999999996	0.19047619047619047	0.23404255319148937	0.24444444444444446	0.16666666666666663	0.11627906976744184	0.1428571428571429	0.26086956521739135	0.25	0.2962962962962963	0.30612244897959184	0.22448979591836737
Fatigue circadian rhythm and truck accidents in Vigilance Theory Operational Performance and Physiological Correlates	0.33333333333333337	0.2093023255813954	0.28888888888888886	0.31999999999999995	0.33333333333333337	0.2549019607843137	0.26086956521739135	0.1923076923076923	0.30612244897959184	0.22033898305084743	0.26315789473684215	0.3076923076923077	0.2692307692307693
Performing while sleepy effects of experimentally induced sleepiness	0.26315789473684215	0.17948717948717952	0.2195121951219512	0.26086956521739135	0.2727272727272727	0.19148936170212771	0.1428571428571429	0.25	0.33333333333333337	0.2727272727272727	0.3207547169811321	0.29166666666666663	0.20833333333333337
Time of day models of motor carrier accident risk	0.2727272727272727	0.11764705882352944	0.2777777777777778	0.36585365853658536	0.28205128205128205	0.2857142857142857	0.29729729729729726	0.2558139534883721	0.25	0.36	0.375	0.34883720930232553	0.3023255813953488
2000 ITS National Motor Carrier Directory	0.4444444444444444	0.3513513513513513	0.4358974358974359	0.40909090909090906	0.5238095238095238	0.4666666666666667	0.5	0.3913043478260869	0.34883720930232553	0.39622641509433965	0.37254901960784315	0.3913043478260869	0.3913043478260869
Motor Carrier Financial and Operating Statistics	0.3142857142857143	0.2777777777777778	0.3157894736842105	0.2093023255813954	0.36585365853658536	0.31818181818181823	0.28205128205128205	0.19999999999999996	0.47619047619047616	0.3076923076923077	0.36	0.4222222222222223	0.37777777777777777
Commercial Driver Rest  Parking Requirements Making Space for Safety  Final Report	0.39534883720930236	0.31818181818181823	0.26086956521739135	0.17647058823529416	0.30612244897959184	0.23076923076923073	0.276595744680851	0.13207547169811318	0.19999999999999996	0.19999999999999996	0.27586206896551724	0.28301886792452835	0.3207547169811321
Commercial motor vehicle driver fatigue and alertness study	0.2222222222222222	0.08108108108108103	0.28205128205128205	0.2272727272727273	0.23809523809523814	0.19999999999999996	0.15000000000000002	0.17391304347826086	0.3023255813953488	0.24528301886792447	0.2941176470588235	0.30434782608695654	0.21739130434782605
Commercial Motor Vehicle Driver Fatigue Alertness and Countermeasures Survey	0.31707317073170727	0.23809523809523814	0.36363636363636365	0.22448979591836737	0.36170212765957444	0.28	0.28888888888888886	0.13725490196078427	0.29166666666666663	0.13793103448275867	0.25	0.2941176470588235	0.2941176470588235
Costs of Large Truck and Bus Involved Crashes	0.368421052631579	0.28205128205128205	0.31707317073170727	0.30434782608695654	0.36363636363636365	0.3191489361702128	0.23809523809523814	0.29166666666666663	0.37777777777777777	0.34545454545454546	0.3584905660377359	0.375	0.25
