	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
A Guide to Econometrics 3rd Edition	0.5172413793103448	0.6571428571428571	0.6216216216216216	0.6060606060606061	0.5416666666666667	0.6585365853658536	0.6111111111111112	0.6923076923076923	0.59375	0.59375	0.5185185185185186
Public Citizen v NHTSA	0.6363636363636364	0.6388888888888888	0.6052631578947368	0.6285714285714286	0.7241379310344828	0.7045454545454546	0.6666666666666667	0.675	0.7297297297297297	0.6944444444444444	0.6451612903225806
Consumer Finance	0.6206896551724138	0.5806451612903225	0.7027027027027026	0.696969696969697	0.5454545454545454	0.7317073170731707	0.6176470588235294	0.6285714285714286	0.6451612903225806	0.6875	0.52
Highway Statistics Summary to 1995	0.5625	0.6111111111111112	0.5789473684210527	0.6388888888888888	0.7333333333333334	0.6818181818181819	0.641025641025641	0.6829268292682926	0.6666666666666667	0.6285714285714286	0.6129032258064516
Statistical Release H15 Selected Interest Rates	0.5806451612903225	0.6285714285714286	0.5945945945945945	0.6176470588235294	0.56	0.6666666666666667	0.6216216216216216	0.7	0.6470588235294117	0.6470588235294117	0.6333333333333333
Statstical Release G20 Finance Companies	0.6060606060606061	0.5294117647058824	0.5789473684210527	0.6756756756756757	0.5384615384615384	0.6190476190476191	0.5277777777777778	0.6153846153846154	0.6285714285714286	0.6666666666666667	0.4642857142857143
The Greenhouse Gas and Regulated Emissions from Transportation GREET Model Version 18	0.375	0.4	0.5	0.4285714285714286	0.5333333333333333	0.47619047619047616	0.4871794871794872	0.5365853658536586	0.5405405405405406	0.5789473684210527	0.46875
1997 Federal Highway Cost Allocation Study	0.47058823529411764	0.5263157894736843	0.46153846153846156	0.5135135135135135	0.5806451612903225	0.6086956521739131	0.4473684210526315	0.5714285714285714	0.5405405405405406	0.5	0.4193548387096774
2006 Guidelines for National Greenhouse Gas Inventories	0.5	0.5945945945945945	0.5263157894736843	0.5833333333333333	0.5185185185185186	0.5365853658536586	0.5135135135135135	0.6666666666666667	0.5294117647058824	0.5714285714285714	0.6363636363636364
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.375	0.3529411764705882	0.46153846153846156	0.33333333333333337	0.5333333333333333	0.5116279069767442	0.4054054054054054	0.5365853658536586	0.4117647058823529	0.4571428571428572	0.4193548387096774
Annual Energy Outlook 2007	0.59375	0.6756756756756757	0.641025641025641	0.5882352941176471	0.6296296296296297	0.575	0.631578947368421	0.7073170731707317	0.5757575757575757	0.6176470588235294	0.6
Annual Energy Outlook 2008 Early Release	0.5757575757575757	0.6216216216216216	0.625	0.5294117647058824	0.6071428571428572	0.525	0.6153846153846154	0.6904761904761905	0.5588235294117647	0.5588235294117647	0.5806451612903225
Annual Energy Review 2006	0.6363636363636364	0.6388888888888888	0.641025641025641	0.5882352941176471	0.7241379310344828	0.6428571428571428	0.631578947368421	0.7674418604651163	0.5757575757575757	0.5757575757575757	0.6451612903225806
Climate Change 2007  Impacts Adaptation and Vulnerability Contribution of Working Group II to the Fourth Assessment Report	0.4473684210526315	0.3846153846153846	0.4418604651162791	0.4878048780487805	0.5	0.4222222222222223	0.21621621621621623	0.5111111111111111	0.475	0.5121951219512195	0.4444444444444444
Climate Change 2007 Synthesis Report Contributions of Working Group I II and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change	0.46153846153846156	0.4	0.41860465116279066	0.5	0.5142857142857142	0.4	0.18918918918918914	0.5217391304347826	0.4878048780487805	0.4878048780487805	0.45945945945945943
Comparison of Indirect Cost Multipliers for Vehicle Manufacturing 	0.31034482758620685	0.34375	0.5384615384615384	0.47058823529411764	0.36	0.5121951219512195	0.4444444444444444	0.45945945945945943	0.4545454545454546	0.5833333333333333	0.3571428571428571
Cost and Effectiveness Estimates of Technologies Used to Reduce LightDuty Vehicle Carbon Dioxide Emissions	0.4	0.23529411764705888	0.5116279069767442	0.36111111111111116	0.5882352941176471	0.41860465116279066	0.5	0.47619047619047616	0.4736842105263158	0.4736842105263158	0.4411764705882353
Costs of Effectiveness of Increasing Corporate Average Fuel Economy Standards	0.2666666666666667	0.303030303030303	0.5365853658536586	0.4285714285714286	0.37037037037037035	0.47619047619047616	0.4054054054054054	0.46153846153846156	0.4117647058823529	0.5405405405405406	0.18518518518518523
Draft Inventory of GHG Emissions and Sinks 19901999	0.5	0.5526315789473684	0.525	0.6153846153846154	0.5666666666666667	0.5681818181818181	0.5853658536585367	0.627906976744186	0.6052631578947368	0.6052631578947368	0.5454545454545454
Estimating the Energy Security Benefits of Reduced US Oil Imports	0.29032258064516125	0.37142857142857144	0.5476190476190477	0.4	0.3928571428571429	0.33333333333333337	0.5	0.475	0.4285714285714286	0.5135135135135135	0.3870967741935484
Impacts Adaption and Vulnerability Contribution of Working Group II to the Fourth Assessement Report	0.4	0.33333333333333337	0.5116279069767442	0.4473684210526315	0.4516129032258065	0.48888888888888893	0.25	0.47619047619047616	0.4736842105263158	0.4736842105263158	0.3939393939393939
Inventory of US Greenhouse Gas Emissions and Sinks 19902005	0.5	0.55	0.4878048780487805	0.575	0.6060606060606061	0.4651162790697675	0.5121951219512195	0.6222222222222222	0.5641025641025641	0.5641025641025641	0.5833333333333333
Mobile Source  per Ton Estimate	0.3571428571428571	0.3870967741935484	0.5789473684210527	0.46875	0.5384615384615384	0.5128205128205128	0.6052631578947368	0.5405405405405406	0.5882352941176471	0.6666666666666667	0.40740740740740744
Oil Imports An Assessment of Benefits and Costs	0.4666666666666667	0.5714285714285714	0.6153846153846154	0.6	0.0	0.5853658536585367	0.5277777777777778	0.5789473684210527	0.5	0.6666666666666667	0.4642857142857143
Perform Cost and Weight Analysis Head Protection Air Bag Systems FMVSS 201	0.45945945945945943	0.475	0.45238095238095233	0.5	0.5151515151515151	0.5319148936170213	0.4390243902439024	0.45238095238095233	0.36111111111111116	0.5952380952380952	0.4117647058823529
Perspectives on climate change and sustainability	0.4	0.4242424242424242	0.5263157894736843	0.4545454545454546	0.5185185185185186	0.5	0.4285714285714286	0.5263157894736843	0.4375	0.4375	0.4482758620689655
