	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
A Guide to Econometrics 3rd Edition	0.8380281690140845	0.8064516129032258	0.8431372549019608	0.7857142857142857	0.7872340425531915	0.856	0.8571428571428571	0.8705882352941177	0.7764705882352941	0.7692307692307693	0.7192982456140351
Public Citizen v NHTSA	0.9295774647887324	0.9032258064516129	0.8529411764705882	0.8775510204081632	0.8723404255319149	0.896	0.9206349206349206	0.9176470588235294	0.8823529411764706	0.8681318681318682	0.8421052631578947
Consumer Finance	0.9154929577464789	0.8951612903225806	0.9019607843137255	0.9183673469387755	0.8085106382978723	0.92	0.9047619047619048	0.9235294117647059	0.8941176470588236	0.9010989010989011	0.8421052631578947
Highway Statistics Summary to 1995	0.8591549295774648	0.8548387096774194	0.8431372549019608	0.8469387755102041	0.851063829787234	0.856	0.8968253968253969	0.888235294117647	0.8352941176470589	0.8241758241758241	0.8596491228070176
Statistical Release H15 Selected Interest Rates	0.8309859154929577	0.8064516129032258	0.8137254901960784	0.7755102040816326	0.8297872340425532	0.816	0.8253968253968254	0.8235294117647058	0.8117647058823529	0.8021978021978022	0.7894736842105263
Statstical Release G20 Finance Companies	0.8380281690140845	0.8225806451612904	0.7745098039215687	0.8163265306122449	0.8085106382978723	0.848	0.8571428571428571	0.8470588235294118	0.8	0.8021978021978022	0.7543859649122807
The Greenhouse Gas and Regulated Emissions from Transportation GREET Model Version 18	0.7112676056338029	0.75	0.7254901960784313	0.8061224489795918	0.7764705882352941	0.776	0.8253968253968254	0.7411764705882353	0.7529411764705882	0.8131868131868132	0.788235294117647
1997 Federal Highway Cost Allocation Study	0.8380281690140845	0.8225806451612904	0.8137254901960784	0.8163265306122449	0.851063829787234	0.84	0.8571428571428571	0.8470588235294118	0.8	0.8131868131868132	0.8070175438596491
2006 Guidelines for National Greenhouse Gas Inventories	0.7887323943661971	0.8064516129032258	0.7647058823529411	0.7857142857142857	0.8	0.808	0.8174603174603174	0.8058823529411765	0.8117647058823529	0.7692307692307693	0.7894736842105263
Alternative and Future Technologies for Reducing Greenhouse Gas Emissions from Road Vehicles	0.7746478873239436	0.7419354838709677	0.7843137254901961	0.8367346938775511	0.8043478260869565	0.728	0.8015873015873016	0.788235294117647	0.7608695652173914	0.8152173913043478	0.782608695652174
Annual Energy Outlook 2007	0.8802816901408451	0.8709677419354839	0.8529411764705882	0.8673469387755102	0.8723404255319149	0.848	0.9047619047619048	0.9058823529411765	0.8235294117647058	0.8351648351648352	0.8421052631578947
Annual Energy Outlook 2008 Early Release	0.8309859154929577	0.8225806451612904	0.8137254901960784	0.8163265306122449	0.9148936170212766	0.808	0.8492063492063492	0.8647058823529412	0.7529411764705882	0.7802197802197802	0.8070175438596491
Annual Energy Review 2006	0.8732394366197183	0.8709677419354839	0.8529411764705882	0.8775510204081632	0.851063829787234	0.864	0.8888888888888888	0.9176470588235294	0.8352941176470589	0.8461538461538461	0.8070175438596491
Climate Change 2007  Impacts Adaptation and Vulnerability Contribution of Working Group II to the Fourth Assessment Report	0.7535211267605634	0.8790322580645161	0.8114754098360656	0.8032786885245902	0.7950819672131147	0.832	0.873015873015873	0.7705882352941177	0.7786885245901639	0.7868852459016393	0.7786885245901639
Climate Change 2007 Synthesis Report Contributions of Working Group I II and III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change	0.7577639751552795	0.7639751552795031	0.7950310559006211	0.782608695652174	0.7888198757763976	0.7701863354037267	0.5900621118012422	0.8235294117647058	0.782608695652174	0.8074534161490683	0.8322981366459627
Comparison of Indirect Cost Multipliers for Vehicle Manufacturing 	0.7746478873239436	0.7741935483870968	0.7647058823529411	0.8061224489795918	0.803030303030303	0.8	0.746031746031746	0.8	0.7294117647058823	0.8021978021978022	0.7575757575757576
