	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	BMW 5Series 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.4193548387096774	0.4878048780487805	0.6363636363636364	0.7878787878787878	0.7058823529411764	0.8181818181818181	0.7222222222222222	0.7272727272727273	0.7352941176470589	0.84375	0.7027027027027026	0.7352941176470589	0.8181818181818181	0.6944444444444444	0.8333333333333334	0.696969696969697	0.7352941176470589	0.7878787878787878	0.8125	0.8529411764705882	0.7777777777777778	0.7575757575757576	0.75	0.7352941176470589	0.7575757575757576	0.7777777777777778	0.7352941176470589	0.7428571428571429	0.6857142857142857	0.6666666666666667	0.6875	0.7428571428571429	0.6857142857142857	0.696969696969697	0.7941176470588236	0.7575757575757576	0.7714285714285715	0.7878787878787878	0.7714285714285715	0.7272727272727273	0.7941176470588236	0.7058823529411764	0.8666666666666667	0.78125	0.75	0.7027027027027026	0.7941176470588236	0.9189189189189189	0.7647058823529411	0.7272727272727273	0.6923076923076923	0.8055555555555556
Monte Carlo Statistical Methods	0.4347826086956522	0.5588235294117647	0.47619047619047616	0.4117647058823529	0.5909090909090908	0.5555555555555556	0.5	0.55	0.5	0.5882352941176471	0.6	0.5714285714285714	0.5555555555555556	0.5217391304347826	0.6190476190476191	0.5714285714285714	0.5	0.5789473684210527	0.6111111111111112	0.631578947368421	0.44999999999999996	0.6666666666666667	0.5789473684210527	0.42105263157894735	0.5263157894736843	0.44999999999999996	0.5	0.5238095238095238	0.625	0.5238095238095238	0.4736842105263158	0.5909090909090908	0.5	0.5714285714285714	0.4444444444444444	0.5263157894736843	0.5714285714285714	0.5	0.6363636363636364	0.6190476190476191	0.782608695652174	0.6521739130434783	0.7647058823529411	0.631578947368421	0.65	0.5416666666666667	0.6666666666666667	0.7142857142857143	0.4736842105263158	0.6190476190476191	0.5384615384615384	0.6956521739130435
Monte Carlo Strategies in Scientific Computing	0.43999999999999995	0.5142857142857142	0.5416666666666667	0.5714285714285714	0.64	0.6818181818181819	0.56	0.6086956521739131	0.5652173913043479	0.7142857142857143	0.6428571428571428	0.625	0.6818181818181819	0.5769230769230769	0.72	0.625	0.625	0.6363636363636364	0.7272727272727273	0.7391304347826086	0.5833333333333333	0.7083333333333333	0.6956521739130435	0.5	0.5909090909090908	0.5833333333333333	0.6799999999999999	0.5833333333333333	0.56	0.5833333333333333	0.6666666666666667	0.5833333333333333	0.56	0.6799999999999999	0.5909090909090908	0.5909090909090908	0.625	0.6363636363636364	0.6799999999999999	0.5454545454545454	0.8076923076923077	0.64	0.8	0.6190476190476191	0.6956521739130435	0.5925925925925926	0.6521739130434783	0.8	0.6086956521739131	0.6086956521739131	0.6333333333333333	0.7307692307692308
Wards 2008 Automotive Yearbook	0.46153846153846156	0.675	0.6153846153846154	0.7083333333333333	0.6538461538461539	0.6956521739130435	0.6785714285714286	0.6799999999999999	0.6923076923076923	0.7272727272727273	0.7419354838709677	0.64	0.6956521739130435	0.6896551724137931	0.6799999999999999	0.64	0.7407407407407407	0.7083333333333333	0.7391304347826086	0.8	0.6538461538461539	0.72	0.76	0.6923076923076923	0.72	0.6538461538461539	0.6923076923076923	0.6538461538461539	0.8064516129032258	0.7037037037037037	0.625	0.7037037037037037	0.6785714285714286	0.6923076923076923	0.7692307692307692	0.6666666666666667	0.6923076923076923	0.7083333333333333	0.7407407407407407	0.7307692307692308	0.8148148148148149	0.75	0.8095238095238095	0.75	0.76	0.6551724137931034	0.72	0.8928571428571429	0.7777777777777778	0.7307692307692308	0.6875	0.7407407407407407
Fatality Analysis Reporting System Encyclopedia	0.4814814814814815	0.6153846153846154	0.52	0.6086956521739131	0.6153846153846154	0.7083333333333333	0.5925925925925926	0.64	0.6	0.7391304347826086	0.6666666666666667	0.6538461538461539	0.6521739130434783	0.6071428571428572	0.7407407407407407	0.6538461538461539	0.6538461538461539	0.6666666666666667	0.6956521739130435	0.8076923076923077	0.6666666666666667	0.6799999999999999	0.72	0.5416666666666667	0.6799999999999999	0.6666666666666667	0.6538461538461539	0.6666666666666667	0.6428571428571428	0.56	0.64	0.6153846153846154	0.5925925925925926	0.6	0.625	0.625	0.6538461538461539	0.72	0.6	0.5833333333333333	0.6799999999999999	0.6153846153846154	0.8181818181818181	0.7083333333333333	0.6086956521739131	0.7096774193548387	0.7307692307692308	0.8571428571428572	0.5833333333333333	0.6923076923076923	0.65625	0.6538461538461539
National Automotive Sampling System General Estimates Systems	0.42307692307692313	0.65	0.5769230769230769	0.6666666666666667	0.6153846153846154	0.76	0.6428571428571428	0.6923076923076923	0.6	0.7916666666666666	0.6206896551724138	0.6538461538461539	0.76	0.6071428571428572	0.7407407407407407	0.6538461538461539	0.7037037037037037	0.7692307692307692	0.8	0.8518518518518519	0.7142857142857143	0.7777777777777778	0.7692307692307692	0.6538461538461539	0.6799999999999999	0.7142857142857143	0.7037037037037037	0.7142857142857143	0.6428571428571428	0.56	0.64	0.6666666666666667	0.6428571428571428	0.6	0.7307692307692308	0.6799999999999999	0.6538461538461539	0.7692307692307692	0.6538461538461539	0.5833333333333333	0.7307692307692308	0.6153846153846154	0.8181818181818181	0.6521739130434783	0.6666666666666667	0.6206896551724138	0.7307692307692308	0.896551724137931	0.6923076923076923	0.64	0.65625	0.75
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.5172413793103448	0.4864864864864865	0.5555555555555556	0.64	0.6428571428571428	0.625	0.46153846153846156	0.6153846153846154	0.6296296296296297	0.7083333333333333	0.5	0.5769230769230769	0.625	0.42307692307692313	0.7142857142857143	0.6296296296296297	0.6296296296296297	0.5833333333333333	0.72	0.7307692307692308	0.5925925925925926	0.7037037037037037	0.64	0.6296296296296297	0.6	0.5925925925925926	0.6296296296296297	0.48	0.6666666666666667	0.5925925925925926	0.6153846153846154	0.6428571428571428	0.46153846153846156	0.6785714285714286	0.6538461538461539	0.5416666666666667	0.6785714285714286	0.64	0.6296296296296297	0.6666666666666667	0.8333333333333334	0.6896551724137931	0.782608695652174	0.6799999999999999	0.7407407407407407	0.6	0.7037037037037037	0.7857142857142857	0.6153846153846154	0.6153846153846154	0.6363636363636364	0.6296296296296297
OnRoad Study of Drivers Use of Rearview Video Systems	0.4444444444444444	0.625	0.5925925925925926	0.625	0.6296296296296297	0.6666666666666667	0.6071428571428572	0.7037037037037037	0.56	0.8	0.6774193548387097	0.6153846153846154	0.72	0.6206896551724138	0.7037037037037037	0.6153846153846154	0.7142857142857143	0.7307692307692308	0.8076923076923077	0.8148148148148149	0.6785714285714286	0.7407407407407407	0.7307692307692308	0.6666666666666667	0.64	0.6785714285714286	0.7142857142857143	0.6785714285714286	0.6551724137931034	0.6296296296296297	0.7037037037037037	0.6785714285714286	0.6071428571428572	0.6666666666666667	0.7407407407407407	0.64	0.6666666666666667	0.7307692307692308	0.5	0.6	0.64	0.45833333333333337	0.7727272727272727	0.5454545454545454	0.7307692307692308	0.5862068965517242	0.64	0.7777777777777778	0.6538461538461539	0.5416666666666667	0.6666666666666667	0.7586206896551724
Rear Visbility and Backing Risks in Crashes	0.5714285714285714	0.6052631578947368	0.56	0.6521739130434783	0.6538461538461539	0.6363636363636364	0.45833333333333337	0.5652173913043479	0.64	0.7272727272727273	0.5555555555555556	0.6923076923076923	0.6956521739130435	0.41666666666666663	0.7307692307692308	0.64	0.64	0.7083333333333333	0.7391304347826086	0.8	0.6538461538461539	0.72	0.6521739130434783	0.64	0.72	0.6538461538461539	0.5833333333333333	0.5416666666666667	0.7241379310344828	0.6	0.625	0.6	0.45833333333333337	0.64	0.6666666666666667	0.6666666666666667	0.7407407407407407	0.7083333333333333	0.64	0.6799999999999999	0.7692307692307692	0.6538461538461539	0.75	0.6956521739130435	0.76	0.6071428571428572	0.6666666666666667	0.8076923076923077	0.5652173913043479	0.6799999999999999	0.6451612903225806	0.6923076923076923
The ability of rearmounted convex mirrors to improve rear visbility	0.31999999999999995	0.5135135135135135	0.5384615384615384	0.6799999999999999	0.6296296296296297	0.72	0.6551724137931034	0.6538461538461539	0.6153846153846154	0.75	0.6774193548387097	0.6153846153846154	0.72	0.6666666666666667	0.75	0.56	0.6666666666666667	0.6799999999999999	0.76	0.8148148148148149	0.7241379310344828	0.7407407407407407	0.7307692307692308	0.6153846153846154	0.6923076923076923	0.7241379310344828	0.6153846153846154	0.6296296296296297	0.7419354838709677	0.5769230769230769	0.6	0.6296296296296297	0.6551724137931034	0.56	0.64	0.64	0.6666666666666667	0.6799999999999999	0.6666666666666667	0.7037037037037037	0.7857142857142857	0.6296296296296297	0.8260869565217391	0.72	0.625	0.5862068965517242	0.64	0.9	0.7037037037037037	0.7037037037037037	0.6666666666666667	0.8
