	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	BMW 5Series 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.7319587628865979	0.7222222222222222	0.865979381443299	0.8762886597938144	0.8762886597938144	0.8865979381443299	0.8556701030927835	0.865979381443299	0.865979381443299	0.8865979381443299	0.865979381443299	0.8762886597938144	0.9072164948453608	0.845360824742268	0.8865979381443299	0.865979381443299	0.865979381443299	0.8969072164948454	0.8969072164948454	0.8865979381443299	0.8762886597938144	0.8762886597938144	0.865979381443299	0.8762886597938144	0.8762886597938144	0.8762886597938144	0.8762886597938144	0.865979381443299	0.8350515463917526	0.8556701030927835	0.8556701030927835	0.865979381443299	0.8556701030927835	0.865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.8865979381443299	0.9072164948453608	0.9381443298969072	0.8865979381443299	0.9484536082474226	0.9175257731958762	0.9175257731958762	0.8762886597938144	0.9072164948453608	0.9484536082474226	0.8865979381443299	0.9072164948453608	0.845360824742268	0.8969072164948454
Monte Carlo Statistical Methods	0.7843137254901961	0.8703703703703703	0.9032258064516129	0.8387096774193549	0.9032258064516129	0.8709677419354839	0.8387096774193549	0.7741935483870968	0.8387096774193549	0.7741935483870968	0.9032258064516129	0.9032258064516129	0.8709677419354839	0.9032258064516129	0.8387096774193549	0.8709677419354839	0.8064516129032258	0.8709677419354839	0.9032258064516129	0.8387096774193549	0.9032258064516129	0.9032258064516129	0.8064516129032258	0.8709677419354839	0.8709677419354839	0.9032258064516129	0.9032258064516129	0.9354838709677419	0.7741935483870968	0.8709677419354839	0.8709677419354839	0.8709677419354839	0.8387096774193549	0.8387096774193549	0.8709677419354839	0.9354838709677419	0.9032258064516129	0.8387096774193549	0.7419354838709677	0.8064516129032258	0.8387096774193549	0.8387096774193549	0.8709677419354839	0.8709677419354839	0.8387096774193549	0.9032258064516129	0.7741935483870968	0.8387096774193549	0.7741935483870968	0.8387096774193549	0.8918918918918919	0.8387096774193549
Monte Carlo Strategies in Scientific Computing	0.8431372549019608	0.8333333333333334	0.8260869565217391	0.8478260869565217	0.8695652173913043	0.8695652173913043	0.782608695652174	0.782608695652174	0.8260869565217391	0.8260869565217391	0.8043478260869565	0.8478260869565217	0.8695652173913043	0.8043478260869565	0.8478260869565217	0.8043478260869565	0.8260869565217391	0.8695652173913043	0.8913043478260869	0.8478260869565217	0.8043478260869565	0.8695652173913043	0.782608695652174	0.8478260869565217	0.8478260869565217	0.8043478260869565	0.8695652173913043	0.8695652173913043	0.782608695652174	0.8478260869565217	0.8260869565217391	0.8260869565217391	0.8043478260869565	0.8260869565217391	0.8478260869565217	0.8913043478260869	0.8695652173913043	0.8260869565217391	0.8478260869565217	0.8260869565217391	0.8695652173913043	0.8478260869565217	0.9130434782608695	0.8478260869565217	0.8913043478260869	0.8478260869565217	0.8478260869565217	0.8913043478260869	0.8695652173913043	0.8478260869565217	0.8478260869565217	0.8478260869565217
Wards 2008 Automotive Yearbook	0.7647058823529411	0.8827160493827161	0.8666666666666667	0.8	0.8333333333333334	0.7333333333333333	0.8333333333333334	0.8333333333333334	0.8666666666666667	0.7	0.9	0.8333333333333334	0.8	0.8387096774193549	0.7333333333333333	0.8333333333333334	0.8	0.7666666666666667	0.8	0.7666666666666667	0.8333333333333334	0.7666666666666667	0.8333333333333334	0.8	0.7666666666666667	0.8333333333333334	0.7333333333333333	0.8333333333333334	0.9333333333333333	0.8666666666666667	0.8	0.8333333333333334	0.8666666666666667	0.8666666666666667	0.8	0.7666666666666667	0.7333333333333333	0.7666666666666667	0.8666666666666667	0.8333333333333334	0.8666666666666667	0.9	0.9	0.8333333333333334	0.9	0.9333333333333333	0.8666666666666667	0.8666666666666667	0.8333333333333334	0.8	0.8378378378378378	0.7333333333333333
Fatality Analysis Reporting System Encyclopedia	0.8235294117647058	0.8580246913580247	0.8297872340425532	0.8723404255319149	0.851063829787234	0.8936170212765957	0.8297872340425532	0.8297872340425532	0.8085106382978723	0.8723404255319149	0.8297872340425532	0.851063829787234	0.851063829787234	0.8297872340425532	0.8723404255319149	0.8297872340425532	0.8723404255319149	0.8723404255319149	0.8936170212765957	0.851063829787234	0.851063829787234	0.8936170212765957	0.851063829787234	0.851063829787234	0.8297872340425532	0.851063829787234	0.851063829787234	0.8297872340425532	0.8085106382978723	0.8297872340425532	0.851063829787234	0.851063829787234	0.8297872340425532	0.8085106382978723	0.851063829787234	0.851063829787234	0.8936170212765957	0.851063829787234	0.8297872340425532	0.7872340425531915	0.8723404255319149	0.8723404255319149	0.8936170212765957	0.851063829787234	0.851063829787234	0.8723404255319149	0.8723404255319149	0.8936170212765957	0.851063829787234	0.851063829787234	0.8936170212765957	0.8723404255319149
National Automotive Sampling System General Estimates Systems	0.7540983606557377	0.7962962962962963	0.8360655737704918	0.8852459016393442	0.8524590163934426	0.8852459016393442	0.8360655737704918	0.819672131147541	0.8360655737704918	0.8688524590163934	0.8360655737704918	0.8360655737704918	0.8852459016393442	0.819672131147541	0.8524590163934426	0.8360655737704918	0.8360655737704918	0.8852459016393442	0.8852459016393442	0.8688524590163934	0.8688524590163934	0.8852459016393442	0.8524590163934426	0.8360655737704918	0.8360655737704918	0.8688524590163934	0.8852459016393442	0.8360655737704918	0.819672131147541	0.8360655737704918	0.8688524590163934	0.8524590163934426	0.8360655737704918	0.8032786885245902	0.8360655737704918	0.8524590163934426	0.8852459016393442	0.8688524590163934	0.8032786885245902	0.819672131147541	0.8852459016393442	0.8360655737704918	0.9180327868852459	0.8688524590163934	0.9016393442622951	0.8524590163934426	0.8688524590163934	0.9180327868852459	0.8032786885245902	0.8524590163934426	0.8524590163934426	0.8852459016393442
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.7678571428571429	0.8148148148148148	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.8392857142857143	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.7678571428571429	0.8214285714285714	0.75	0.8392857142857143	0.7678571428571429	0.8035714285714286	0.8214285714285714	0.8571428571428571	0.8035714285714286	0.7857142857142857	0.8392857142857143	0.8035714285714286	0.8214285714285714	0.7857142857142857	0.7857142857142857	0.8392857142857143	0.8035714285714286	0.8035714285714286	0.7857142857142857	0.8214285714285714	0.8214285714285714	0.8035714285714286	0.8214285714285714	0.8035714285714286	0.8214285714285714	0.8214285714285714	0.8035714285714286	0.8571428571428571	0.875	0.9107142857142857	0.875	0.9107142857142857	0.8392857142857143	0.875	0.875	0.8571428571428571	0.9107142857142857	0.8571428571428571	0.8214285714285714	0.8928571428571429	0.8392857142857143
OnRoad Study of Drivers Use of Rearview Video Systems	0.7735849056603774	0.845679012345679	0.8490566037735849	0.8490566037735849	0.8301886792452831	0.8490566037735849	0.8490566037735849	0.7924528301886793	0.8490566037735849	0.8679245283018868	0.8490566037735849	0.8301886792452831	0.8679245283018868	0.8113207547169812	0.8490566037735849	0.7924528301886793	0.8490566037735849	0.8490566037735849	0.8301886792452831	0.8490566037735849	0.8113207547169812	0.8679245283018868	0.7924528301886793	0.8301886792452831	0.8301886792452831	0.8113207547169812	0.8679245283018868	0.8301886792452831	0.8490566037735849	0.8490566037735849	0.8301886792452831	0.8301886792452831	0.8490566037735849	0.8490566037735849	0.8490566037735849	0.8679245283018868	0.8679245283018868	0.8301886792452831	0.8490566037735849	0.8301886792452831	0.8490566037735849	0.8490566037735849	0.9433962264150944	0.8301886792452831	0.9056603773584906	0.8867924528301887	0.8301886792452831	0.8867924528301887	0.8113207547169812	0.8490566037735849	0.8679245283018868	0.8490566037735849
Rear Visbility and Backing Risks in Crashes	0.7647058823529411	0.8395061728395061	0.813953488372093	0.8372093023255814	0.813953488372093	0.813953488372093	0.8372093023255814	0.8604651162790697	0.8372093023255814	0.813953488372093	0.8372093023255814	0.8372093023255814	0.8372093023255814	0.813953488372093	0.8372093023255814	0.813953488372093	0.8372093023255814	0.8604651162790697	0.8837209302325582	0.813953488372093	0.8372093023255814	0.8372093023255814	0.8604651162790697	0.813953488372093	0.7906976744186046	0.8372093023255814	0.813953488372093	0.813953488372093	0.7906976744186046	0.7906976744186046	0.813953488372093	0.813953488372093	0.813953488372093	0.813953488372093	0.7906976744186046	0.8372093023255814	0.8372093023255814	0.8372093023255814	0.813953488372093	0.8604651162790697	0.8837209302325582	0.8604651162790697	0.8604651162790697	0.8837209302325582	0.8837209302325582	0.8372093023255814	0.8837209302325582	0.8837209302325582	0.8372093023255814	0.8604651162790697	0.8604651162790697	0.8604651162790697
The ability of rearmounted convex mirrors to improve rear visbility	0.746268656716418	0.7716049382716049	0.8208955223880597	0.835820895522388	0.835820895522388	0.8507462686567164	0.835820895522388	0.835820895522388	0.8059701492537313	0.835820895522388	0.835820895522388	0.8059701492537313	0.8507462686567164	0.835820895522388	0.8507462686567164	0.8208955223880597	0.835820895522388	0.8656716417910447	0.8507462686567164	0.835820895522388	0.835820895522388	0.8507462686567164	0.835820895522388	0.835820895522388	0.7910447761194029	0.835820895522388	0.8208955223880597	0.8059701492537313	0.835820895522388	0.8208955223880597	0.7761194029850746	0.8059701492537313	0.8208955223880597	0.8059701492537313	0.8208955223880597	0.8507462686567164	0.8507462686567164	0.835820895522388	0.8656716417910447	0.8805970149253731	0.9104477611940298	0.8507462686567164	0.9253731343283582	0.8955223880597015	0.8955223880597015	0.8507462686567164	0.8507462686567164	0.9402985074626866	0.8656716417910447	0.8805970149253731	0.835820895522388	0.8656716417910447
