	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.5700000000000001	0.5900000000000001	0.63	0.5	0.61	0.6	0.62	0.5700000000000001	0.5900000000000001	0.6	0.6799999999999999	0.6	0.54	0.65	0.64	0.64	0.55	0.6699999999999999	0.69	0.69	0.6699999999999999	0.5	0.5700000000000001	0.62	0.6	0.69	0.5700000000000001	0.6	0.6	0.55	0.6599999999999999	0.63	0.61	0.64	0.5700000000000001	0.62	0.5700000000000001	0.6	0.63	0.74	0.62	0.6699999999999999	0.5800000000000001	0.62	0.71	0.6699999999999999	0.7	0.6699999999999999	0.62	0.71	0.64
Monte Carlo Statistical Methods	0.55	0.5900000000000001	0.75	0.63	0.74	0.6699999999999999	0.74	0.61	0.6699999999999999	0.54	0.75	0.73	0.62	0.75	0.69	0.69	0.65	0.6699999999999999	0.75	0.73	0.72	0.78	0.61	0.72	0.7	0.73	0.74	0.64	0.72	0.71	0.74	0.75	0.6599999999999999	0.73	0.75	0.73	0.63	0.6	0.69	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.65	0.7	0.74	0.62	0.62	0.5800000000000001	0.6699999999999999	0.75	0.5800000000000001
Monte Carlo Strategies in Scientific Computing	0.63	0.5900000000000001	0.6699999999999999	0.63	0.74	0.6699999999999999	0.6599999999999999	0.61	0.6699999999999999	0.47	0.72	0.69	0.62	0.6799999999999999	0.64	0.69	0.65	0.6699999999999999	0.75	0.73	0.62	0.78	0.61	0.62	0.7	0.73	0.7	0.64	0.6799999999999999	0.71	0.7	0.71	0.61	0.69	0.75	0.73	0.63	0.65	0.5700000000000001	0.6699999999999999	0.62	0.5	0.65	0.62	0.63	0.62	0.62	0.62	0.6699999999999999	0.76	0.5800000000000001
Wards 2008 Automotive Yearbook	0.64	0.6	0.63	0.63	0.6599999999999999	0.6699999999999999	0.7	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.72	0.69	0.54	0.7	0.64	0.69	0.7	0.6	0.63	0.69	0.6699999999999999	0.62	0.6599999999999999	0.6699999999999999	0.7	0.55	0.7	0.74	0.6799999999999999	0.6699999999999999	0.7	0.71	0.7	0.69	0.63	0.6699999999999999	0.63	0.75	0.69	0.74	0.6599999999999999	0.6699999999999999	0.72	0.77	0.71	0.78	0.7	0.77	0.62	0.7	0.64
Fatality Analysis Reporting System Encyclopedia	0.6799999999999999	0.64	0.63	0.75	0.61	0.74	0.74	0.6599999999999999	0.6699999999999999	0.74	0.75	0.73	0.62	0.6799999999999999	0.79	0.64	0.75	0.6699999999999999	0.69	0.73	0.72	0.6699999999999999	0.74	0.72	0.7	0.73	0.7	0.7	0.6799999999999999	0.71	0.7	0.71	0.61	0.73	0.63	0.73	0.69	0.65	0.43999999999999995	0.74	0.62	0.6699999999999999	0.65	0.62	0.71	0.73	0.77	0.72	0.73	0.73	0.74
National Automotive Sampling System General Estimates Systems	0.61	0.61	0.63	0.63	0.7	0.6699999999999999	0.7	0.6599999999999999	0.6699999999999999	0.6	0.72	0.69	0.7	0.6799999999999999	0.64	0.73	0.6	0.6699999999999999	0.69	0.69	0.72	0.6699999999999999	0.7	0.62	0.6	0.69	0.7	0.64	0.72	0.6699999999999999	0.74	0.71	0.6599999999999999	0.64	0.63	0.73	0.63	0.6	0.5700000000000001	0.6699999999999999	0.62	0.6699999999999999	0.65	0.7	0.6699999999999999	0.6699999999999999	0.77	0.5800000000000001	0.56	0.71	0.74
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.61	0.63	0.5900000000000001	0.5700000000000001	0.61	0.54	0.7	0.61	0.5900000000000001	0.6699999999999999	0.61	0.6	0.54	0.62	0.69	0.55	0.6	0.54	0.63	0.64	0.53	0.56	0.61	0.6699999999999999	0.55	0.64	0.61	0.6	0.6	0.6699999999999999	0.6599999999999999	0.63	0.6599999999999999	0.6	0.43999999999999995	0.56	0.5700000000000001	0.65	0.63	0.74	0.6699999999999999	0.6699999999999999	0.65	0.7	0.75	0.6699999999999999	0.77	0.6699999999999999	0.62	0.76	0.69
OnRoad Study of Drivers Use of Rearview Video Systems	0.56	0.65	0.63	0.5700000000000001	0.6599999999999999	0.47	0.6599999999999999	0.5700000000000001	0.71	0.6	0.6799999999999999	0.55	0.62	0.6799999999999999	0.64	0.55	0.65	0.6	0.5700000000000001	0.64	0.53	0.73	0.5700000000000001	0.62	0.6	0.6	0.61	0.74	0.6799999999999999	0.63	0.6599999999999999	0.71	0.7	0.64	0.63	0.56	0.63	0.7	0.63	0.6699999999999999	0.62	0.6699999999999999	0.5	0.77	0.71	0.56	0.7	0.6699999999999999	0.6699999999999999	0.73	0.69
Rear Visbility and Backing Risks in Crashes	0.63	0.6599999999999999	0.63	0.69	0.61	0.6699999999999999	0.7	0.6599999999999999	0.63	0.6699999999999999	0.72	0.73	0.54	0.71	0.69	0.64	0.65	0.6699999999999999	0.75	0.69	0.62	0.62	0.6599999999999999	0.6699999999999999	0.65	0.69	0.6599999999999999	0.5700000000000001	0.64	0.6699999999999999	0.7	0.63	0.7	0.64	0.63	0.73	0.69	0.6	0.69	0.74	0.73	0.5	0.65	0.7	0.6699999999999999	0.78	0.7	0.6699999999999999	0.73	0.71	0.69
The ability of rearmounted convex mirrors to improve rear visbility	0.5700000000000001	0.6	0.5900000000000001	0.63	0.61	0.6	0.6599999999999999	0.5700000000000001	0.5900000000000001	0.54	0.6799999999999999	0.6	0.47	0.6799999999999999	0.64	0.6	0.65	0.6	0.63	0.69	0.62	0.62	0.61	0.6699999999999999	0.6	0.64	0.61	0.64	0.64	0.5900000000000001	0.6599999999999999	0.6699999999999999	0.61	0.64	0.63	0.62	0.5700000000000001	0.65	0.69	0.74	0.62	0.6699999999999999	0.65	0.62	0.63	0.6699999999999999	0.77	0.77	0.6699999999999999	0.71	0.5800000000000001
The Economic Impact of Motor Vehicle Crashes 2000	0.6799999999999999	0.56	0.5900000000000001	0.63	0.61	0.6	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.54	0.6799999999999999	0.64	0.54	0.71	0.64	0.6	0.6	0.6	0.5700000000000001	0.64	0.62	0.62	0.6599999999999999	0.53	0.55	0.64	0.61	0.7	0.6	0.5900000000000001	0.6599999999999999	0.63	0.5700000000000001	0.6	0.63	0.62	0.5700000000000001	0.65	0.63	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.65	0.7	0.75	0.73	0.77	0.72	0.62	0.71	0.64
Light Vehicle Rear Visibility Assessment	0.63	0.6799999999999999	0.71	0.75	0.74	0.6699999999999999	0.7	0.74	0.8	0.74	0.75	0.73	0.7	0.75	0.74	0.73	0.7	0.74	0.75	0.8200000000000001	0.6699999999999999	0.73	0.7	0.6699999999999999	0.75	0.73	0.7	0.8	0.76	0.6699999999999999	0.79	0.71	0.74	0.78	0.8200000000000001	0.73	0.69	0.75	0.75	0.74	0.6699999999999999	0.6699999999999999	0.65	0.77	0.71	0.6699999999999999	0.77	0.72	0.73	0.76	0.69
NotinTraffic Surveillance	0.72	0.64	0.71	0.69	0.74	0.74	0.76	0.74	0.71	0.74	0.8	0.73	0.7	0.76	0.79	0.69	0.65	0.74	0.75	0.8200000000000001	0.77	0.73	0.79	0.72	0.75	0.8200000000000001	0.7	0.6799999999999999	0.72	0.75	0.74	0.79	0.7	0.6799999999999999	0.69	0.78	0.69	0.65	0.63	0.6699999999999999	0.6699999999999999	0.5	0.65	0.77	0.6799999999999999	0.6699999999999999	0.77	0.6699999999999999	0.73	0.64	0.74
S REP 110275 and S Rep No 275	0.73	0.63	0.71	0.69	0.7	0.74	0.74	0.74	0.71	0.74	0.75	0.69	0.7	0.73	0.74	0.78	0.75	0.8	0.75	0.73	0.72	0.6699999999999999	0.74	0.6699999999999999	0.7	0.73	0.74	0.73	0.76	0.8	0.74	0.78	0.74	0.69	0.75	0.73	0.75	0.65	0.63	0.74	0.73	0.84	0.65	0.77	0.71	0.73	0.7	0.77	0.73	0.63	0.64
Vehicle Survivability and Travel Mileage Schedules Technical Report	0.65	0.6599999999999999	0.6699999999999999	0.63	0.6599999999999999	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.71	0.6	0.6799999999999999	0.64	0.54	0.62	0.69	0.73	0.7	0.74	0.69	0.69	0.72	0.6699999999999999	0.6599999999999999	0.6699999999999999	0.6	0.69	0.7	0.6699999999999999	0.64	0.63	0.61	0.6699999999999999	0.6599999999999999	0.64	0.69	0.6699999999999999	0.63	0.6	0.5700000000000001	0.74	0.6699999999999999	0.5	0.65	0.7	0.6	0.56	0.7	0.5800000000000001	0.73	0.71	0.69
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.61	0.6	0.5900000000000001	0.63	0.61	0.6	0.6599999999999999	0.6599999999999999	0.63	0.6699999999999999	0.6799999999999999	0.64	0.62	0.5900000000000001	0.74	0.64	0.65	0.6	0.69	0.69	0.62	0.62	0.6599999999999999	0.62	0.65	0.69	0.61	0.64	0.64	0.63	0.61	0.63	0.6599999999999999	0.69	0.69	0.6699999999999999	0.69	0.65	0.63	0.74	0.6699999999999999	0.6699999999999999	0.65	0.62	0.6699999999999999	0.73	0.62	0.72	0.6699999999999999	0.73	0.69
