	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.26530612244897955	0.32258064516129037	0.4666666666666667	0.65	0.5454545454545454	0.6923076923076923	0.5652173913043479	0.5714285714285714	0.5813953488372092	0.7297297297297297	0.5416666666666667	0.5813953488372092	0.6923076923076923	0.5319148936170213	0.7142857142857143	0.5348837209302326	0.5813953488372092	0.65	0.6842105263157895	0.7435897435897436	0.6363636363636364	0.6097560975609756	0.6	0.5813953488372092	0.6097560975609756	0.6363636363636364	0.5813953488372092	0.5909090909090908	0.5217391304347826	0.5	0.5238095238095238	0.5909090909090908	0.5217391304347826	0.5348837209302326	0.6585365853658536	0.6097560975609756	0.627906976744186	0.65	0.627906976744186	0.5714285714285714	0.6585365853658536	0.5454545454545454	0.7647058823529411	0.641025641025641	0.6	0.5416666666666667	0.6585365853658536	0.85	0.6190476190476191	0.5714285714285714	0.5294117647058824	0.6744186046511628
Monte Carlo Statistical Methods	0.2777777777777778	0.3877551020408163	0.3125	0.2592592592592593	0.4193548387096774	0.3846153846153846	0.33333333333333337	0.3793103448275862	0.33333333333333337	0.41666666666666663	0.4285714285714286	0.4	0.3846153846153846	0.3529411764705882	0.4482758620689655	0.4	0.33333333333333337	0.40740740740740744	0.43999999999999995	0.46153846153846156	0.29032258064516125	0.5	0.40740740740740744	0.2666666666666667	0.3571428571428571	0.29032258064516125	0.33333333333333337	0.3548387096774194	0.4545454545454546	0.3548387096774194	0.31034482758620685	0.4193548387096774	0.33333333333333337	0.4	0.2857142857142857	0.3571428571428571	0.4	0.33333333333333337	0.4666666666666667	0.4482758620689655	0.6428571428571428	0.4838709677419355	0.6190476190476191	0.46153846153846156	0.4814814814814815	0.37142857142857144	0.5	0.5555555555555556	0.31034482758620685	0.4482758620689655	0.368421052631579	0.5333333333333333
Monte Carlo Strategies in Scientific Computing	0.28205128205128205	0.34615384615384615	0.37142857142857144	0.4	0.47058823529411764	0.5172413793103448	0.38888888888888884	0.4375	0.3939393939393939	0.5555555555555556	0.4736842105263158	0.4545454545454546	0.5172413793103448	0.4054054054054054	0.5625	0.4545454545454546	0.4545454545454546	0.4666666666666667	0.5714285714285714	0.5862068965517242	0.4117647058823529	0.5483870967741935	0.5333333333333333	0.33333333333333337	0.4193548387096774	0.4117647058823529	0.5151515151515151	0.4117647058823529	0.38888888888888884	0.4117647058823529	0.5	0.4117647058823529	0.38888888888888884	0.5151515151515151	0.4193548387096774	0.4193548387096774	0.4545454545454546	0.4666666666666667	0.5151515151515151	0.375	0.6774193548387097	0.47058823529411764	0.6666666666666667	0.4482758620689655	0.5333333333333333	0.42105263157894735	0.4838709677419355	0.6666666666666667	0.4375	0.4375	0.46341463414634143	0.5757575757575757
Wards 2008 Automotive Yearbook	0.30000000000000004	0.5094339622641509	0.4444444444444444	0.5483870967741935	0.48571428571428577	0.5333333333333333	0.5135135135135135	0.5151515151515151	0.5294117647058824	0.5714285714285714	0.5897435897435898	0.47058823529411764	0.5333333333333333	0.5263157894736843	0.5151515151515151	0.47058823529411764	0.5882352941176471	0.5483870967741935	0.5862068965517242	0.6666666666666667	0.48571428571428577	0.5625	0.6129032258064516	0.5294117647058824	0.5625	0.48571428571428577	0.5294117647058824	0.48571428571428577	0.6756756756756757	0.5428571428571429	0.4545454545454546	0.5428571428571429	0.5135135135135135	0.5294117647058824	0.625	0.5	0.5294117647058824	0.5483870967741935	0.5882352941176471	0.5757575757575757	0.6875	0.6	0.6799999999999999	0.6	0.6129032258064516	0.4871794871794872	0.5625	0.8064516129032258	0.6363636363636364	0.5757575757575757	0.5238095238095238	0.5882352941176471
Fatality Analysis Reporting System Encyclopedia	0.31707317073170727	0.4444444444444444	0.3513513513513513	0.4375	0.4444444444444444	0.5483870967741935	0.42105263157894735	0.47058823529411764	0.4285714285714286	0.5862068965517242	0.5	0.48571428571428577	0.4838709677419355	0.4358974358974359	0.5882352941176471	0.48571428571428577	0.48571428571428577	0.5	0.5333333333333333	0.6774193548387097	0.5	0.5151515151515151	0.5625	0.37142857142857144	0.5151515151515151	0.5	0.48571428571428577	0.5	0.4736842105263158	0.38888888888888884	0.47058823529411764	0.4444444444444444	0.42105263157894735	0.4285714285714286	0.4545454545454546	0.4545454545454546	0.48571428571428577	0.5625	0.4285714285714286	0.4117647058823529	0.5151515151515151	0.4444444444444444	0.6923076923076923	0.5483870967741935	0.4375	0.55	0.5757575757575757	0.75	0.4117647058823529	0.5294117647058824	0.4883720930232558	0.48571428571428577
National Automotive Sampling System General Estimates Systems	0.2682926829268293	0.4814814814814815	0.4054054054054054	0.5	0.4444444444444444	0.6129032258064516	0.4736842105263158	0.5294117647058824	0.4285714285714286	0.6551724137931034	0.44999999999999996	0.48571428571428577	0.6129032258064516	0.4358974358974359	0.5882352941176471	0.48571428571428577	0.5428571428571429	0.625	0.6666666666666667	0.7419354838709677	0.5555555555555556	0.6363636363636364	0.625	0.48571428571428577	0.5151515151515151	0.5555555555555556	0.5428571428571429	0.5555555555555556	0.4736842105263158	0.38888888888888884	0.47058823529411764	0.5	0.4736842105263158	0.4285714285714286	0.5757575757575757	0.5151515151515151	0.48571428571428577	0.625	0.48571428571428577	0.4117647058823529	0.5757575757575757	0.4444444444444444	0.6923076923076923	0.4838709677419355	0.5	0.44999999999999996	0.5757575757575757	0.8125	0.5294117647058824	0.47058823529411764	0.4883720930232558	0.6
Fatalaties and Injuries in Motor Vehicle Backing Crashes	0.34883720930232553	0.3214285714285714	0.3846153846153846	0.47058823529411764	0.4736842105263158	0.4545454545454546	0.30000000000000004	0.4444444444444444	0.45945945945945943	0.5483870967741935	0.33333333333333337	0.4054054054054054	0.4545454545454546	0.2682926829268293	0.5555555555555556	0.45945945945945943	0.45945945945945943	0.4117647058823529	0.5625	0.5757575757575757	0.42105263157894735	0.5428571428571429	0.47058823529411764	0.45945945945945943	0.4285714285714286	0.42105263157894735	0.45945945945945943	0.3157894736842105	0.5	0.42105263157894735	0.4444444444444444	0.4736842105263158	0.30000000000000004	0.5135135135135135	0.48571428571428577	0.37142857142857144	0.5135135135135135	0.47058823529411764	0.45945945945945943	0.5	0.7142857142857143	0.5263157894736843	0.6428571428571428	0.5151515151515151	0.5882352941176471	0.4285714285714286	0.5428571428571429	0.6470588235294117	0.4444444444444444	0.4444444444444444	0.4666666666666667	0.45945945945945943
OnRoad Study of Drivers Use of Rearview Video Systems	0.2857142857142857	0.4545454545454546	0.42105263157894735	0.4545454545454546	0.45945945945945943	0.5	0.4358974358974359	0.5428571428571429	0.38888888888888884	0.6666666666666667	0.5121951219512195	0.4444444444444444	0.5625	0.44999999999999996	0.5428571428571429	0.4444444444444444	0.5555555555555556	0.5757575757575757	0.6774193548387097	0.6875	0.5135135135135135	0.5882352941176471	0.5757575757575757	0.5	0.47058823529411764	0.5135135135135135	0.5555555555555556	0.5135135135135135	0.4871794871794872	0.45945945945945943	0.5428571428571429	0.5135135135135135	0.4358974358974359	0.5	0.5882352941176471	0.47058823529411764	0.5	0.5757575757575757	0.33333333333333337	0.4285714285714286	0.47058823529411764	0.29729729729729726	0.6296296296296297	0.375	0.5757575757575757	0.41463414634146345	0.47058823529411764	0.6363636363636364	0.48571428571428577	0.37142857142857144	0.5	0.6111111111111112
Rear Visbility and Backing Risks in Crashes	0.4	0.4339622641509434	0.38888888888888884	0.4838709677419355	0.48571428571428577	0.4666666666666667	0.29729729729729726	0.3939393939393939	0.47058823529411764	0.5714285714285714	0.3846153846153846	0.5294117647058824	0.5333333333333333	0.26315789473684215	0.5757575757575757	0.47058823529411764	0.47058823529411764	0.5483870967741935	0.5862068965517242	0.6666666666666667	0.48571428571428577	0.5625	0.4838709677419355	0.47058823529411764	0.5625	0.48571428571428577	0.4117647058823529	0.37142857142857144	0.5675675675675675	0.4285714285714286	0.4545454545454546	0.4285714285714286	0.29729729729729726	0.47058823529411764	0.5	0.5	0.5882352941176471	0.5483870967741935	0.47058823529411764	0.5151515151515151	0.625	0.48571428571428577	0.6	0.5333333333333333	0.6129032258064516	0.4358974358974359	0.5	0.6774193548387097	0.3939393939393939	0.5151515151515151	0.47619047619047616	0.5294117647058824
The ability of rearmounted convex mirrors to improve rear visbility	0.19047619047619047	0.34545454545454546	0.368421052631579	0.5151515151515151	0.45945945945945943	0.5625	0.4871794871794872	0.48571428571428577	0.4444444444444444	0.6	0.5121951219512195	0.4444444444444444	0.5625	0.5	0.6	0.38888888888888884	0.5	0.5151515151515151	0.6129032258064516	0.6875	0.5675675675675675	0.5882352941176471	0.5757575757575757	0.4444444444444444	0.5294117647058824	0.5675675675675675	0.4444444444444444	0.45945945945945943	0.5897435897435898	0.4054054054054054	0.4285714285714286	0.45945945945945943	0.4871794871794872	0.38888888888888884	0.47058823529411764	0.47058823529411764	0.5	0.5151515151515151	0.5	0.5428571428571429	0.6470588235294117	0.45945945945945943	0.7037037037037037	0.5625	0.4545454545454546	0.41463414634146345	0.47058823529411764	0.8181818181818181	0.5428571428571429	0.5428571428571429	0.5	0.6666666666666667
