	Traffic and Motor Vehicle Safety Act to NHTSA61 NHTSA is adopting this rule under the	105 and 322 delegation of authority at 49 CFR 150 VIII3 Furthermore this final rule satisfies the congressional mandate in Section 10301 of the Safe Accountable Flexible Efficient Transportation Equity Act A Legacy for Users of 2005 SAFETEALU62 Under that provision the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11793 kg 26000 pounds The proposal also will impact manufacturers of ESC systems Business entities are defined as small businesses using the North American Industry Classification System NAICS	is the number of employees in the firm Affected business categories include a To qualify as a small business in Heavy Duty Truck Manufacturing NAICS	the firm must have fewer than 1000 employees b In Truck Trailer Manufacturing NAICS 336212 the firm must have fewer than 500 employees c	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries Ebus Inc Enova Systems
The Economic Impacts and Social Benefits of the US Motorcoach	0.4375	0.5800000000000001	0.5333333333333333	0.4285714285714286	0.5128205128205128	0.3793103448275862	0.3571428571428571
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.4444444444444444	0.5740740740740741	0.46808510638297873	0.3513513513513513	0.4390243902439024	0.3939393939393939	0.47058823529411764
2002 Census	0.8333333333333334	0.8333333333333334	0.813953488372093	0.8235294117647058	0.7714285714285715	0.8148148148148149	0.8076923076923077
Annual Production Estimate	0.5333333333333333	0.6734693877551021	0.6363636363636364	0.5588235294117647	0.631578947368421	0.4814814814814815	0.4
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.5945945945945945	0.5102040816326531	0.48888888888888893	0.5384615384615384	0.46153846153846156	0.5588235294117647	0.5454545454545454
Initial Target Crashes KABCO injuries and PDOVS Table	0.5277777777777778	0.6296296296296297	0.5319148936170213	0.4736842105263158	0.5813953488372092	0.48484848484848486	0.46875
KABCO to MAIS Conversion Table	0.5882352941176471	0.6730769230769231	0.6086956521739131	0.48571428571428577	0.5263157894736843	0.4482758620689655	0.4285714285714286
National Bus Trader 	0.5	0.74	0.6511627906976745	0.5757575757575757	0.6486486486486487	0.43999999999999995	0.48
Retrofitting TrailerRSC Information	0.5806451612903225	0.6458333333333333	0.6046511627906976	0.5151515151515151	0.5555555555555556	0.5357142857142857	0.5714285714285714
Proposed Defintion in NPRM	0.5666666666666667	0.7692307692307692	0.6888888888888889	0.5882352941176471	0.6923076923076923	0.6206896551724138	0.7
Concept of Operation and Voluntary Operational Requrements for Vehicle Stability Systems OnBoard Commercial Motor Vehicles 	0.4117647058823529	0.5294117647058824	0.4782608695652174	0.36111111111111116	0.4878048780487805	0.30000000000000004	0.4375
Vehicle Survivability and Travel Mileage Schedules	0.3448275862068966	0.5918367346938775	0.5454545454545454	0.3939393939393939	0.4864864864864865	0.2692307692307693	0.37037037037037035
An InService Analysis of Maintenance and Repair Expenses for the AntiLock Brake System and Underride Guard for Tractors and Trailers 	0.4473684210526315	0.43137254901960786	0.4042553191489362	0.3589743589743589	0.4418604651162791	0.4	0.33333333333333337
Analysis of Benefits and Costs of Roll Stability Control Systems	0.53125	0.6122448979591837	0.5348837209302326	0.47058823529411764	0.5526315789473684	0.4285714285714286	0.40740740740740744
Class 8 TruckTractor Stability Control Test Track Effectiveness ESV No 090552	0.5135135135135135	0.48	0.4222222222222223	0.46153846153846156	0.3846153846153846	0.5142857142857142	0.5
GDP	1.0	1.0	0.9545454545454546	0.9705882352941176	1.0	1.0	1.0
Heavy Truck ESC Effectiveness Study Using NADS	0.4242424242424242	0.5686274509803921	0.48888888888888893	0.32352941176470584	0.5	0.5151515151515151	0.4516129032258065
Safety Benefits of Stability Control Systems for Tractor Semitrailers 	0.5161290322580645	0.6326530612244898	0.5581395348837209	0.4545454545454546	0.5	0.34615384615384615	0.3846153846153846
Table 2  The Economic Impact of Motor Vehicle Crashes 2000	0.5	0.5306122448979591	0.4772727272727273	0.4444444444444444	0.4054054054054054	0.4516129032258065	0.4838709677419355
TractorSemitrailer Stability Objective Performance Test ResearchRoll Stability	0.5294117647058824	0.607843137254902	0.5652173913043479	0.4722222222222222	0.5128205128205128	0.3214285714285714	0.4137931034482759
Double Integration Technique for Calculating Lateral Displacement	0.5	0.5306122448979591	0.5111111111111111	0.303030303030303	0.4473684210526315	0.4	0.4838709677419355
ABA Motorcoach Census	0.5517241379310345	0.74	0.6818181818181819	0.5757575757575757	0.6111111111111112	0.5	0.48
Motorcoach Facts 2009	0.7096774193548387	0.7551020408163265	0.7555555555555555	0.75	0.7027027027027026	0.6785714285714286	0.7142857142857143
An Analysis of the Operational Costs of Trucking	0.3666666666666667	0.5714285714285714	0.5227272727272727	0.36363636363636365	0.41666666666666663	0.3571428571428571	0.5
A Survey of the Freight Transportation Demand Literature and Comparison of Elasticity Estimates	0.38235294117647056	0.44897959183673475	0.4222222222222223	0.2857142857142857	0.42500000000000004	0.375	0.3548387096774194
Unit Costs of Medium and Heavy Truck Crashes	0.4375	0.5800000000000001	0.5652173913043479	0.33333333333333337	0.4736842105263158	0.3214285714285714	0.4137931034482759
A Sugested Approach for Discounting the Benefits and Costs of Environmental Regulations	0.4411764705882353	0.52	0.39534883720930236	0.34285714285714286	0.475	0.3870967741935484	0.3666666666666667
Regulatory Flexibility Act of 1980	0.5588235294117647	0.5714285714285714	0.5869565217391304	0.6153846153846154	0.575	0.5625	0.6363636363636364
Traffic and Motor Vehicle Safety Act	0.2962962962962963	0.6326530612244898	0.5909090909090908	0.4545454545454546	0.5405405405405406	0.40740740740740744	0.4444444444444444
Effectiveness of Stability Systems for Truck Tractors	0.5	0.5625	0.5116279069767442	0.3939393939393939	0.4444444444444444	0.33333333333333337	0.3076923076923077
Crash Problem Definition and Safety Benefits methodology for Stability Control for SingleUnit Medium and Heavy Trucks and Large Platform Buses 	0.43243243243243246	0.5094339622641509	0.45833333333333337	0.25	0.4285714285714286	0.28125	0.4117647058823529
Final Regulatory Impact Analysis Airbrake Systems Amending Stopping Distance	0.47058823529411764	0.5102040816326531	0.4545454545454546	0.32352941176470584	0.46153846153846156	0.46875	0.4
Discounting Environmental Health Risks New Evidence and Policy Implications	0.4722222222222222	0.5384615384615384	0.4222222222222223	0.33333333333333337	0.46341463414634143	0.47058823529411764	0.4545454545454546
