	Traffic and Motor Vehicle Safety Act to NHTSA61 NHTSA is adopting this rule under the	105 and 322 delegation of authority at 49 CFR 150 VIII3 Furthermore this final rule satisfies the congressional mandate in Section 10301 of the Safe Accountable Flexible Efficient Transportation Equity Act A Legacy for Users of 2005 SAFETEALU62 Under that provision the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11793 kg 26000 pounds The proposal also will impact manufacturers of ESC systems Business entities are defined as small businesses using the North American Industry Classification System NAICS	is the number of employees in the firm Affected business categories include a To qualify as a small business in Heavy Duty Truck Manufacturing NAICS	the firm must have fewer than 1000 employees b In Truck Trailer Manufacturing NAICS 336212 the firm must have fewer than 500 employees c	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries Ebus Inc Enova Systems
The Economic Impacts and Social Benefits of the US Motorcoach	0.7647058823529411	0.9014373716632443	0.8959810874704491	0.7972972972972973	0.8014705882352942	0.782608695652174	0.7868852459016393
A Primer on the Major Issues Relating to the Discount Rate for Evaluating National Energy Options	0.7422680412371134	0.8603696098562629	0.8368794326241135	0.7702702702702703	0.7867647058823529	0.7319587628865979	0.7525773195876289
2002 Census	0.9411764705882353	0.9794661190965093	0.9763593380614657	0.9594594594594594	0.9485294117647058	0.9420289855072463	0.8909090909090909
Annual Production Estimate	0.8588235294117647	0.9507186858316222	0.9432624113475178	0.8918918918918919	0.8823529411764706	0.8260869565217391	0.7636363636363637
Class 8 Truck Tractor Slaes Volumes between 2005 and 2009	0.8	0.9158110882956879	0.900709219858156	0.8175675675675675	0.7867647058823529	0.7971014492753623	0.8596491228070176
Initial Target Crashes KABCO injuries and PDOVS Table	0.8117647058823529	0.9219712525667351	0.9101654846335697	0.8378378378378378	0.8235294117647058	0.8115942028985508	0.7636363636363637
KABCO to MAIS Conversion Table	0.8470588235294118	0.9568788501026694	0.9550827423167849	0.8986486486486487	0.8823529411764706	0.855072463768116	0.8363636363636363
National Bus Trader 	0.8588235294117647	0.9630390143737166	0.9574468085106383	0.8986486486486487	0.8970588235294118	0.8405797101449275	0.8181818181818182
Retrofitting TrailerRSC Information	0.8470588235294118	0.9383983572895277	0.9243498817966903	0.8581081081081081	0.8455882352941176	0.782608695652174	0.8181818181818182
Proposed Defintion in NPRM	0.8470588235294118	0.9589322381930184	0.950354609929078	0.8716216216216216	0.8970588235294118	0.7971014492753623	0.8
Concept of Operation and Voluntary Operational Requrements for Vehicle Stability Systems OnBoard Commercial Motor Vehicles 	0.7642276422764228	0.839835728952772	0.8132387706855791	0.7837837837837838	0.8235294117647058	0.7723577235772358	0.8130081300813008
Vehicle Survivability and Travel Mileage Schedules	0.7764705882352941	0.9158110882956879	0.9101654846335697	0.8378378378378378	0.8088235294117647	0.7391304347826086	0.8
An InService Analysis of Maintenance and Repair Expenses for the AntiLock Brake System and Underride Guard for Tractors and Trailers 	0.7593984962406015	0.8172484599589322	0.8132387706855791	0.7972972972972973	0.8308823529411765	0.7593984962406015	0.8045112781954887
Analysis of Benefits and Costs of Roll Stability Control Systems	0.7764705882352941	0.8973305954825462	0.8747044917257684	0.7972972972972973	0.8161764705882353	0.8260869565217391	0.703125
Class 8 TruckTractor Stability Control Test Track Effectiveness ESV No 090552	0.8117647058823529	0.891170431211499	0.8817966903073287	0.831081081081081	0.8088235294117647	0.8051948051948052	0.8181818181818182
GDP	1.0	1.0	0.9976359338061466	0.9932432432432432	1.0	1.0	1.0
Heavy Truck ESC Effectiveness Study Using NADS	0.8235294117647058	0.9322381930184805	0.91725768321513	0.8108108108108109	0.8382352941176471	0.8260869565217391	0.8181818181818182
Safety Benefits of Stability Control Systems for Tractor Semitrailers 	0.8	0.8767967145790554	0.8747044917257684	0.8040540540540541	0.7941176470588235	0.8428571428571429	0.7857142857142857
