	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.8163265306122449	0.847682119205298	0.9375	0.869281045751634	0.8166666666666667	0.7843137254901961	0.8333333333333334	0.8611111111111112	0.9310344827586207	0.8742857142857143	0.8316831683168316
Highway Business Report Fewer Customers	0.7857142857142857	0.8807947019867549	0.7948717948717948	0.8562091503267973	0.35	0.8235294117647058	0.8222222222222222	0.8402777777777778	0.9230769230769231	0.8742857142857143	0.7821782178217822
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.8061224489795918	0.8145695364238411	0.7846153846153846	0.8235294117647058	0.8615384615384616	0.8307692307692308	0.8111111111111111	0.7777777777777778	0.8726790450928382	0.8171428571428572	0.801980198019802
The Incidence and Economic Costs of Major Health Impairments	0.7857142857142857	0.8344370860927153	0.85	0.7647058823529411	0.85	0.8	0.7888888888888889	0.7638888888888888	0.870026525198939	0.7942857142857143	0.7722772277227723
American Factfinder	0.8571428571428571	0.9006622516556292	0.7333333333333333	0.9019607843137255	0.9	0.8823529411764706	0.8444444444444444	0.9166666666666666	0.9522546419098143	0.9085714285714286	0.900990099009901
Anhydrous Ammonia Safety	0.8673469387755102	0.8874172185430463	0.8666666666666667	0.9084967320261438	0.85	0.8235294117647058	0.8555555555555555	0.9027777777777778	0.9389920424403183	0.9085714285714286	0.8316831683168316
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.7551020408163265	0.7880794701986755	0.8051948051948052	0.8169934640522876	0.7792207792207793	0.7662337662337663	0.7111111111111111	0.7152777777777778	0.8541114058355438	0.7657142857142857	0.7821782178217822
Alternative Approaches to Accident Cost Concepts	0.7755102040816326	0.8543046357615894	0.8125	0.8496732026143791	0.7666666666666667	0.7843137254901961	0.6888888888888889	0.8263888888888888	0.896551724137931	0.84	0.801980198019802
Cost of Injury in the United States A Report to Congress	0.7346938775510204	0.8145695364238411	0.8214285714285714	0.8169934640522876	0.8333333333333334	0.75	0.7777777777777778	0.7916666666666666	0.8753315649867374	0.8	0.7128712871287128
Derailment of Canadian Pacific Railway Freight Train 29216 and Subsequent Release of Anhydrous Ammonia Near Minot North Dakota	0.753968253968254	0.41721854304635764	0.8571428571428571	0.7973856209150327	0.8095238095238095	0.8095238095238095	0.7777777777777778	0.7777777777777778	0.8249336870026526	0.7485714285714286	0.8174603174603174
NTSB Breif Accident Report RAB9807	0.8367346938775511	0.8543046357615894	0.8529411764705882	0.8888888888888888	0.8333333333333334	0.8627450980392157	0.8444444444444444	0.8819444444444444	0.9389920424403183	0.9028571428571428	0.8514851485148515
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.7710843373493976	0.7650602409638554	0.8795180722891566	0.8433734939759037	0.8313253012048193	0.8192771084337349	0.7771084337349398	0.8192771084337349	0.7851458885941645	0.8	0.7289156626506024
Report on the Graniteville SC derailment	0.7959183673469388	0.8609271523178808	0.825	0.8496732026143791	0.8166666666666667	0.6862745098039216	0.8111111111111111	0.8333333333333334	0.9071618037135278	0.8514285714285714	0.7920792079207921
Report on the Minot ND derailment	0.8163265306122449	0.8741721854304636	0.8787878787878788	0.8627450980392157	0.8	0.6862745098039216	0.8111111111111111	0.8472222222222222	0.9230769230769231	0.8628571428571429	0.801980198019802
FRA Public Hearing	0.9081632653061225	0.9271523178807947	0.8333333333333334	0.9215686274509803	0.8833333333333333	0.8823529411764706	0.8888888888888888	0.9097222222222222	0.9628647214854111	0.9371428571428572	0.9207920792079208
