	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Family Oks Derailment Settlement	0.4358974358974359	0.5	0.4117647058823529	0.5254237288135593	0.4418604651162791	0.33333333333333337	0.5454545454545454	0.4693877551020408	0.5102040816326531	0.4	0.4782608695652174
Highway Business Report Fewer Customers	0.36363636363636365	0.3770491803278688	0.4871794871794872	0.375	0.125	0.36585365853658536	0.3877551020408163	0.40740740740740744	0.40740740740740744	0.3090909090909091	0.33333333333333337
Judge Approves Preliminary Settlement in Graniteville Train Wreck	0.26530612244897955	0.3939393939393939	0.2272727272727273	0.3913043478260869	0.3584905660377359	0.34782608695652173	0.2592592592592593	0.2542372881355932	0.288135593220339	0.19999999999999996	0.3214285714285714
The Incidence and Economic Costs of Major Health Impairments	0.30434782608695654	0.39682539682539686	0.36585365853658536	0.3939393939393939	0.36	0.34883720930232553	0.33333333333333337	0.3214285714285714	0.25	0.33333333333333337	0.2075471698113207
American Factfinder	0.33333333333333337	0.5094339622641509	0.3548387096774194	0.5357142857142857	0.44999999999999996	0.4545454545454546	0.5121951219512195	0.4782608695652174	0.4782608695652174	0.44680851063829785	0.4883720930232558
Anhydrous Ammonia Safety	0.25	0.4035087719298246	0.3142857142857143	0.43333333333333335	0.36363636363636365	0.3513513513513513	0.4222222222222223	0.36	0.31999999999999995	0.33333333333333337	0.3191489361702128
A National Risk Assessment for Selected Hazardous Materials in Transportation	0.16666666666666663	0.3538461538461538	0.34883720930232553	0.38235294117647056	0.34615384615384615	0.37777777777777777	0.3207547169811321	0.24137931034482762	0.31034482758620685	0.2542372881355932	0.2727272727272727
Alternative Approaches to Accident Cost Concepts	0.25	0.4736842105263158	0.37142857142857144	0.43333333333333335	0.31818181818181823	0.29729729729729726	0.24444444444444446	0.43999999999999995	0.36	0.33333333333333337	0.36170212765957444
Cost of Injury in the United States A Report to Congress	0.26086956521739135	0.3650793650793651	0.36585365853658536	0.33333333333333337	0.31999999999999995	0.39534883720930236	0.2941176470588235	0.3214285714285714	0.2857142857142857	0.29824561403508776	0.24528301886792447
Derailment of Canadian Pacific Railway Freight Train 29216 and Subsequent Release of Anhydrous Ammonia Near Minot North Dakota	0.35593220338983056	0.07894736842105265	0.37037037037037035	0.240506329113924	0.33333333333333337	0.3214285714285714	0.34375	0.24637681159420288	0.21739130434782605	0.17142857142857137	0.303030303030303
NTSB Breif Accident Report RAB9807	0.36363636363636365	0.4426229508196722	0.3846153846153846	0.46875	0.5	0.5121951219512195	0.4693877551020408	0.40740740740740744	0.40740740740740744	0.4545454545454546	0.4509803921568627
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.3220338983050848	0.1842105263157895	0.40740740740740744	0.2911392405063291	0.33333333333333337	0.3928571428571429	0.3125	0.30434782608695654	0.24637681159420288	0.19999999999999996	0.33333333333333337
Report on the Graniteville SC derailment	0.2682926829268293	0.48275862068965514	0.38888888888888884	0.4426229508196722	0.37777777777777777	0.26315789473684215	0.34782608695652173	0.4509803921568627	0.4117647058823529	0.3846153846153846	0.33333333333333337
Report on the Minot ND derailment	0.35	0.4385964912280702	0.4285714285714286	0.4666666666666667	0.40909090909090906	0.29729729729729726	0.4222222222222223	0.43999999999999995	0.43999999999999995	0.4117647058823529	0.36170212765957444
FRA Public Hearing	0.33333333333333337	0.4642857142857143	0.4117647058823529	0.5254237288135593	0.34883720930232553	0.5555555555555556	0.40909090909090906	0.4693877551020408	0.5102040816326531	0.4	0.5652173913043479
Public meeting statement by Manager Fleet Engineer American Railcar Industries	0.30434782608695654	0.3015873015873016	0.36585365853658536	0.33333333333333337	0.31999999999999995	0.4418604651162791	0.33333333333333337	0.25	0.2857142857142857	0.33333333333333337	0.3584905660377359
