ria,cite,jac,jac_match,jac_check,lev,lev_match,lev_check,partial,partial_match,partial_check,sor,sor_match,sor_check,source,type
1235-AA05,15 Million Oregon Private Pay Homecare Registry for Sale,0.511627907,Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221,0,0.721311475,National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States,0,0.48,81244 Federal Register ,0,0.34375,Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221,0,gt,Other
2060-AP58,Reducing the Cost  of Addressing Climate Change Through Energy  Efficiency,0.24,2 Calculate separately the grams for Testing,0,0.689189189,207 Global Climate Change Impacts in the United,0,0.5,202 Global Climate Change Impacts in the,0,0.136363636,2 Calculate separately the grams for Testing,0,gt,
1235-AA05,Occupational Outlook Handbook 201011 Edition,0.40625,Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls,1,0.65625,Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls,1,0.07,Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls,1,0.254901961,Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls,1,gt,Reference Manual
2070-AJ55,2002 Economic Census Construction by Subsector,0.346153846,Section 23 Construction Industry Series Detailed Statistics for Establishments,0,0.689655172,Economic Census Construction by Subsector Available at httpwwwcensusgoveconcensus02datausUS00023HTM Accessed 1212006,1,0.11,Economic Census Construction by Subsector Available at httpwwwcensusgoveconcensus02datausUS00023HTM Accessed 1212006,1,0.209302326,Section 23 Construction Industry Series Detailed Statistics for Establishments,0,gt,Government Report
0910-AG41,Canadian Tobacco Use Monitoring Survey CTUMS,0.318181818,Treating tobacco use and dependence,0,0.636363636,Treating tobacco use and dependence,0,0.46,Text and Graphic Warnings on Cigarette Packages Findings from the International Tobacco Control Four Country Study’’ American Journal of Preventive Medicine,0,0.189189189,Treating tobacco use and dependence,0,gt,Government Report 
0938-AO48,Deficit Reduction Act,0.56,This document was received at the Office of the Federal Register on,0,0.850746269,This document was received at the Office of the Federal Register on,0,0.62,A State may provide benchmark or benchmarkequivalent coverage through Catalog of Federal Domestic Assistance Program,0,0.388888889,This document was received at the Office of the Federal Register on,0,gt,Regulation
2137-AE15,CRS 9151037cd and 915105,0.780487805,59 “Integrity Management for Gas Distribution Report of Phase 1 Investigations” prepared by Joint WorkStudy Groups,0,0.911764706,58 House of Representatives report,0,0.67,Regulatory Flexibility Analysis Integrity Management Program for Gas Distribution Pipelines Introduction The Regulatory Flexibility Act of 1980 Public Law 96354 requires agencies to evaluate the potential effects of their proposed and final rules on small businesses small organizations and small governmental jurisdictions The Regulatory Flexibility Act requires that Federal agencies take small entities’ concerns into account when developing writing publicizing promulgating and enforcing regulations To this end the Act requires that agencies detail how they have met these concerns by including a Regulatory Flexibility Analysis RFA An initial RFA which accompanies a Notice of Proposed Rulemaking,0,0.64,59 “Integrity Management for Gas Distribution Report of Phase 1 Investigations” prepared by Joint WorkStudy Groups,0,gt,Regulation 
2060-AO47,Databases Tables  Calculators  by Subject,0.451612903,Statistics 2012a Databases Tables  Calculators by Subject httpdatablsgovtimeseriesLNS14000000 Accessed,1,0.617647059,Statistics 2012a Databases Tables  Calculators by Subject httpdatablsgovtimeseriesLNS14000000 Accessed,1,0.03,Statistics 2012a Databases Tables  Calculators by Subject httpdatablsgovtimeseriesLNS14000000 Accessed,1,0.291666667,Statistics 2012a Databases Tables  Calculators by Subject httpdatablsgovtimeseriesLNS14000000 Accessed,1,gt,
2060-AP58,Massachusetts v EPA,0.545454545,Administrator Environmental Protection Agency,0,0.795454545,2 Calculate separately the grams for Testing,0,0.53,Intergovernmental Panel on Climate Change IPCC the US Climate Change Science Program CCSP and EPA Our discussion relies heavily on the most recent thoroughly peerreviewed and credible assessments of global and US climate change the IPCC Fourth Assessment Report Climate Change 2007 EPA’s proposed Endangerment and Cause or Contribute Findings for Greenhouse Gases under,0,0.375,Administrator Environmental Protection Agency,0,gt,Court Case
0938-AQ13,The Costs and Benefits of Moving to the ICD10 Code Sets,0.153846154,The Costs and Benefits of Moving to the ICD–10 Code Sets’’,1,0.140625,The Costs and Benefits of Moving to the ICD–10 Code Sets’’,1,0.06,The Costs and Benefits of Moving to the ICD–10 Code Sets’’,1,0.083333333,The Costs and Benefits of Moving to the ICD–10 Code Sets’’,1,gt,Government Report
