"","bibtype","title","author","journal","pages","year","publisher","volume","number"
"barber2001boys","Article","Boys will be boys: Gender, overconfidence, and common stock investment","Brad M Barber and Terrance Odean","Quarterly journal of Economics","261--292","2001","JSTOR",NA,NA
"gramlich1994infrastructure","Article","Infrastructure investment: A review essay","Edward M Gramlich","Journal of economic literature","1176--1196","1994","JSTOR",NA,NA
"basu1977investment","Article","Investment performance of common stocks in relation to their price-earnings ratios: A test of the efficient market hypothesis","Sanjoy Basu","The journal of Finance","663--682","1977","Wiley Online Library","32","3"
"cohn1975individual","Article","Individual investor risk aversion and investment portfolio composition","Richard A Cohn and Wilbur G Lewellen and Ronald C Lease and Gary G Schlarbaum","The Journal of Finance","605--620","1975","Wiley Online Library","30","2"
"barth1994fair","Article","Fair value accounting: Evidence from investment securities and the market valuation of banks","Mary E Barth","Accounting Review","1--25","1994","JSTOR",NA,NA
"greaney1997night","Article","Night landings on an aircraft carrier: hospital mergers and antitrust law","Thomas L Greaney","American Journal of Law and Medicine",NA,"1997",NA,"23","2"
"klein1998stark","Article","Stark Laws: Conquering Physician Conflicts of Interest, The","Jo-Ellyn Sakowitz Klein","Geo. LJ","499","1998","HeinOnline","87",NA
"flick1986liability","Article","Liability of Banks to Their Borrowers: Pitfalls and Protections","Lawrence F Flick","Banking LJ","220","1986","HeinOnline","103",NA
"dietrich1993developmental","Article","The developmental consequences of low to moderate prenatal and postnatal lead exposure: intellectual attainment in the Cincinnati Lead Study Cohort following school entry","Kim N Dietrich and Omer G Berger and Paul A Succop and Paul B Hammond and Robert L Bornschein","Neurotoxicology and teratology","37--44","1993","Elsevier","15","1"
"dietrich1993lead","Article","Lead exposure and the motor developmental status of urban six-year-old children in the Cincinnati Prospective Study","Kim N Dietrich and Paul A Succop and Omer G Berger","Pediatrics","301--307","1993","Am Acad Pediatrics","91","2"
"ernhart1989low","Article","Low level lead exposure in the prenatal and early preschool periods: intelligence prior to school entry","Claire B Ernhart and Mary Morrow-Tlucak and Abraham W Wolf and Dennis Super and Dennis Drotar","Neurotoxicology and teratology","161--170","1989","Elsevier","11","2"
"gross2007much","Article","How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses","Scott Gross","AERE Newsletter, published by the Association of Environmental and Resource Economics","19--21","2007",NA,"27","2"
"hilts2003effect","Article","Effect of smelter emission reductions on children's blood lead levels","Steven R Hilts","Science of the Total Environment","51--58","2003","Elsevier","303","1"
"laden2006reduction","Article","Reduction in fine particulate air pollution and mortality: extended follow-up of the Harvard Six Cities study","Francine Laden and Joel Schwartz and Frank E Speizer and Douglas W Dockery","American journal of respiratory and critical care medicine","667--672","2006","Am Thoracic Soc","173","6"
"lanphear2005low","Article","Low-level environmental lead exposure and children's intellectual function: an international pooled analysis","Bruce P Lanphear and Richard Hornung and Jane Khoury and Kimberly Yolton and Peter Baghurst and David C Bellinger and Richard L Canfield and Kim N Dietrich and Robert Bornschein and Tom Greene and {others}","Environmental health perspectives","894--899","2005","JSTOR",NA,NA
"needleman1990long","Article","The long-term effects of exposure to low doses of lead in childhood: an 11-year follow-up report","Herbert L Needleman and Alan Schell and David Bellinger and Alan Leviton and Elizabeth N Allred","New England journal of medicine","83--88","1990","Mass Medical Soc","322","2"
