"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","unique-id","researcherid-numbers","orcid-numbers","article-number","eissn","editor","booktitle","isbn","note","organization","series","book-group-author"
"ISI:000184256300004","Article","G Smith and J Coulston and E Jepsen and T Prichard","{A national ozone biomonitoring program - Results from field surveys of
   ozone sensitive plants in northeastern forests (1994-2000)}","{ENVIRONMENTAL MONITORING AND ASSESSMENT}","{2003}","{87}","{3}","{271-291}","{SEP}","{Ozone biomonitoring is a detection and monitoring technique that
   involves documenting ozone-induced visible injury to known
   ozone-sensitive species under conditions of ambient exposure. The USDA
   Forest Service administers a long-term, nationwide ozone biomonitoring
   program to address public and scientific concerns about ozone impacts on
   forest health. A systematic grid is used as the basis for biomonitoring
   site locations. At each site, trained field crews evaluate a maximum of
   thirty plants of up to six species and record the amount and severity of
   leaf-injury on individual plants. Injury from ozone was found more often
   on biomonitoring sites in the eastern Unites States than in the interior
   or west-coast areas. Further results from the northeast reveal that in
   any year, there is a higher percentage of ozone-injured plants with more
   severe symptoms in areas with relatively high ozone concentrations than
   in areas with relatively low ozone. In very dry years ( e. g., 1999) the
   percentage of injured plants and injury severity estimates are both
   sharply reduced even though ambient ozone exposures are high. These
   findings demonstrate that biomonitoring data provide meaningful evidence
   of when high ozone concentrations during the growing season have
   biological significance. Any assessment of ozone stress in the forest
   environment must include both biomonitoring (i. e., plant response) and
   air quality data to be complete.}","{10.1023/A:1024879527764}","{0167-6369}","{ISI:000184256300004}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000270142700009","Article","R. Borland and N. Wilson and G. T. Fong and D. Hammond and K. M. Cummings and H-H Yong and W. Hosking and G. Hastings and J. Thrasher and A. McNeill","{Impact of graphic and text warnings on cigarette packs: findings from
   four countries over five years}","{TOBACCO CONTROL}","{2009}","{18}","{5}","{358-364}","{OCT}","{Objectives: To examine the impact of health warnings on smokers by
   comparing the short-term impact of new graphic (2006) Australian
   warnings with: (i) earlier (2003) United Kingdom larger text-based
   warnings; (ii) and Canadian graphic warnings (late 2000); and also to
   extend our understanding of warning wear-out.
   Methods: The International Tobacco Control Policy Evaluation Survey (ITC
   Project) follows prospective cohorts (with replenishment) of adult
   smokers annually (five waves: 2002-2006), in Canada, United States, UK
   and Australia (around 2000 per country per wave; total n = 17 773).
   Measures were of pack warning salience (reading and noticing); cognitive
   responses (thoughts of harm and quitting); and two behavioural
   responses: forgoing cigarettes and avoiding the warnings.
   Results: All four indicators of impact increased markedly among
   Australian smokers following the introduction of graphic warnings.
   Controlling for date of introduction, they stimulated more cognitive
   responses than the UK (text-only) changes, and were avoided more, did
   not significantly increase forgoing cigarettes, but were read and
   noticed less. The findings also extend previous work showing partial
   wear-out of both graphic and text-only warnings, but the Canadian
   warnings have more sustained effects than UK ones.
   Conclusions: Australia's new health warnings increased reactions that
   are prospectively predictive of cessation activity. Warning size
   increases warning effectiveness and graphic warnings may be superior to
   text-based warnings. While there is partial wear-out in the initial
   impact associated with all warnings, stronger warnings tend to sustain
   their effects for longer. These findings support arguments for
   governments to exceed minimum FCTC requirements on warnings.}","{10.1136/tc.2008.028043}","{0964-4563}","{ISI:000270142700009}","{Fong, Geoffrey/H-2810-2014}","{Fong, Geoffrey/0000-0001-9098-6472}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000272179400021","Article","Caroline L. Miller and David J. Hill and Pascale G. Quester and Janet E. Hiller","{Response of mass media, tobacco industry and smokers to the introduction
   of graphic cigarette pack warnings in Australia}","{EUROPEAN JOURNAL OF PUBLIC HEALTH}","{2009}","{19}","{6}","{644-649}","{DEC}","{Background: In the year 2006, Australia introduced graphic cigarette
   packet warnings. Previous warnings were text only. New warnings include
   one of 14 pictures, many depicting tobacco-related pathology. Methods:
   This study monitored the roll-out of the health policy initiative using
   multiple methodologies. Print media coverage of new pack warnings was
   observed over 3 years. Story content was coded as positive (supportive
   of pack warnings), neutral or negative. An observational study of small
   random sample of metropolitan stores (n = 16) over 7 months measured the
   pace of the roll-out in shops. Once new packs were readily available in
   stores, smokers (n = 152) were intercepted in city streets and asked
   about their reactions. Results: Of the 67 media stories, 85\% were
   positive or neutral about the new warnings and 15\% were negative.
   Supportive content presented health benefits. Unsupportive content
   presented industry arguments. After the legislative change, it took 2
   months before any new packs appeared in stores. After 6 months, the
   majority carried them. Newest images had highest recall among smokers.
   About 60\% said new warnings detracted from the look of their brand.
   About 51\% felt the increased risk of dying from smoking-related
   illness. About 38\% felt motivated to quit. Conclusion: Plans by
   government to introduce graphic warnings were delayed up to 2 years,
   apparently by heavy industry lobbying. Actual widespread appearance in
   shops occurred several months after the implementation date. While media
   coverage of the new warnings reported the industry arguments against
   them, the balance of coverage was overwhelmingly positive. Smokers'
   initial reactions were in line with tobacco control objectives.}","{10.1093/eurpub/ckp089}","{1101-1262}","{ISI:000272179400021}","{Hiller, Janet/A-5633-2008}","{Hiller, Janet/0000-0002-8532-4033}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000287620100006","Article","Elena Boldo and Cristina Linares and Julio Lumbreras and Rafael Borge and Adolfo Narros and Javier Garcia-Perez and Pablo Fernandez-Navarro and Beatriz Perez-Gomez and Nuria Aragones and Rebeca Ramis and Marina Pollan and Teresa Moreno and Angeliki Karanasiou and Gonzalo Lopez-Abente","{Health impact assessment of a reduction in ambient PM2.5 levels in Spain}","{ENVIRONMENT INTERNATIONAL}","{2011}","{37}","{2}","{342-348}","{FEB}","{Background: Health effects linked to exposure to high air pollutant
   levels have been described in depth, and many recent epidemiologic
   studies have also consistently reported positive associations between
   exposure to air pollutants at low concentrations (particularly PM2.5)
   and adverse health outcomes.
   Objective: To estimate the number of avoidable deaths associated with
   reducing PM2.5 levels in Spain.
   Materials and methods: For exposure assessment, we used the US
   Environmental Protection Agency's Community Multiscale Air Quality model
   to simulate air pollution levels with a spatial resolution of 18 x 18
   km(2). Two different scenarios were compared, namely, a baseline 2004
   scenario based on Spain's National Emissions Inventory and a projected
   2011 scenario in which a reduction in PM2.5 was estimated on the basis
   of the benefits that might be attained if specific air quality policies
   were implemented. Using an 18 x 18 km2 grid, air pollution data were
   estimated for the entire Iberian Peninsula, the Balearic Islands, Ceuta
   and Melilla. For these strata, crude all-cause mortality rates (ICD-10:
   A00-Y98) were then calculated for the over-30 and 25-74 age groups,
   taking into account the 2004 population figures corresponding to these
   same age groups, selected in accordance with the concentration-response
   functions (Pope CA 3rd, Burnett RT,Thun MJ, Calle EE, Krewski D, Ito K
   et al. Lung cancer, cardiopulmonary mortality, and long-term exposure to
   fine particulate air pollution. JAMA 2002; 287:1132-41; Laden F.
   Schwartz J, Speizer FE, Dockery DW. Reduction in fine particulate air
   pollution and mortality: extended follow-up of the Harvard Six Cities
   study. Am J Respir Crit Care Med 2006; 173:667-72.). Health impacts were
   assessed using the Environmental Benefits Mapping and Analysis Program
   (BenMAP).
   Results: Air quality improvement was defined as an average annual
   reduction of 0.7 mu g/m(3) in PM2.5 levels. Using long-term health
   impact assessment analysis, we estimated that 1720 (673-2760) all-cause
   deaths (6 per 100,000 population) in the over-30 age group and
   1450(780-2108) all-cause deaths (5 per 100,000 population) in the 25-74
   age group could be prevented annually.
   Conclusions: The results showed the potential benefits in general
   mortality which could be expected if pollution control policies were
   successfully implemented by 2011. A specifically adapted BenMAP could be
   used as a tool for estimating health impacts associated with changes in
   air pollution in Spain. (c) 2010 Elsevier Ltd. All rights reserved.}","{10.1016/j.envint.2010.10.004}","{0160-4120}","{ISI:000287620100006}","{Moreno, Teresa/C-9349-2009
   Lopez-Abente, Gonzalo/E-5221-2010
   Pollan, Marina/
   Boldo, Elena/L-6610-2014
   Pollan, Marina/M-3259-2014
   Wang, Linden/M-6617-2014
   Ramis, Rebeca/E-1743-2015
   Perez-Gomez, Beatriz/C-4715-2012
   Aragones, Nuria/O-5962-2015
   Garcia-Perez, Javier/}","{Moreno, Teresa/0000-0003-3235-1027
   Lopez-Abente, Gonzalo/0000-0003-2423-8075
   Pollan, Marina/0000-0002-4328-1565
   Boldo, Elena/0000-0003-0027-1989
   Ramis, Rebeca/0000-0001-6154-9142
   Perez-Gomez, Beatriz/0000-0002-4299-8214
   Aragones, Nuria/0000-0003-0983-2156
   Garcia-Perez, Javier/0000-0003-0300-1810}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1993KM02400005","Article","KN DIETRICH and OG BERGER and PA SUCCOP and PB HAMMOND and RL BORNSCHEIN","{THE DEVELOPMENTAL CONSEQUENCES OF LOW TO MODERATE PRENATAL AND POSTNATAL
   LEAD-EXPOSURE - INTELLECTUAL ATTAINMENT IN THE CINCINNATI LEAD STUDY
   COHORT FOLLOWING SCHOOL ENTRY}","{NEUROTOXICOLOGY AND TERATOLOGY}","{1993}","{15}","{1}","{37-44}","{JAN-FEB}","{In a further follow-up study of the Cincinnati Lead Study Cohort, 253
   children were administered the Wechsler Intelligence Scale for
   Children-Revised (WISC-R) at approximately 6.5 years of age. Postnatal
   blood lead concentrations were inversely associated with Full-Scale
   (FSIQ) and Performance IQ (PIQ). Following statistical adjustment for
   developmental co-factors such as maternal IQ and an assessment of the
   quality of caretaking in the home environment, a statistically
   significant relationship remained between postnatal blood lead
   concentrations and PIQ. Further statistical analyses suggested that
   averaged lifetime blood lead concentrations in excess of 20 mug/dL were
   associated with deficits in PIQ on the order of approximately 7 points
   when compared to children with mean concentrations less or equal to 10
   mug/dL. These results are discussed in terms of their consistency with
   other similar studies as well as their internal consistency with earlier
   reports on this cohort. The findings of this investigation support
   recent initiatives in the United States to reduce the exposure of
   children to environmental lead.}","{10.1016/0892-0362(93)90043-N}","{0892-0362}","{ISI:A1993KM02400005}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000080987100006","Article","N Sorensen and K Murata and E Budtz-Jorgensen and P Weihe and P Grandjean","{Prenatal methylmercury exposure as a cardiovascular risk factor at seven
   years of age}","{EPIDEMIOLOGY}","{1999}","{10}","{4}","{370-375}","{JUL}","{Blood pressure in childhood is an important determinant of hypertension
   risk later in life, and methylmercury exposure is a potential
   environmental risk factor. A birth cohort of 1,000 children from the
   Faroe Islands was examined for prenatal exposure to methylmercury, and
   at age 1 years, blood pressure, heart rate, and heart rate variability
   were determined. After adjustment for body weight, diastolic and
   systolic blood pressure increased by 13.9 mmHg {[}95\% confidence limits
   (CL) = 7.4, 20.4] and 14.6 mmHg (95\% CL = 8.3, 20.8), respectively,
   when cord blood mercury concentrations increased from 1 to 10 mu g/liter
   cord blood. Above this level, which corresponds to a current exposure
   limit, no further increase was seen. Birth weight acted as a modifier,
   with, the mercury effect bring stronger in children with lower birth
   weights. In boys, heart rate variability decreased with increasing
   mercury exposures, particularly from 1 to 10 mu g/liter cord blood, at
   which the variability was reduced by 47\%, (95\% CL = 14\%, 68\%). These
   findings suggest that prenatal exposure to methylmercury may affect the
   development of cardiovascular homeostasis.}",NA,"{1044-3983}","{ISI:000080987100006}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000232412000008","Article","JJ Koval and JAL Aubut and LL Pederson and M O'Hegarty and SSH Chan","{The potential effectiveness of warning labels on cigarette packages -
   The perceptions of young adult Canadians}","{CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE}","{2005}","{96}","{5}","{353-356}","{SEP-OCT}","{Background: Since 1989 when health warning labels appeared on Canadian
   cigarette packages, the labels have changed from text only covering less
   than one quarter of the package to text and graphics covering over half
   the package. This study examines how Canadians in their 20s feel about
   the current graphic warning labels and their potential to prevent
   smoking and encourage quitting.
   Methods: Participants between 20 and 24 years of age were part of a
   10-year cohort study begun when the group was in Grade 6, with the
   purpose of examining factors that may affect smoking. Five questions
   about warning labels were added to the 2002 questionnaire requesting
   information on perceptions of the labels and their potential impact on
   smoking behaviours of young adults. One item had been included in
   previous questionnaires.
   Results: 32.8\% (n=1267) of the respondents were smokers, with males
   (35.6\%) being more likely to smoke than females (30.4\%). Current
   smokers were less likely than experimental/ex-smokers to believe that
   warning labels with stronger messages would make people their age less
   likely to smoke. Female current smokers were more likely to think about
   quitting.
   Conclusion: Despite the efforts taken in developing the labels, some
   young adults are skeptical about their effects. Warning labels may have
   to be modified to target issues that are relevant to young adults;
   gender differences are important in this modification. Warning labels
   can offer an additional component to a comprehensive tobacco control
   program, in that they provide health information.}",NA,"{0008-4263}","{ISI:000232412000008}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000223047600040","Article","D Hammond and GT Fong and PW McDonald and KS Brown and R Cameron","{Graphic Canadian cigarette warning labels and adverse outcomes: Evidence
   from Canadian smokers}","{AMERICAN JOURNAL OF PUBLIC HEALTH}","{2004}","{94}","{8}","{1442-1445}","{AUG}","{Objectives. We assessed the impact of graphic Canadian cigarette warning
   labels.
   Methods. We used a longitudinal telephone survey of 616 adult smokers.
   Results. Approximately one fifth of participants reported smoking less
   as a result of the labels; only 1\% reported smoking more. Although
   participants reported negative emotional responses to the warnings
   including fear (44\%) and disgust (58\%), smokers who reported greater
   negative emotion were more likely to have quit, attempted to quit, or
   reduced their smoking 3 months later. Participants who attempted to
   avoid the warnings (30\%) were no less likely to think about the
   warnings or engage in cessation behavior at follow-up.
   Conclusions. Policynnakers should not be reluctant to introduce vivid or
   graphic warnings for fear of adverse outcomes.}","{10.2105/AJPH.94.8.1442}","{0090-0036}","{ISI:000223047600040}","{Fong, Geoffrey/H-2810-2014}","{Fong, Geoffrey/0000-0001-9098-6472}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000236182100014","Article","F Laden and J Schwartz and FE Speizer and DW Dockery","{Reduction in fine particulate air pollution and mortality - Extended
   follow-up of the Harvard six cities study}","{AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE}","{2006}","{173}","{6}","{667-672}","{MAR 15}","{Rationale: A large body of epidemiologic literature has found an
   association of increased fine particulate air pollution (PM2.5) with
   acute and chronic mortality. The effect of improvements in particle
   exposure is less clear.
   Objectives: Earlier analysis of the Harvard Six Cities adult cohort
   study showed an association between long-term ambient PM2.5 and
   mortality between enrollment in the mid-1970s and follow-up until 1990.
   We extended mortality follow-up for 8 yr in a period of reduced air
   pollution concentrations.
   Methods: Annual city-specific PM2.5 concentrations were measured between
   1979 and 1988, and estimated for later years from publicly available
   data. Exposure was defined as (1) city-specific mean PM2.5 during the
   two follow-up periods, (2) mean PM2.5 in the first period and change
   between these periods, (3) overall mean PM2.5 across the entire
   follow-up, and (4) year-specific mean PM2.5. Mortality rate ratios were
   estimated with Cox proportional hazards regression controlling for
   individual risk factors.
   Measurements and Main Results: We found an increase in overall mortality
   associated with each 10 mu g/m(3) increase in PM2.5 modeled either as
   the overall mean (rate ratio {[}RR], 1.16; 95\% confidence interval
   {[}CI], 1.07-1.26) or as exposure in the year of death (IRR, 1.14; 95\%
   Cl, 1.06-1.22). PM2.5 exposure was associated with lung cancer (1111,
   1.27; 95\% Cl, 0.96-1.69) and cardiovascular deaths (RR, 1.28;95\% Cl,
   1.13-1.44). Improved overall mortality was associated with decreased
   mean PM2.5 (10 mu g/m(3)) between periods (RR, 0.73; 95\% Cl,
   0.57-0.95).
   Conclusion: Total, cardiovascular, and lung cancer mortality were each
   positively associated with ambient PM2.5 concentrations. Reduced PM2.5
   concentrations were associated with reduced mortality risk.}","{10.1164/rccm.200503-443OC}","{1073-449X}","{ISI:000236182100014}","{Wang, Linden/M-6617-2014}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1996VV27400029","Article","H Tsuji and MG Larson and FJ Venditti and ES Manders and JC Evans and CL Feldman and D Levy","{Impact of reduced heart rate variability on risk for cardiac events -
   The Framingham Heart Study}","{CIRCULATION}","{1996}","{94}","{11}","{2850-2855}","{DEC 1}","{Background Although heart rate variability (HRV) is altered in a variety
   of pathological conditions, the association of reduced HRV with risk for
   new cardiac events has not been studied in a Large community-based
   population.
   Methods and Results The first 2 hours of ambulatory ECG recordings
   obtained on subjects of the Framingham Heart Study who were free of
   clinically apparent coronary heart disease or congestive heart failure
   were reprocessed to assess HRV. Five frequency-domain measures and three
   time-domain measures were obtained. The associations between HRV
   measures and the incidence of new cardiac events (angina pectoris,
   myocardial infarction, coronary heart disease death, or congestive heart
   failure) were assessed with proportional hazards regression analyses.
   There were 2501 eligible subjects with a mean age of 53 years. During a
   mean follow-up of 3.5 years, cardiac events occurred in 58 subjects.
   After adjustment for age, sex, cigarette smoking, diabetes, left
   ventricular hypertrophy, and other relevant risk factors, all HRV
   measures except the ratio of low-frequency to high-frequency power were
   significantly associated with risk for a cardiac event (P=.0016 to
   .0496). A one-standard deviation decrement in the standard deviation of
   total normal RR intervals (natural log transformed) was associated with
   a hazard ratio of 1.47 for new cardiac events (95\% confidence interval
   of 1.16 to 1.86).
   Conclusions The estimation of HRV by ambulatory monitoring offers
   prognostic information beyond that provided by the evaluation of
   traditional cardiovascular disease risk factors.}",NA,"{0009-7322}","{ISI:A1996VV27400029}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
